suj,win,bin,rt,corr,band,pow_alpha,pow_beta,pow_theta,pow_gamma,avg_alpha,avg_beta,avg_theta,avg_gamma,norm_alpha,norm_beta,norm_theta,norm_gamma
sub001,preCue1,b1,1.00005292892456,0.711340206185567,alpha,4.86149102817879e-27,8.37514728061602e-28,1.24936625388725e-27,3.94217002097602e-29,1.95325104651616e-26,1.2717284276412e-27,1.65797128633116e-27,3.97911508705026e-29,0.248892278176418,0.658564131978256,0.753551200908856,0.990715255712388
sub001,preCue1,b2,0.954977035522461,0.721649484536082,alpha,1.02602137040093e-26,1.1730991837711e-27,1.69606467032096e-27,4.14547906168375e-29,1.95325104651616e-26,1.2717284276412e-27,1.65797128633116e-27,3.97911508705026e-29,0.525289041688192,0.92244472819323,1.02297590091207,1.0418092895013
sub001,preCue1,b3,0.909898996353149,0.814432989690722,alpha,1.64736771844959e-26,1.22946788981528e-27,1.75498457987516e-27,4.05034882660651e-29,1.95325104651616e-26,1.2717284276412e-27,1.65797128633116e-27,3.97911508705026e-29,0.843397842477985,0.966769211958005,1.05851325312073,1.01790190482001
sub001,preCue1,b4,1.16316390037537,0.752577319587629,alpha,2.3962710111259e-26,1.39238950863618e-27,1.87667312134925e-27,3.73293858385264e-29,1.95325104651616e-26,1.2717284276412e-27,1.65797128633116e-27,3.97911508705026e-29,1.22681158440945,1.09487959722562,1.13190930194095,0.938132851698916
sub001,preCue1,b5,1.10347294807434,0.670103092783505,alpha,4.21044602978648e-26,1.72617082792187e-27,1.71276780622319e-27,4.02463894213238e-29,1.95325104651616e-26,1.2717284276412e-27,1.65797128633116e-27,3.97911508705026e-29,2.15560925324796,1.35734233064489,1.03305034311739,1.01144069826738
sub001,preCue1,b1,1.2111029624939,0.649484536082474,beta,1.21857718998209e-26,4.93437662857257e-28,1.25502192911325e-27,3.94591019280887e-29,1.96196817994794e-26,1.26974860569223e-27,1.6584855295307e-27,3.96738830880418e-29,0.621099364625999,0.38861051758214,0.756727693287974,0.994586333798571
sub001,preCue1,b2,0.918540000915527,0.77319587628866,beta,1.70031713075669e-26,7.90809678120392e-28,1.45576703166223e-27,3.76678543136367e-29,1.96196817994794e-26,1.26974860569223e-27,1.6584855295307e-27,3.96738830880418e-29,0.866638484830986,0.622808069703898,0.877768907681796,0.949437044769389
sub001,preCue1,b3,0.937905073165894,0.77319587628866,beta,1.98467101177518e-26,1.11133771846926e-27,1.75946894650189e-27,4.11222347660339e-29,1.96196817994794e-26,1.26974860569223e-27,1.6584855295307e-27,3.96738830880418e-29,1.01157145771235,0.875242322367738,1.06088893461722,1.03650642602283
sub001,preCue1,b4,1.02857494354248,0.762886597938144,beta,2.32237994209277e-26,1.48516579822186e-27,1.77897221585776e-27,3.89579084208614e-29,1.96196817994794e-26,1.26974860569223e-27,1.6584855295307e-27,3.96738830880418e-29,1.1836990863707,1.16965341923899,1.07264862079391,0.981953501612343
sub001,preCue1,b5,1.0818338394165,0.711340206185567,beta,2.58389562513297e-26,2.46799217079237e-27,2.04319752451837e-27,4.11623160115886e-29,1.96196817994794e-26,1.26974860569223e-27,1.6584855295307e-27,3.96738830880418e-29,1.31699160645996,1.94368567110723,1.23196584361911,1.03751669379687
sub001,preCue1,b1,1.12240314483643,0.680412371134021,theta,1.53847095635299e-26,9.97691474786573e-28,5.77175731468367e-28,4.27289512272723e-29,1.96172488970074e-26,1.27126531965972e-27,1.65742588200028e-27,3.97967903512744e-29,0.784243990801216,0.784801928722187,0.348236224458976,1.07367832556638
sub001,preCue1,b2,0.974227905273438,0.77319587628866,theta,2.01007674634289e-26,1.17383721163049e-27,9.91898751848979e-28,4.04709631449035e-29,1.96172488970074e-26,1.27126531965972e-27,1.65742588200028e-27,3.97967903512744e-29,1.02464762357658,0.923361310560014,0.598457380580961,1.01694038106286
sub001,preCue1,b3,1.20726799964905,0.701030927835051,theta,2.19644405465401e-26,1.33932856929119e-27,1.41360086959624e-27,3.78590957846885e-29,1.96172488970074e-26,1.27126531965972e-27,1.65742588200028e-27,3.97967903512744e-29,1.11964937906715,1.05353976748905,0.852889341808887,0.951310280314508
sub001,preCue1,b4,0.918540000915527,0.804123711340206,theta,1.94017146765123e-26,1.31679333423842e-27,1.92169667164481e-27,3.76483880454474e-29,1.96172488970074e-26,1.27126531965972e-27,1.65742588200028e-27,3.97967903512744e-29,0.989013025137893,1.03581314921018,1.159446520363,0.946015689032617
sub001,preCue1,b5,1.02914810180664,0.711340206185567,theta,2.1234612235026e-26,1.52867600835191e-27,3.38275738544302e-27,4.027655355406e-29,1.96172488970074e-26,1.27126531965972e-27,1.65742588200028e-27,3.97967903512744e-29,1.08244598141716,1.20248384401857,2.04097053278817,1.01205532402365
sub001,preCue1,b1,0.999648094177246,0.690721649484536,gamma,1.97305959268578e-26,1.23692024149218e-27,1.56351139285114e-27,2.32694190545606e-29,1.95637068670104e-26,1.26676312628908e-27,1.65772158818821e-27,3.97866027054792e-29,1.0085305438781,0.976441621817399,0.943168867433258,0.584855641654372
sub001,preCue1,b2,1.05912208557129,0.701030927835051,gamma,1.9344105004146e-26,1.33029566057972e-27,1.88467517158588e-27,3.04668455708307e-29,1.95637068670104e-26,1.26676312628908e-27,1.65772158818821e-27,3.97866027054792e-29,0.988775038168522,1.05015344461183,1.13690693601072,0.765756397859901
sub001,preCue1,b3,1.2333619594574,0.783505154639175,gamma,1.97242092969191e-26,1.21025714332391e-27,1.66894421717104e-27,3.58810506242771e-29,1.95637068670104e-26,1.26676312628908e-27,1.65772158818821e-27,3.97866027054792e-29,1.00820409092202,0.955393410344442,1.00676991182524,0.901837507713011
sub001,preCue1,b4,0.903582811355591,0.783505154639175,gamma,1.94942319829163e-26,1.21368908890632e-27,1.58252794795525e-27,4.48404289021747e-29,1.95637068670104e-26,1.26676312628908e-27,1.65772158818821e-27,3.97866027054792e-29,0.996448787309769,0.958102634753643,0.954640368582553,1.12702331571526
sub001,preCue1,b5,0.958436012268066,0.711340206185567,gamma,1.9525392124213e-26,1.34265349714324e-27,1.58894921137775e-27,6.44752693755528e-29,1.95637068670104e-26,1.26676312628908e-27,1.65772158818821e-27,3.97866027054792e-29,0.998041539721592,1.05990888847269,0.958513916148232,1.62052713705746
sub001,preGab1,b1,0.903817892074585,0.752577319587629,alpha,5.20329162772861e-27,8.60984653951753e-28,1.64724501965871e-27,4.01832199794298e-29,1.58724137472603e-26,1.19355022417512e-27,1.81341048287224e-27,4.00259698511253e-29,0.327819808038128,0.721364410573334,0.908368532782304,1.00392870251213
sub001,preGab1,b2,0.957267045974731,0.690721649484536,alpha,9.44002998518296e-27,1.11955654334256e-27,1.58636453798126e-27,3.69332967452879e-29,1.58724137472603e-26,1.19355022417512e-27,1.81341048287224e-27,4.00259698511253e-29,0.594744450056464,0.938005389858063,0.874796166099489,0.922733337447152
