sub,bin,window,cue,pow
sb1,b1,c1g1,pre,1.053
sb1,b1,c1g1,retro,0.987
sb1,b1,c2g2,pre,1.102
sb1,b1,c2g2,retro,0.967
sb1,b2,c1g1,pre,0.912
sb1,b2,c1g1,retro,0.948
sb1,b2,c2g2,pre,0.894
sb1,b2,c2g2,retro,0.81
sb1,b3,c1g1,pre,0.953
sb1,b3,c1g1,retro,1.02
sb1,b3,c2g2,pre,0.973
sb1,b3,c2g2,retro,1.088
sb1,b4,c1g1,pre,1.068
sb1,b4,c1g1,retro,1.036
sb1,b4,c2g2,pre,1.059
sb1,b4,c2g2,retro,1.065
sb1,b5,c1g1,pre,1.013
sb1,b5,c1g1,retro,1.009
sb1,b5,c2g2,pre,0.972
sb1,b5,c2g2,retro,1.069
sb2,b1,c1g1,pre,0.968
sb2,b1,c1g1,retro,0.94
sb2,b1,c2g2,pre,0.794
sb2,b1,c2g2,retro,0.809
sb2,b2,c1g1,pre,0.901
sb2,b2,c1g1,retro,0.698
sb2,b2,c2g2,pre,0.889
sb2,b2,c2g2,retro,0.879
sb2,b3,c1g1,pre,0.935
sb2,b3,c1g1,retro,0.936
sb2,b3,c2g2,pre,0.968
sb2,b3,c2g2,retro,0.985
sb2,b4,c1g1,pre,0.984
sb2,b4,c1g1,retro,1.28
sb2,b4,c2g2,pre,0.938
sb2,b4,c2g2,retro,1.139
sb2,b5,c1g1,pre,1.213
sb2,b5,c1g1,retro,1.146
sb2,b5,c2g2,pre,1.411
sb2,b5,c2g2,retro,1.188
sb3,b1,c1g1,pre,1.033
sb3,b1,c1g1,retro,1.048
sb3,b1,c2g2,pre,1.061
sb3,b1,c2g2,retro,0.965
sb3,b2,c1g1,pre,1.062
sb3,b2,c1g1,retro,1.026
sb3,b2,c2g2,pre,1.006
sb3,b2,c2g2,retro,1.008
sb3,b3,c1g1,pre,0.966
sb3,b3,c1g1,retro,1.03
sb3,b3,c2g2,pre,0.974
sb3,b3,c2g2,retro,1.053
sb3,b4,c1g1,pre,1.07
sb3,b4,c1g1,retro,0.959
sb3,b4,c2g2,pre,0.963
sb3,b4,c2g2,retro,0.995
sb3,b5,c1g1,pre,0.868
sb3,b5,c1g1,retro,0.938
sb3,b5,c2g2,pre,0.996
sb3,b5,c2g2,retro,0.978
sb4,b1,c1g1,pre,0.841
sb4,b1,c1g1,retro,0.967
sb4,b1,c2g2,pre,0.962
sb4,b1,c2g2,retro,1.005
sb4,b2,c1g1,pre,0.865
sb4,b2,c1g1,retro,0.847
sb4,b2,c2g2,pre,0.943
sb4,b2,c2g2,retro,0.929
sb4,b3,c1g1,pre,1.017
sb4,b3,c1g1,retro,0.927
sb4,b3,c2g2,pre,1.037
sb4,b3,c2g2,retro,0.974
sb4,b4,c1g1,pre,1.165
sb4,b4,c1g1,retro,1.059
sb4,b4,c2g2,pre,0.937
sb4,b4,c2g2,retro,1.039
sb4,b5,c1g1,pre,1.112
sb4,b5,c1g1,retro,1.199
sb4,b5,c2g2,pre,1.121
sb4,b5,c2g2,retro,1.053
sb5,b1,c1g1,pre,1.005
sb5,b1,c1g1,retro,0.938
sb5,b1,c2g2,pre,1.072
sb5,b1,c2g2,retro,0.979
sb5,b2,c1g1,pre,0.878
sb5,b2,c1g1,retro,0.957
sb5,b2,c2g2,pre,0.832
sb5,b2,c2g2,retro,0.957
sb5,b3,c1g1,pre,0.959
sb5,b3,c1g1,retro,1.038
sb5,b3,c2g2,pre,0.87
sb5,b3,c2g2,retro,0.997
sb5,b4,c1g1,pre,1.122
sb5,b4,c1g1,retro,0.97
sb5,b4,c2g2,pre,1.205
sb5,b4,c2g2,retro,0.994
sb5,b5,c1g1,pre,1.036
sb5,b5,c1g1,retro,1.098
sb5,b5,c2g2,pre,1.02
sb5,b5,c2g2,retro,1.073
sb6,b1,c1g1,pre,0.967
sb6,b1,c1g1,retro,0.945
sb6,b1,c2g2,pre,0.803
sb6,b1,c2g2,retro,0.937
sb6,b2,c1g1,pre,1.092
sb6,b2,c1g1,retro,1.078
sb6,b2,c2g2,pre,1.018
sb6,b2,c2g2,retro,0.933
sb6,b3,c1g1,pre,0.943
sb6,b3,c1g1,retro,0.975
sb6,b3,c2g2,pre,0.96
sb6,b3,c2g2,retro,1.022
sb6,b4,c1g1,pre,0.974
sb6,b4,c1g1,retro,1.017
sb6,b4,c2g2,pre,1.127
sb6,b4,c2g2,retro,1.081
sb6,b5,c1g1,pre,1.024
sb6,b5,c1g1,retro,0.985
sb6,b5,c2g2,pre,1.092
sb6,b5,c2g2,retro,1.027
sb7,b1,c1g1,pre,0.904
sb7,b1,c1g1,retro,0.899
sb7,b1,c2g2,pre,0.955
sb7,b1,c2g2,retro,0.923
sb7,b2,c1g1,pre,1.048
sb7,b2,c1g1,retro,1.109
sb7,b2,c2g2,pre,1.063
sb7,b2,c2g2,retro,1.066
sb7,b3,c1g1,pre,0.993
sb7,b3,c1g1,retro,0.977
sb7,b3,c2g2,pre,1.02
sb7,b3,c2g2,retro,0.967
sb7,b4,c1g1,pre,0.963
sb7,b4,c1g1,retro,1.041
sb7,b4,c2g2,pre,0.991
sb7,b4,c2g2,retro,1.073
sb7,b5,c1g1,pre,1.091
sb7,b5,c1g1,retro,0.974
sb7,b5,c2g2,pre,0.971
sb7,b5,c2g2,retro,0.971
sb8,b1,c1g1,pre,0.998
sb8,b1,c1g1,retro,0.999
sb8,b1,c2g2,pre,0.943
sb8,b1,c2g2,retro,0.973
