sub,b1_c1g1_pr,b1_c1g1_re,b1_c2g2_pr,b1_c2g2_re,b2_c1g1_pr,b2_c1g1_re,b2_c2g2_pr,b2_c2g2_re,b3_c1g1_pr,b3_c1g1_re,b3_c2g2_pr,b3_c2g2_re,b4_c1g1_pr,b4_c1g1_re,b4_c2g2_pr,b4_c2g2_re,b5_c1g1_pr,b5_c1g1_re,b5_c2g2_pr,b5_c2g2_re
sb1,1.053,0.987,1.102,0.967,0.912,0.948,0.894,0.81,0.953,1.02,0.973,1.088,1.068,1.036,1.059,1.065,1.013,1.009,0.972,1.069
sb2,0.968,0.94,0.794,0.809,0.901,0.698,0.889,0.879,0.935,0.936,0.968,0.985,0.984,1.28,0.938,1.139,1.213,1.146,1.411,1.188
sb3,1.033,1.048,1.061,0.965,1.062,1.026,1.006,1.008,0.966,1.03,0.974,1.053,1.07,0.959,0.963,0.995,0.868,0.938,0.996,0.978
sb4,0.841,0.967,0.962,1.005,0.865,0.847,0.943,0.929,1.017,0.927,1.037,0.974,1.165,1.059,0.937,1.039,1.112,1.199,1.121,1.053
sb5,1.005,0.938,1.072,0.979,0.878,0.957,0.832,0.957,0.959,1.038,0.87,0.997,1.122,0.97,1.205,0.994,1.036,1.098,1.02,1.073
sb6,0.967,0.945,0.803,0.937,1.092,1.078,1.018,0.933,0.943,0.975,0.96,1.022,0.974,1.017,1.127,1.081,1.024,0.985,1.092,1.027
sb7,0.904,0.899,0.955,0.923,1.048,1.109,1.063,1.066,0.993,0.977,1.02,0.967,0.963,1.041,0.991,1.073,1.091,0.974,0.971,0.971
sb8,0.998,0.999,0.943,0.973,0.923,1.039,0.943,0.883,1.011,1.041,1.016,1.215,1.133,0.903,1.156,0.946,0.935,1.018,0.942,0.983
sb9,1.031,0.928,1.08,0.96,1.011,1.037,1.066,0.93,0.983,1.049,0.977,1.126,1.032,0.991,0.954,1.018,0.943,0.994,0.923,0.967
sb10,1.014,1.072,0.986,1.162,1.114,1.037,1.017,0.993,0.963,0.873,1.043,0.898,0.876,1.061,0.93,1.116,1.033,0.957,1.025,0.831
sb11,1.001,1.097,0.705,0.954,0.946,0.983,0.826,0.914,1.053,1.024,1.057,0.846,0.935,0.989,1.09,1.272,1.064,0.907,1.322,1.014
sb12,1.048,1.077,1.012,1.053,1.041,0.988,1.13,1.113,1.003,1.006,0.967,0.983,0.987,1.004,0.958,0.941,0.921,0.925,0.933,0.909
sb13,1.01,1.075,1.198,1.117,0.946,1.118,1.007,1.124,1.013,0.987,0.91,0.967,0.963,0.919,0.93,0.89,1.067,0.9,0.954,0.903
sb14,0.974,1.093,1.11,1.129,1.019,1.003,1.084,0.983,1.087,0.928,0.913,0.91,0.913,1.13,0.952,0.906,1.007,0.847,0.941,1.071
sb15,1.157,1.27,1.16,1.134,1.06,1.11,0.953,1.033,0.981,0.865,0.99,0.982,0.848,0.968,1.155,0.914,0.953,0.787,0.741,0.937
sb16,1.129,1.014,1.112,1.029,0.934,1.064,0.994,0.946,0.996,0.956,1.021,0.979,0.951,1.001,0.936,0.949,0.989,0.965,0.937,1.097
sb17,1.084,0.893,1.036,0.926,1.067,1.244,0.768,1.04,0.995,0.955,1.015,1.016,0.83,0.844,1.088,1.02,1.023,1.064,1.093,0.997
sb18,1.03,0.978,1.081,1.041,1.062,0.911,1.068,0.964,0.936,1.118,0.974,1.15,0.95,0.983,0.829,0.925,1.023,1.01,1.048,0.92
sb19,0.915,0.97,1.025,0.899,0.921,0.97,1.071,0.988,1.084,1.016,0.953,0.998,1.074,0.975,1.044,0.955,1.005,1.069,0.907,1.159
sb20,1.123,1.044,1.054,1.149,1.047,1.1,1.061,0.909,0.993,1.056,0.942,1.088,0.872,0.901,0.891,0.92,0.966,0.899,1.051,0.935
sb21,1.025,0.982,0.995,0.961,1.007,1.015,0.993,0.953,0.98,0.99,1.034,1.006,1.053,0.995,1.001,1.016,0.935,1.018,0.977,1.065
sb22,0.986,0.922,1.027,0.919,0.922,0.996,0.936,0.971,1.015,1.015,0.949,0.995,0.988,1.026,1.042,1.042,1.09,1.04,1.047,1.073
sb23,0.881,0.995,1.13,0.887,1.156,1.06,0.892,0.955,0.985,0.956,0.98,0.965,0.914,0.938,0.961,1.065,1.064,1.051,1.038,1.129
sb24,1.088,1.206,1.292,1.103,1.225,0.934,1.002,1.188,0.931,1.018,0.854,1.045,0.931,1.015,0.911,0.812,0.826,0.826,0.942,0.851
sb25,1.031,1.069,0.999,1.101,0.979,1.069,0.933,0.967,1.043,0.992,0.986,1.025,0.972,0.94,1.051,0.978,0.975,0.93,1.032,0.929
sb26,0.949,1.063,0.997,0.971,1.053,1.07,1.017,0.979,0.993,1.04,1.037,1.006,0.983,0.952,0.973,1.083,1.021,0.875,0.975,0.961
sb27,1.075,1.041,1.088,0.951,0.895,0.976,0.875,0.876,1.01,1.01,0.934,0.988,1.033,0.943,0.967,1.161,0.986,1.031,1.137,1.024
sb28,1.157,1.077,0.971,1.152,1.003,1.031,1.047,0.992,1.036,0.913,1.016,0.837,0.935,1.039,1.137,1.031,0.869,0.94,0.829,0.988
sb29,0.936,1.009,1.037,0.953,0.983,0.97,1.208,0.929,1.069,1.055,0.901,1.004,0.986,1.006,0.947,1.014,1.026,0.959,0.908,1.1
sb30,0.937,1.023,0.847,0.86,0.833,0.945,0.974,0.802,0.931,0.918,1.057,0.89,1.112,0.955,0.926,1.105,1.187,1.159,1.197,1.342
sb31,0.916,0.914,0.926,0.765,0.982,0.958,0.951,0.868,1.043,0.986,1,0.991,0.983,1.037,1.059,1.083,1.075,1.106,1.065,1.293
sb32,1.311,1.117,0.931,1.273,0.912,1.017,0.855,0.891,1.031,1.236,0.911,0.978,0.855,0.843,1.178,0.876,0.892,0.788,1.125,0.982
sb33,1.129,1.049,1.097,0.976,0.98,1.026,0.926,1.222,1.107,0.984,0.951,0.966,0.889,1.02,1.09,0.913,0.895,0.921,0.936,0.924
