suj,win,cue,bin,rt,corr
sub001,preCue1,all,b1,0.958436012268066,0.731958762886598
sub001,preCue1,all,b2,1.0818338394165,0.731958762886598
sub001,preCue1,all,b3,0.99037504196167,0.731958762886598
sub001,preCue1,all,b4,0.976793050765991,0.77319587628866
sub001,preCue1,all,b5,1.04393196105957,0.701030927835051
sub001,preCue1,pre,b1,0.859280109405518,0.714285714285714
sub001,preCue1,pre,b2,1.48049592971802,0.693877551020408
sub001,preCue1,pre,b3,0.934617042541504,0.775510204081633
sub001,preCue1,pre,b4,0.956548929214478,0.857142857142857
sub001,preCue1,pre,b5,0.958469867706299,0.693877551020408
sub001,preCue1,retro,b1,1.12191200256348,0.723404255319149
sub001,preCue1,retro,b2,0.896914958953857,0.723404255319149
sub001,preCue1,retro,b3,0.999648094177246,0.787234042553192
sub001,preCue1,retro,b4,1.21995806694031,0.723404255319149
sub001,preCue1,retro,b5,1.12572193145752,0.638297872340426
sub001,preTarget,all,b1,0.91723895072937,0.742268041237113
sub001,preTarget,all,b2,0.918256044387817,0.77319587628866
sub001,preTarget,all,b3,1.35862994194031,0.783505154639175
sub001,preTarget,all,b4,1.10347294807434,0.701030927835051
sub001,preTarget,all,b5,1.12572193145752,0.680412371134021
sub001,preTarget,pre,b1,0.879300117492676,0.755102040816326
sub001,preTarget,pre,b2,0.956548929214478,0.714285714285714
sub001,preTarget,pre,b3,1.2606029510498,0.755102040816326
sub001,preTarget,pre,b4,0.933657884597778,0.775510204081633
sub001,preTarget,pre,b5,1.25027799606323,0.714285714285714
sub001,preTarget,retro,b1,0.954977035522461,0.702127659574468
sub001,preTarget,retro,b2,0.927686929702759,0.851063829787234
sub001,preTarget,retro,b3,1.37628698348999,0.74468085106383
sub001,preTarget,retro,b4,1.22125792503357,0.659574468085106
sub001,preTarget,retro,b5,1.2111029624939,0.638297872340426
sub001,preCue2,all,b1,1.04393196105957,0.711340206185567
sub001,preCue2,all,b2,1.02914810180664,0.752577319587629
sub001,preCue2,all,b3,1.00005292892456,0.721649484536082
sub001,preCue2,all,b4,0.954977035522461,0.762886597938144
sub001,preCue2,all,b5,1.12298202514648,0.721649484536082
sub001,preCue2,pre,b1,0.935983896255493,0.653061224489796
sub001,preCue2,pre,b2,0.95638108253479,0.73469387755102
sub001,preCue2,pre,b3,1.10347294807434,0.775510204081633
sub001,preCue2,pre,b4,0.878517150878906,0.897959183673469
sub001,preCue2,pre,b5,1.20726799964905,0.653061224489796
sub001,preCue2,retro,b1,1.04393196105957,0.787234042553192
sub001,preCue2,retro,b2,1.2333619594574,0.723404255319149
sub001,preCue2,retro,b3,1.01979303359985,0.765957446808511
sub001,preCue2,retro,b4,1.05912208557129,0.702127659574468
sub001,preCue2,retro,b5,0.954977035522461,0.638297872340426
sub001,preProbe,all,b1,0.896914958953857,0.814432989690722
sub001,preProbe,all,b2,0.878517150878906,0.77319587628866
sub001,preProbe,all,b3,1.28103399276733,0.783505154639175
sub001,preProbe,all,b4,1.23894309997559,0.680412371134021
sub001,preProbe,all,b5,1.10347294807434,0.628865979381443
sub001,preProbe,pre,b1,0.855584144592285,0.816326530612245
sub001,preProbe,pre,b2,1.0818338394165,0.816326530612245
sub001,preProbe,pre,b3,1.44403505325317,0.63265306122449
sub001,preProbe,pre,b4,0.956548929214478,0.816326530612245
sub001,preProbe,pre,b5,0.89830207824707,0.653061224489796
sub001,preProbe,retro,b1,0.999648094177246,0.808510638297872
sub001,preProbe,retro,b2,0.793024063110352,0.808510638297872
sub001,preProbe,retro,b3,1.00005292892456,0.74468085106383
sub001,preProbe,retro,b4,1.46400594711304,0.659574468085106
sub001,preProbe,retro,b5,1.35795998573303,0.574468085106383
sub003,preCue1,all,b1,1.27895641326904,0.783333333333333
sub003,preCue1,all,b2,1.33543491363525,0.833333333333333
sub003,preCue1,all,b3,1.66664254665375,0.816666666666667
sub003,preCue1,all,b4,1.30505549907684,0.783333333333333
sub003,preCue1,all,b5,1.63553893566132,0.733333333333333
sub003,preCue1,pre,b1,1.34614586830139,0.724137931034483
sub003,preCue1,pre,b2,1.11561918258667,0.862068965517241
sub003,preCue1,pre,b3,1.94881796836853,0.827586206896552
sub003,preCue1,pre,b4,1.4380841255188,0.758620689655172
sub003,preCue1,pre,b5,1.43419003486633,0.758620689655172
sub003,preCue1,retro,b1,1.12769150733948,0.833333333333333
sub003,preCue1,retro,b2,1.54074847698212,0.766666666666667
sub003,preCue1,retro,b3,1.29558801651001,0.833333333333333
sub003,preCue1,retro,b4,1.18133211135864,0.8
sub003,preCue1,retro,b5,1.72788047790527,0.733333333333333
sub003,preTarget,all,b1,1.17404794692993,0.85
sub003,preTarget,all,b2,1.42500150203705,0.783333333333333
sub003,preTarget,all,b3,1.22907102108002,0.766666666666667
sub003,preTarget,all,b4,1.21464395523071,0.8
sub003,preTarget,all,b5,1.95713496208191,0.75
sub003,preTarget,pre,b1,1.95684313774109,0.793103448275862
sub003,preTarget,pre,b2,1.39624309539795,0.793103448275862
sub003,preTarget,pre,b3,1.32537388801575,0.689655172413793
sub003,preTarget,pre,b4,1.24268913269043,0.793103448275862
sub003,preTarget,pre,b5,1.98687100410461,0.862068965517241
sub003,preTarget,retro,b1,0.974863529205322,0.933333333333333
sub003,preTarget,retro,b2,1.64064395427704,0.7
sub003,preTarget,retro,b3,1.3897989988327,0.866666666666667
sub003,preTarget,retro,b4,1.13973140716553,0.7
sub003,preTarget,retro,b5,1.92353487014771,0.733333333333333
sub003,preCue2,all,b1,1.47065997123718,0.833333333333333
sub003,preCue2,all,b2,1.37090694904327,0.75
sub003,preCue2,all,b3,1.1003270149231,0.816666666666667
sub003,preCue2,all,b4,1.42957758903503,0.766666666666667
sub003,preCue2,all,b5,1.72182404994965,0.8
sub003,preCue2,pre,b1,1.51564788818359,0.793103448275862
sub003,preCue2,pre,b2,1.31706094741821,0.896551724137931
sub003,preCue2,pre,b3,1.78845381736755,0.689655172413793
sub003,preCue2,pre,b4,1.33664917945862,0.758620689655172
sub003,preCue2,pre,b5,1.82426810264587,0.793103448275862
sub003,preCue2,retro,b1,1.53882944583893,0.833333333333333
sub003,preCue2,retro,b2,1.09349763393402,0.7
sub003,preCue2,retro,b3,1.04554152488708,0.8
sub003,preCue2,retro,b4,1.19663155078888,0.833333333333333
sub003,preCue2,retro,b5,1.82056212425232,0.8
sub003,preProbe,all,b1,1.01803803443909,0.8
sub003,preProbe,all,b2,1.3316034078598,0.783333333333333
sub003,preProbe,all,b3,1.18316304683685,0.8
sub003,preProbe,all,b4,1.80204856395721,0.766666666666667
sub003,preProbe,all,b5,2.05817830562592,0.8
sub003,preProbe,pre,b1,1.1655900478363,0.724137931034483
sub003,preProbe,pre,b2,1.34614586830139,0.827586206896552
sub003,preProbe,pre,b3,1.31706094741821,0.724137931034483
sub003,preProbe,pre,b4,2.0469388961792,0.793103448275862
sub003,preProbe,pre,b5,2.05899882316589,0.862068965517241
sub003,preProbe,retro,b1,0.97631847858429,0.833333333333333
sub003,preProbe,retro,b2,1.35401153564453,0.833333333333333
sub003,preProbe,retro,b3,1.18316304683685,0.8
sub003,preProbe,retro,b4,1.60833692550659,0.666666666666667
sub003,preProbe,retro,b5,2.06274938583374,0.8
sub004,preCue1,all,b1,0.835413575172424,0.784090909090909
sub004,preCue1,all,b2,0.771807551383972,0.75
sub004,preCue1,all,b3,0.818340539932251,0.704545454545455
sub004,preCue1,all,b4,0.720183491706848,0.772727272727273
sub004,preCue1,all,b5,0.681165099143982,0.784090909090909
sub004,preCue1,pre,b1,0.835413575172424,0.727272727272727
sub004,preCue1,pre,b2,0.844446539878845,0.75
sub004,preCue1,pre,b3,0.89447033405304,0.704545454545455
sub004,preCue1,pre,b4,0.780240535736084,0.727272727272727
sub004,preCue1,pre,b5,0.717069029808044,0.75
sub004,preCue1,retro,b1,0.84503161907196,0.772727272727273
sub004,preCue1,retro,b2,0.765162467956543,0.795454545454545
sub004,preCue1,retro,b3,0.759251117706299,0.75
sub004,preCue1,retro,b4,0.669938921928406,0.840909090909091
sub004,preCue1,retro,b5,0.654977560043335,0.795454545454545
sub004,preTarget,all,b1,0.810387969017029,0.761363636363636
sub004,preTarget,all,b2,0.772547483444214,0.704545454545455
sub004,preTarget,all,b3,0.947013020515442,0.693181818181818
sub004,preTarget,all,b4,0.735664486885071,0.840909090909091
sub004,preTarget,all,b5,0.758260011672974,0.795454545454545
sub004,preTarget,pre,b1,0.805806517601013,0.818181818181818
sub004,preTarget,pre,b2,0.926225543022156,0.613636363636364
sub004,preTarget,pre,b3,0.850675106048584,0.659090909090909
sub004,preTarget,pre,b4,0.809757113456726,0.818181818181818
sub004,preTarget,pre,b5,0.796946406364441,0.727272727272727
sub004,preTarget,retro,b1,0.955941438674927,0.681818181818182
sub004,preTarget,retro,b2,0.71457302570343,0.840909090909091
sub004,preTarget,retro,b3,0.75608503818512,0.681818181818182
sub004,preTarget,retro,b4,0.739739537239075,0.886363636363636
sub004,preTarget,retro,b5,0.680000066757202,0.863636363636364
sub004,preCue2,all,b1,0.7535400390625,0.772727272727273
sub004,preCue2,all,b2,0.801746010780334,0.75
sub004,preCue2,all,b3,0.790498495101929,0.761363636363636
sub004,preCue2,all,b4,0.825640559196472,0.715909090909091
sub004,preCue2,all,b5,0.754151463508606,0.806818181818182
sub004,preCue2,pre,b1,0.784920930862427,0.795454545454545
sub004,preCue2,pre,b2,0.820743560791016,0.704545454545455
sub004,preCue2,pre,b3,0.83032751083374,0.727272727272727
sub004,preCue2,pre,b4,0.901476383209229,0.681818181818182
sub004,preCue2,pre,b5,0.700458526611328,0.75
sub004,preCue2,retro,b1,0.741451978683472,0.75
sub004,preCue2,retro,b2,0.705813527107239,0.795454545454545
sub004,preCue2,retro,b3,0.750607013702393,0.795454545454545
sub004,preCue2,retro,b4,0.754735112190247,0.727272727272727
sub004,preCue2,retro,b5,0.754151463508606,0.886363636363636
sub004,preProbe,all,b1,0.814741015434265,0.761363636363636
sub004,preProbe,all,b2,0.83574104309082,0.727272727272727
sub004,preProbe,all,b3,0.734851002693176,0.795454545454545
sub004,preProbe,all,b4,0.705813527107239,0.829545454545455
sub004,preProbe,all,b5,0.82951807975769,0.704545454545455
sub004,preProbe,pre,b1,0.846874952316284,0.772727272727273
sub004,preProbe,pre,b2,0.846107006072998,0.704545454545455
sub004,preProbe,pre,b3,0.784920930862427,0.727272727272727
sub004,preProbe,pre,b4,0.728088974952698,0.75
sub004,preProbe,pre,b5,0.858821988105774,0.681818181818182
sub004,preProbe,retro,b1,0.754151463508606,0.75
sub004,preProbe,retro,b2,0.690348982810974,0.772727272727273
sub004,preProbe,retro,b3,0.734663486480713,0.886363636363636
sub004,preProbe,retro,b4,0.684684991836548,0.795454545454545
sub004,preProbe,retro,b5,0.760451555252075,0.75
sub006,preCue1,all,b1,0.799929976463318,0.882352941176471
sub006,preCue1,all,b2,0.850471973419189,0.897058823529412
sub006,preCue1,all,b3,0.843909978866577,0.794117647058823
sub006,preCue1,all,b4,1.1757789850235,0.897058823529412
sub006,preCue1,all,b5,1.03993701934814,0.838235294117647
sub006,preCue1,pre,b1,0.798722982406616,0.878787878787879
sub006,preCue1,pre,b2,0.809379816055298,0.848484848484849
sub006,preCue1,pre,b3,0.837939977645874,0.787878787878788
sub006,preCue1,pre,b4,1.1617488861084,0.909090909090909
sub006,preCue1,pre,b5,1.22948789596558,0.848484848484849
sub006,preCue1,retro,b1,0.8023681640625,0.857142857142857
sub006,preCue1,retro,b2,0.898758888244629,0.942857142857143
sub006,preCue1,retro,b3,0.860263109207153,0.828571428571429
sub006,preCue1,retro,b4,0.990400075912476,0.857142857142857
sub006,preCue1,retro,b5,0.910290956497192,0.828571428571429
sub006,preTarget,all,b1,0.74944806098938,0.911764705882353
sub006,preTarget,all,b2,0.866168022155762,0.808823529411765
sub006,preTarget,all,b3,1.0115065574646,0.779411764705882
sub006,preTarget,all,b4,1.0248464345932,0.897058823529412
sub006,preTarget,all,b5,1.17656648159027,0.897058823529412
sub006,preTarget,pre,b1,0.732439994812012,0.878787878787879
sub006,preTarget,pre,b2,0.929498910903931,0.878787878787879
sub006,preTarget,pre,b3,0.921279907226562,0.787878787878788
sub006,preTarget,pre,b4,1.22948789596558,0.818181818181818
sub006,preTarget,pre,b5,1.1617488861084,0.909090909090909
sub006,preTarget,retro,b1,0.7686448097229,0.942857142857143
sub006,preTarget,retro,b2,0.800359010696411,0.8
sub006,preTarget,retro,b3,1.23104214668274,0.714285714285714
sub006,preTarget,retro,b4,0.907729148864746,0.942857142857143
sub006,preTarget,retro,b5,1.29246616363525,0.914285714285714
sub006,preCue2,all,b1,0.769790410995483,0.897058823529412
sub006,preCue2,all,b2,0.904791951179504,0.867647058823529
sub006,preCue2,all,b3,0.919894933700562,0.838235294117647
sub006,preCue2,all,b4,1.01050007343292,0.838235294117647
sub006,preCue2,all,b5,1.08483755588531,0.852941176470588
sub006,preCue2,pre,b1,0.770936012268066,0.909090909090909
sub006,preCue2,pre,b2,1.02079319953918,0.878787878787879
sub006,preCue2,pre,b3,0.949733972549438,0.909090909090909
sub006,preCue2,pre,b4,1.1633038520813,0.727272727272727
sub006,preCue2,pre,b5,0.909893989562988,0.878787878787879
sub006,preCue2,retro,b1,0.7686448097229,0.885714285714286
sub006,preCue2,retro,b2,0.898758888244629,0.885714285714286
sub006,preCue2,retro,b3,0.821635007858276,0.742857142857143
sub006,preCue2,retro,b4,1.05822110176086,0.942857142857143
sub006,preCue2,retro,b5,1.07001399993896,0.857142857142857
sub006,preProbe,all,b1,0.976276516914368,0.911764705882353
sub006,preProbe,all,b2,0.815086960792542,0.823529411764706
sub006,preProbe,all,b3,0.885342955589294,0.867647058823529
sub006,preProbe,all,b4,0.899696111679077,0.794117647058823
sub006,preProbe,all,b5,0.990514039993286,0.897058823529412
sub006,preProbe,pre,b1,0.969552040100098,0.909090909090909
sub006,preProbe,pre,b2,0.830069065093994,0.878787878787879
sub006,preProbe,pre,b3,0.798722982406616,0.848484848484849
sub006,preProbe,pre,b4,0.909679174423218,0.848484848484849
sub006,preProbe,pre,b5,1.02178406715393,0.787878787878788
sub006,preProbe,retro,b1,1.03037595748901,0.857142857142857
sub006,preProbe,retro,b2,0.8023681640625,0.828571428571429
sub006,preProbe,retro,b3,0.899402856826782,0.857142857142857
sub006,preProbe,retro,b4,0.821635007858276,0.857142857142857
sub006,preProbe,retro,b5,1.07001399993896,0.914285714285714
sub008,preCue1,all,b1,1.2437059879303,0.927536231884058
sub008,preCue1,all,b2,1.19363403320312,0.927536231884058
sub008,preCue1,all,b3,1.26168298721313,0.942028985507246
sub008,preCue1,all,b4,1.20859909057617,0.927536231884058
sub008,preCue1,all,b5,1.03847098350525,0.869565217391304
sub008,preCue1,pre,b1,1.19085896015167,0.882352941176471
sub008,preCue1,pre,b2,1.37859809398651,0.970588235294118
sub008,preCue1,pre,b3,1.41280007362366,0.882352941176471
sub008,preCue1,pre,b4,1.28173351287842,0.970588235294118
