suj,sample_size,perc_trials,bin,rt,corr
5sub032,n=05,010 %,b1,0.670104503631592,1
5sub032,n=05,010 %,b2,0.855081915855408,0.625
5sub032,n=05,010 %,b3,0.730197072029114,0.875
5sub032,n=05,010 %,b4,0.717469930648804,1
5sub032,n=05,010 %,b5,0.880352973937988,0.5
5sub028,n=05,010 %,b1,0.964052557945251,0.875
5sub028,n=05,010 %,b2,0.781385540962219,0.75
5sub028,n=05,010 %,b3,0.938206434249878,1
5sub028,n=05,010 %,b4,0.880479454994202,0.875
5sub028,n=05,010 %,b5,0.904978513717651,0.75
5sub029,n=05,010 %,b1,1.79562592506409,0.428571428571429
5sub029,n=05,010 %,b2,1.28404498100281,0.714285714285714
5sub029,n=05,010 %,b3,0.888780117034912,0.714285714285714
5sub029,n=05,010 %,b4,1.44148302078247,0.857142857142857
5sub029,n=05,010 %,b5,1.70441603660583,0.857142857142857
5sub021,n=05,010 %,b1,0.903391122817993,0.857142857142857
5sub021,n=05,010 %,b2,0.708088874816895,1
5sub021,n=05,010 %,b3,0.797719955444336,1
5sub021,n=05,010 %,b4,1.05055499076843,1
5sub021,n=05,010 %,b5,0.918248891830444,0.714285714285714
5sub014,n=05,010 %,b1,1.05102014541626,0.571428571428571
5sub014,n=05,010 %,b2,0.658841133117676,0.857142857142857
5sub014,n=05,010 %,b3,0.798756122589111,0.714285714285714
5sub014,n=05,010 %,b4,0.898883104324341,1
5sub014,n=05,010 %,b5,1.42285394668579,0.428571428571429
5sub032,n=05,020 %,b1,0.638252973556519,0.8
5sub032,n=05,020 %,b2,0.941643953323364,0.666666666666667
5sub032,n=05,020 %,b3,0.811843156814575,0.866666666666667
5sub032,n=05,020 %,b4,0.950179815292358,0.666666666666667
5sub032,n=05,020 %,b5,0.929236173629761,0.666666666666667
5sub028,n=05,020 %,b1,1.06643998622894,0.8125
5sub028,n=05,020 %,b2,0.741014957427979,0.8125
5sub028,n=05,020 %,b3,0.957260966300964,0.9375
5sub028,n=05,020 %,b4,0.905627965927124,0.8125
5sub028,n=05,020 %,b5,0.899548411369324,0.8125
5sub029,n=05,020 %,b1,1.71418595314026,0.571428571428571
5sub029,n=05,020 %,b2,1.26864004135132,0.714285714285714
5sub029,n=05,020 %,b3,1.32898259162903,0.785714285714286
5sub029,n=05,020 %,b4,1.31202447414398,0.857142857142857
5sub029,n=05,020 %,b5,1.40111660957336,0.785714285714286
5sub021,n=05,020 %,b1,0.92078697681427,0.714285714285714
5sub021,n=05,020 %,b2,0.839535117149353,0.928571428571429
5sub021,n=05,020 %,b3,1.00621545314789,0.857142857142857
5sub021,n=05,020 %,b4,1.00064694881439,1
5sub021,n=05,020 %,b5,0.917713522911072,0.785714285714286
5sub014,n=05,020 %,b1,1.05102014541626,0.692307692307692
5sub014,n=05,020 %,b2,0.910986185073853,0.615384615384615
5sub014,n=05,020 %,b3,0.931332111358643,1
5sub014,n=05,020 %,b4,1.13331484794617,0.846153846153846
5sub014,n=05,020 %,b5,1.03250002861023,0.692307692307692
5sub032,n=05,030 %,b1,0.777927875518799,0.782608695652174
5sub032,n=05,030 %,b2,0.929692983627319,0.782608695652174
5sub032,n=05,030 %,b3,0.648550987243652,0.695652173913043
5sub032,n=05,030 %,b4,0.798202037811279,0.782608695652174
5sub032,n=05,030 %,b5,0.942985773086548,0.652173913043478
5sub028,n=05,030 %,b1,1.06035757064819,0.833333333333333
5sub028,n=05,030 %,b2,0.901921033859253,0.833333333333333
5sub028,n=05,030 %,b3,0.919912576675415,0.833333333333333
5sub028,n=05,030 %,b4,1.01687359809875,0.791666666666667
5sub028,n=05,030 %,b5,0.860448956489563,0.791666666666667
5sub029,n=05,030 %,b1,1.55322194099426,0.571428571428571
5sub029,n=05,030 %,b2,1.29536390304565,0.666666666666667
5sub029,n=05,030 %,b3,1.22498202323914,0.857142857142857
5sub029,n=05,030 %,b4,1.50582599639893,0.761904761904762
5sub029,n=05,030 %,b5,1.44148302078247,0.761904761904762
5sub021,n=05,030 %,b1,0.869529008865356,0.761904761904762
5sub021,n=05,030 %,b2,0.837798833847046,1
5sub021,n=05,030 %,b3,1.05971598625183,0.80952380952381
5sub021,n=05,030 %,b4,0.932610034942627,0.904761904761905
5sub021,n=05,030 %,b5,1.17119884490967,0.714285714285714
5sub014,n=05,030 %,b1,0.831220507621765,0.75
5sub014,n=05,030 %,b2,1.11135900020599,0.65
5sub014,n=05,030 %,b3,0.848819613456726,0.8
5sub014,n=05,030 %,b4,0.870206952095032,0.75
5sub014,n=05,030 %,b5,1.00776708126068,0.75
5sub032,n=05,040 %,b1,0.781057119369507,0.741935483870968
5sub032,n=05,040 %,b2,0.941643953323364,0.774193548387097
5sub032,n=05,040 %,b3,0.700397968292236,0.67741935483871
5sub032,n=05,040 %,b4,0.79835319519043,0.741935483870968
5sub032,n=05,040 %,b5,0.950179815292358,0.645161290322581
5sub028,n=05,040 %,b1,0.885197520256042,0.84375
5sub028,n=05,040 %,b2,0.84975004196167,0.84375
5sub028,n=05,040 %,b3,0.923526525497437,0.84375
5sub028,n=05,040 %,b4,0.855485916137695,0.8125
5sub028,n=05,040 %,b5,0.796293497085571,0.78125
5sub029,n=05,040 %,b1,1.55322194099426,0.62962962962963
5sub029,n=05,040 %,b2,1.47441601753235,0.740740740740741
5sub029,n=05,040 %,b3,1.22498202323914,0.666666666666667
5sub029,n=05,040 %,b4,1.89445114135742,0.777777777777778
5sub029,n=05,040 %,b5,1.36075019836426,0.703703703703704
5sub021,n=05,040 %,b1,0.871181011199951,0.785714285714286
5sub021,n=05,040 %,b2,0.863685488700867,0.964285714285714
5sub021,n=05,040 %,b3,1.02490592002869,0.785714285714286
5sub021,n=05,040 %,b4,0.953795909881592,0.892857142857143
5sub021,n=05,040 %,b5,1.04472386837006,0.785714285714286
5sub014,n=05,040 %,b1,0.812172889709473,0.740740740740741
5sub014,n=05,040 %,b2,1.07206201553345,0.666666666666667
5sub014,n=05,040 %,b3,0.898883104324341,0.777777777777778
5sub014,n=05,040 %,b4,0.919100046157837,0.777777777777778
5sub014,n=05,040 %,b5,0.931686878204346,0.703703703703704
5sub032,n=05,050 %,b1,0.752412080764771,0.794871794871795
5sub032,n=05,050 %,b2,0.830868005752563,0.82051282051282
5sub032,n=05,050 %,b3,0.83100414276123,0.641025641025641
5sub032,n=05,050 %,b4,0.798202037811279,0.769230769230769
5sub032,n=05,050 %,b5,0.942985773086548,0.717948717948718
5sub028,n=05,050 %,b1,0.892014980316162,0.85
5sub028,n=05,050 %,b2,0.89026403427124,0.8
5sub028,n=05,050 %,b3,0.961138486862183,0.875
5sub028,n=05,050 %,b4,0.830631852149963,0.825
5sub028,n=05,050 %,b5,0.853892922401428,0.75
5sub029,n=05,050 %,b1,1.55322194099426,0.6
5sub029,n=05,050 %,b2,1.29536390304565,0.628571428571429
5sub029,n=05,050 %,b3,1.09104990959167,0.742857142857143
5sub029,n=05,050 %,b4,1.49354290962219,0.8
5sub029,n=05,050 %,b5,1.36075019836426,0.771428571428571
5sub021,n=05,050 %,b1,0.842393159866333,0.8
5sub021,n=05,050 %,b2,0.971601963043213,0.942857142857143
5sub021,n=05,050 %,b3,0.952714920043945,0.8
5sub021,n=05,050 %,b4,0.956852912902832,0.914285714285714
5sub021,n=05,050 %,b5,1.03872895240784,0.828571428571429
5sub014,n=05,050 %,b1,0.783448576927185,0.764705882352941
5sub014,n=05,050 %,b2,1.08646392822266,0.676470588235294
5sub014,n=05,050 %,b3,0.867151975631714,0.764705882352941
5sub014,n=05,050 %,b4,0.940319538116455,0.705882352941177
5sub014,n=05,050 %,b5,0.932600378990173,0.735294117647059
5sub032,n=05,060 %,b1,0.765169978141785,0.804347826086957
5sub032,n=05,060 %,b2,0.880280494689941,0.847826086956522
5sub032,n=05,060 %,b3,0.894376993179321,0.673913043478261
5sub032,n=05,060 %,b4,0.736759066581726,0.760869565217391
5sub032,n=05,060 %,b5,0.858505964279175,0.695652173913043
5sub028,n=05,060 %,b1,0.892014980316162,0.833333333333333
5sub028,n=05,060 %,b2,0.89026403427124,0.791666666666667
5sub028,n=05,060 %,b3,0.923526525497437,0.854166666666667
5sub028,n=05,060 %,b4,0.855485916137695,0.854166666666667
5sub028,n=05,060 %,b5,0.934898495674133,0.729166666666667
5sub029,n=05,060 %,b1,1.33080005645752,0.634146341463415
