suj,sample_size,perc_trials,bin,itc
5sub021,n=05,010 %,b1,0.0949647736863829
5sub021,n=05,010 %,b2,0.0900434703390667
5sub021,n=05,010 %,b3,0.0768004575336868
5sub021,n=05,010 %,b4,0.0961396044876157
5sub021,n=05,010 %,b5,0.0769034155023158
5sub025,n=05,010 %,b1,0.112240587059866
5sub025,n=05,010 %,b2,0.105280709773076
5sub025,n=05,010 %,b3,0.0944923446447827
5sub025,n=05,010 %,b4,0.103416383246594
5sub025,n=05,010 %,b5,0.089864033395801
5sub034,n=05,010 %,b1,0.107296848606572
5sub034,n=05,010 %,b2,0.103569632400543
5sub034,n=05,010 %,b3,0.0963745297216477
5sub034,n=05,010 %,b4,0.099185188977068
5sub034,n=05,010 %,b5,0.0972550739409211
5sub035,n=05,010 %,b1,0.106588987900637
5sub035,n=05,010 %,b2,0.0952471438274824
5sub035,n=05,010 %,b3,0.102618382673034
5sub035,n=05,010 %,b4,0.101445060509335
5sub035,n=05,010 %,b5,0.0907015438733712
5sub027,n=05,010 %,b1,0.148734183487224
5sub027,n=05,010 %,b2,0.144997896150084
5sub027,n=05,010 %,b3,0.151997808550451
5sub027,n=05,010 %,b4,0.139557819402888
5sub027,n=05,010 %,b5,0.151362740059223
5sub021,n=05,020 %,b1,0.0789946201877368
5sub021,n=05,020 %,b2,0.0699936523643685
5sub021,n=05,020 %,b3,0.0720698083926353
5sub021,n=05,020 %,b4,0.0657754197003185
5sub021,n=05,020 %,b5,0.0687485573146289
5sub025,n=05,020 %,b1,0.0862105791781607
5sub025,n=05,020 %,b2,0.0947615734741773
5sub025,n=05,020 %,b3,0.0870180710971813
5sub025,n=05,020 %,b4,0.0921166895857421
5sub025,n=05,020 %,b5,0.0891224444993149
5sub034,n=05,020 %,b1,0.107896626499547
5sub034,n=05,020 %,b2,0.107404765804725
5sub034,n=05,020 %,b3,0.108299589065216
5sub034,n=05,020 %,b4,0.115860674364907
5sub034,n=05,020 %,b5,0.08804245092373
5sub035,n=05,020 %,b1,0.108262924634524
5sub035,n=05,020 %,b2,0.091942867749403
5sub035,n=05,020 %,b3,0.0934142767073538
5sub035,n=05,020 %,b4,0.0963194087170385
5sub035,n=05,020 %,b5,0.0952090982866362
5sub027,n=05,020 %,b1,0.134010394018275
5sub027,n=05,020 %,b2,0.132753998067001
5sub027,n=05,020 %,b3,0.136441487971557
5sub027,n=05,020 %,b4,0.135813707847183
5sub027,n=05,020 %,b5,0.137852664903766
5sub021,n=05,030 %,b1,0.0789496914255366
5sub021,n=05,030 %,b2,0.0628597869254528
5sub021,n=05,030 %,b3,0.0739988648163811
5sub021,n=05,030 %,b4,0.0648644178910593
5sub021,n=05,030 %,b5,0.0693482217645968
5sub025,n=05,030 %,b1,0.0852996513282424
