cl_co,cl_in,op_co,op_in
2.8162433027855e-05,3.0881093227291e-05,1.59541980156899e-05,1.37581243167765e-05
1.37276504721801e-05,1.33031705215124e-05,3.19104445736834e-06,4.14557372329096e-06
9.63302316040675e-06,9.76288358264192e-06,4.9156558131669e-06,4.35607589453938e-06
8.98703385850339e-06,9.37356673549638e-06,3.3633919397448e-06,3.51636328053842e-06
8.77758479200257e-06,8.60581658688012e-06,3.30930120993322e-06,2.90721765383655e-06
6.55232849986533e-06,6.0737900148684e-06,5.22169263046672e-06,5.63798807723936e-06
3.50709766451325e-07,2.4776138742101e-07,1.37071543979869e-07,1.68394923391263e-07
6.69663501128458e-06,7.28340737823599e-06,8.75208742139401e-06,5.27677094071195e-06
1.59462667328032e-05,1.52919575594918e-05,1.00923894990899e-05,1.01688271664544e-05
2.75453554350198e-05,2.58265459199282e-05,1.29832818426483e-05,1.06985913695786e-05
8.73469087135839e-06,7.56918576613574e-06,5.36095898521449e-06,6.2310992999101e-06
1.96503286872247e-05,1.46136337740164e-05,8.31786019219627e-06,1.08513454748684e-05
5.91826200565641e-06,5.54204454288958e-06,2.40628111065052e-06,2.37499759465702e-06
1.29597287729357e-06,1.19071432205859e-06,2.4941036151596e-06,2.20238731864881e-06
4.73391610553118e-06,3.9288537746306e-06,3.87948980476961e-06,4.35313376711925e-06
5.77821114360992e-06,5.59130957522687e-06,3.15023476422344e-06,3.23178471596845e-06
1.32091975835934e-05,9.92932609161499e-06,3.72490957100744e-06,3.58978097257145e-06
6.12139105580003e-06,5.98244040911896e-06,3.13783496191963e-06,3.06663567532253e-06
4.54861030946299e-06,5.62957825462824e-06,2.09452034809385e-06,1.15908975141029e-06
6.46428103464442e-06,6.77198762709017e-06,1.64895011210834e-06,1.41056818992584e-06
5.04973778500665e-06,3.49573788988216e-06,2.24970949459313e-06,3.04318965631959e-06
6.39287907522193e-06,7.47432075189055e-06,5.63950570305321e-06,4.49955256072793e-06
9.55155428805927e-06,1.05499323009282e-05,3.25395358341711e-06,3.10687011917075e-06
2.22961161717771e-06,1.98942745349771e-06,7.14406186378449e-07,8.13969261881611e-07
8.26956382696333e-06,8.97284830236338e-06,2.70575497475899e-06,2.49099386270981e-06
1.24090065353633e-05,1.31208576521057e-05,9.72451689751696e-06,8.6112145749422e-06
7.836868632483e-06,8.63389498654237e-06,3.83279409844247e-06,4.04081810481137e-06
1.8628185420156e-05,1.87702728917112e-05,4.24930835995595e-06,8.62039700164336e-06
7.04500374145623e-06,8.9038642559763e-06,3.19962474665384e-06,2.60948218331512e-06
1.74748198197481e-05,1.6784726852408e-05,1.16967659600599e-05,1.15740380336975e-05
2.33503356959098e-05,2.01540761359905e-05,1.07764135089757e-05,1.06167676969192e-05
2.68582139340494e-05,2.15985638359026e-05,1.52921940207765e-05,1.27568823056302e-05
1.65657990400524e-05,1.6555807772e-05,1.21489563078979e-05,9.55191643524796e-06
