cl_co,cl_in,op_co,op_in
2.32818199010907e-05,2.6921011056328e-05,1.44993928202587e-05,9.79804214581344e-06
1.04743743953774e-05,1.11431345048279e-05,3.94796035113904e-07,1.98553770660651e-06
7.92485670763822e-06,7.84266944329531e-06,2.58592094887651e-06,2.43586175519277e-06
8.15400780057324e-06,8.00771879854306e-06,2.23236192619641e-06,2.1505153435851e-06
7.62945747571487e-06,7.09719176281708e-06,1.91985563069945e-06,1.3985928297735e-06
5.10813308659274e-06,4.48910058565941e-06,3.4700537598801e-06,4.05329864803037e-06
2.04122323841244e-07,1.24327329606407e-07,2.73048055166316e-08,4.49608655766594e-08
5.6470035957693e-06,5.04915611977179e-06,1.10957584362736e-05,3.04251968224775e-06
1.42457069824253e-05,1.27838732879389e-05,7.44220402353442e-06,7.66074289490153e-06
2.85920342380957e-05,2.27264819391575e-05,1.13111068866152e-05,7.59852738880784e-06
7.57718545869836e-06,6.03974301623504e-06,5.68900565974558e-06,4.7016565500094e-06
1.46379429832101e-05,1.23918432402954e-05,7.97132107195377e-06,8.62955494114742e-06
5.36392550957856e-06,4.47148917903567e-06,1.2908608985164e-06,1.30444223080311e-06
4.67887578104021e-07,4.60938336266044e-07,1.65370057661059e-06,1.47261133285626e-06
3.35738299981491e-06,2.68168783368322e-06,3.19376813839951e-06,3.10596782617187e-06
4.80615561333002e-06,4.7079616696231e-06,2.43611487944984e-06,2.34843681036468e-06
1.0510310286099e-05,8.33378134280133e-06,1.36807281348275e-06,1.9942362237578e-06
4.58404699043379e-06,4.80635891593767e-06,2.27069154084512e-06,1.89055418214124e-06
3.65605808905631e-06,4.97693705785222e-06,1.09921916475701e-06,5.06448554634279e-07
5.5729465957478e-06,5.94767185735889e-06,7.12545692897855e-07,5.86252420194561e-07
3.57338175607504e-06,2.69057371985047e-06,2.37345703993823e-06,2.2380254862879e-06
6.6300806884194e-06,6.34555148629542e-06,4.08762763043737e-06,3.3707832951328e-06
8.6842974150324e-06,8.82629525163688e-06,8.69289748897478e-07,1.38323306987947e-06
1.35184786914258e-06,1.52767009427924e-06,2.21185537539856e-07,3.52211902663141e-07
8.17856837582054e-06,7.79004139173768e-06,1.16373468960162e-06,1.30818695208411e-06
1.23720559896238e-05,1.12409928604096e-05,8.15633882547879e-06,6.73134978324602e-06
7.55169222256878e-06,7.18231225119992e-06,2.70086873961391e-06,2.58923536946891e-06
1.47622561940394e-05,1.67777146449573e-05,2.87036923797305e-06,6.62783875488946e-06
5.80675431234496e-06,7.18151730454932e-06,7.13302330553321e-07,8.87135231888139e-07
1.41361077997293e-05,1.39044853807353e-05,8.80346493772588e-06,8.6937965620248e-06
1.6231551258249e-05,1.74028567657259e-05,9.1406910095364e-06,7.86554832665464e-06
2.59025643977121e-05,1.74465117691864e-05,1.03127206109113e-05,8.60483023891395e-06
1.75362777726604e-05,1.38852459881067e-05,7.7771042698537e-06,6.88135465135466e-06
