cl_fa,cl_sl,op_fa,op_sl
2.45264888659907e-05,2.45828525734449e-05,1.22686367842768e-05,1.37912794398825e-05
9.20802516761705e-06,1.17196370192752e-05,9.33775465431532e-07,8.11297646092831e-07
7.98492745045578e-06,7.29680600019344e-06,2.81099636366687e-06,2.16543997228473e-06
7.72470653260741e-06,8.72801268293762e-06,2.81613770692883e-06,2.6141741738799e-06
8.11160715049608e-06,7.04683560194701e-06,1.96858737717816e-06,1.6453398984673e-06
5.12995702041761e-06,4.84596186995879e-06,3.44152974687635e-06,4.13795427635304e-06
2.36441113497055e-07,1.9621872261527e-07,1.53613667817487e-08,4.45870336036977e-08
6.31912821648962e-06,5.62537127806636e-06,5.57443716693007e-06,7.09827191177838e-06
1.41028856424467e-05,1.28693611795134e-05,7.43995168367262e-06,8.66889375372546e-06
2.40554398559742e-05,2.57004819065873e-05,1.0270740160806e-05,8.85875688655793e-06
6.34068498312345e-06,6.4162689743783e-06,5.1115699332184e-06,5.3109473881722e-06
1.64415539765813e-05,1.66975597954669e-05,8.45884594147136e-06,5.99527970712708e-06
5.67652800745784e-06,5.44027286415139e-06,1.74424619935065e-06,1.04675831685825e-06
4.5390102516496e-07,6.06880419996956e-07,1.5845719198856e-06,1.75521807648702e-06
3.41999089675267e-06,3.0862975984107e-06,2.91036559498782e-06,3.65338509367134e-06
5.068197186252e-06,4.24602796357726e-06,2.62737906584726e-06,2.11544193744049e-06
1.05035022784735e-05,1.05721212245706e-05,2.47637554898546e-06,1.98736018014382e-06
5.30916589148762e-06,4.03243259006422e-06,2.35924147025882e-06,2.52597089886092e-06
4.06702394370456e-06,3.55725562984643e-06,1.13326607935665e-06,1.06438487931125e-06
6.12764005685642e-06,5.78874421777348e-06,8.99080998210987e-07,5.86928026530364e-07
3.32878799097085e-06,3.35195975092994e-06,1.52791701102197e-06,1.51062931101393e-06
6.61580080153766e-06,5.94613761452486e-06,4.28046968770906e-06,3.94720487439033e-06
8.0765027989652e-06,7.02701351734229e-06,7.94399034391237e-07,1.06293117346504e-06
1.76108919945146e-06,1.08696471301772e-06,1.96437648764844e-07,2.71087612433121e-07
8.47259308079269e-06,7.10829662831866e-06,1.28065572342924e-06,1.50086297382005e-06
1.22475356950623e-05,1.03255045306847e-05,9.09948498052036e-06,7.76482439140179e-06
6.86231161109187e-06,7.01127345160873e-06,2.89005869205041e-06,2.247847845989e-06
1.33243191385001e-05,1.44044189910504e-05,2.80425411893764e-06,2.22330726592707e-06
5.4517413891565e-06,5.91060148798789e-06,1.41568349823985e-06,9.65615148119089e-07
1.74336068402176e-05,1.24092133065104e-05,8.49179421716643e-06,9.6859527959024e-06
1.99329769328635e-05,1.89838319274835e-05,8.06817536132179e-06,8.02898448657562e-06
2.79200101676105e-05,2.29132339649306e-05,1.13228456561841e-05,7.99258869426886e-06
2.03556256248684e-05,1.85679131847653e-05,8.00585623451829e-06,7.35311388808376e-06
