cl_fa,cl_sl,op_fa,op_sl
2.27312241617621e-05,2.33882494662153e-05,1.43505800699685e-05,1.55844154792159e-05
1.15001851159188e-05,1.23399125585269e-05,2.7815564521159e-06,3.3671172435061e-06
8.10556498008746e-06,8.98006641212577e-06,4.72441566007034e-06,4.14683642540684e-06
7.96337334255265e-06,8.32679908186661e-06,3.72931197766723e-06,3.45724722910095e-06
6.8884305732849e-06,7.52235209953868e-06,2.85849558144854e-06,2.92345300473891e-06
5.08461612954867e-06,5.66408103670371e-06,4.44643705638315e-06,4.87092152624019e-06
2.66499989011922e-07,2.31471432843741e-07,1.36478945615784e-07,1.46425697770032e-07
5.49594109254193e-06,6.02586232548461e-06,7.32433711862726e-06,7.40445646803237e-06
1.32087171696776e-05,1.2329075402731e-05,8.3142130364716e-06,9.55186563686591e-06
2.16675929052668e-05,2.06896775341781e-05,9.53495482874e-06,8.81182441102302e-06
5.54281153624096e-06,5.35832303351893e-06,6.45144501090587e-06,6.76125061599864e-06
1.38693413588928e-05,1.3829160204628e-05,1.0180350817535e-05,7.8708295523226e-06
5.25459364915805e-06,5.2166962018649e-06,2.60692780896683e-06,1.87003775353036e-06
1.22881455900883e-06,1.26546886314331e-06,2.18481789080319e-06,2.32661685444093e-06
3.60753372667765e-06,3.4578587979044e-06,3.71549681705984e-06,3.86399902196891e-06
4.96904459080899e-06,4.90934106819912e-06,2.74873722238953e-06,2.66173902055873e-06
9.26594878488729e-06,1.02073451961567e-05,3.36208266899258e-06,3.09037072784459e-06
5.87024723331874e-06,4.1229202664871e-06,3.38942015150485e-06,3.14828393075545e-06
4.0193878990668e-06,3.71096397922893e-06,1.73198432056023e-06,1.63523955053149e-06
6.48810990845767e-06,5.12918626497001e-06,1.62081387582652e-06,1.45993188543172e-06
3.04836303076578e-06,3.28305132180281e-06,2.09227231209583e-06,1.85671113813583e-06
5.90851198717406e-06,6.62376303170799e-06,4.6892031138257e-06,4.3942691074798e-06
8.06390419543652e-06,7.62819400129911e-06,2.53601289302109e-06,2.61299832630529e-06
1.78778284111345e-06,1.25299508822751e-06,6.13321014298304e-07,7.44818024064693e-07
7.02789725012189e-06,7.14886812547987e-06,2.21056346317245e-06,2.51561981561903e-06
1.14954962308762e-05,9.93881892638131e-06,1.06069411257422e-05,9.02132535178895e-06
6.62737913034905e-06,6.8648868275371e-06,4.35997952792771e-06,3.67628189329284e-06
1.37775420061219e-05,1.4869442497802e-05,4.44677446734315e-06,4.04010428458423e-06
7.26274048975402e-06,6.89376534932813e-06,2.65330338011727e-06,2.85243691418994e-06
1.614990902907e-05,1.33087257949862e-05,1.06053769152504e-05,1.13097284749449e-05
2.15014852615267e-05,1.74825066221117e-05,9.46052021428578e-06,9.6568475244482e-06
2.63877189131304e-05,2.35184825568149e-05,1.35590674580529e-05,1.15787848485661e-05
2.02689366438949e-05,1.92729942459969e-05,9.63964641897569e-06,9.09302550938725e-06
