sub,eyes,big,small,val
sub001,open,accuracy,corr,0.0958569301553164
sub001,open,accuracy,incorr,-0.118881757346196
sub001,open,accuracy_e,corr_e,-0.0165509294314776
sub001,open,accuracy_e,incorr_e,-0.118881757346196
sub001,open,rt,fast,0.162130024208608
sub001,open,rt,slow,0.0811948742940745
sub001,closed,accuracy,corr,-0.00416131052166342
sub001,closed,accuracy,incorr,0.0896067738146229
sub001,closed,accuracy_e,corr_e,0.175213572064446
sub001,closed,accuracy_e,incorr_e,0.0896067738146229
sub001,closed,rt,fast,0.130931265802306
sub001,closed,rt,slow,-0.118936683724457
sub002,open,accuracy,corr,-0.010004977371736
sub002,open,accuracy,incorr,0.0696907669596564
sub002,open,accuracy_e,corr_e,0.0742600905890265
sub002,open,accuracy_e,incorr_e,0.0696907669596564
sub002,open,rt,fast,-0.025692923525015
sub002,open,rt,slow,0.00666529108288924
sub002,closed,accuracy,corr,1.07241911473842e-05
sub002,closed,accuracy,incorr,0.044728007155758
sub002,closed,accuracy_e,corr_e,0.0999826827706105
sub002,closed,accuracy_e,incorr_e,0.044728007155758
sub002,closed,rt,fast,0.0780109434094433
sub002,closed,rt,slow,-0.0355619234939653
sub003,open,accuracy,corr,0.122910299655519
sub003,open,accuracy,incorr,0.0485712045955139
sub003,open,accuracy_e,corr_e,0.155374024269942
sub003,open,accuracy_e,incorr_e,0.0485712045955139
sub003,open,rt,fast,0.154549054286823
sub003,open,rt,slow,0.118330597659924
sub003,closed,accuracy,corr,0.0940635519803555
sub003,closed,accuracy,incorr,0.000338562279918785
sub003,closed,accuracy_e,corr_e,0.0646688097378989
sub003,closed,accuracy_e,incorr_e,0.000338562279918785
sub003,closed,rt,fast,0.0524524300717386
sub003,closed,rt,slow,0.131008766054278
sub004,open,accuracy,corr,-0.00945734517707405
sub004,open,accuracy,incorr,-0.144807647748349
sub004,open,accuracy_e,corr_e,0.292375218219208
sub004,open,accuracy_e,incorr_e,-0.144807647748349
sub004,open,rt,fast,0.0456275112135054
sub004,open,rt,slow,-0.0297930252226799
sub004,closed,accuracy,corr,-0.0610883392451569
sub004,closed,accuracy,incorr,-0.128839238415455
sub004,closed,accuracy_e,corr_e,-0.0380453629851669
sub004,closed,accuracy_e,incorr_e,-0.128839238415455
sub004,closed,rt,fast,-0.0214365943282729
sub004,closed,rt,slow,-0.101065962570311
sub005,open,accuracy,corr,0.0699277429655283
sub005,open,accuracy,incorr,-0.133881324630208
sub005,open,accuracy_e,corr_e,0.0972860187170171
sub005,open,accuracy_e,incorr_e,-0.133881324630208
sub005,open,rt,fast,0.140372592881393
sub005,open,rt,slow,-0.0269953984959334
sub005,closed,accuracy,corr,0.126799127477987
sub005,closed,accuracy,incorr,0.0506058366835394
sub005,closed,accuracy_e,corr_e,0.196919238950025
sub005,closed,accuracy_e,incorr_e,0.0506058366835394
sub005,closed,rt,fast,0.235748233516786
sub005,closed,rt,slow,-0.0299741865026123
sub006,open,accuracy,corr,0.222299428849092
sub006,open,accuracy,incorr,0.458282336461429
sub006,open,accuracy_e,corr_e,0.238817366240567
sub006,open,accuracy_e,incorr_e,0.458282336461429
sub006,open,rt,fast,0.277655508594023
sub006,open,rt,slow,0.137300371472939
sub006,closed,accuracy,corr,0.209157174309548
sub006,closed,accuracy,incorr,0.154490309530687
sub006,closed,accuracy_e,corr_e,0.303974420402829
sub006,closed,accuracy_e,incorr_e,0.154490309530687
sub006,closed,rt,fast,0.303749190646635
sub006,closed,rt,slow,0.13198269350773
sub007,open,accuracy,corr,-0.0161711892696458
sub007,open,accuracy,incorr,0.00131181140851826
sub007,open,accuracy_e,corr_e,-0.0512363170802841
sub007,open,accuracy_e,incorr_e,0.00131181140851826
sub007,open,rt,fast,-0.0466702960570969
sub007,open,rt,slow,-0.0230602114332799
sub007,closed,accuracy,corr,0.00873534433504763
sub007,closed,accuracy,incorr,-0.0292140312832103
sub007,closed,accuracy_e,corr_e,0.010324222646198
sub007,closed,accuracy_e,incorr_e,-0.0292140312832103
sub007,closed,rt,fast,-0.0135202680873415
sub007,closed,rt,slow,-0.00730397116097154
sub008,open,accuracy,corr,-0.132229106854421
sub008,open,accuracy,incorr,-0.141386252327251
sub008,open,accuracy_e,corr_e,0.127951964049159
sub008,open,accuracy_e,incorr_e,-0.141386252327251
sub008,open,rt,fast,-0.0781154078692704
sub008,open,rt,slow,-0.186460628885375
sub008,closed,accuracy,corr,0.123754890278298
sub008,closed,accuracy,incorr,-0.0866548021080122
sub008,closed,accuracy_e,corr_e,0.173865401704373
sub008,closed,accuracy_e,incorr_e,-0.0866548021080122
sub008,closed,rt,fast,0.0872019987569508
sub008,closed,rt,slow,0.158624166099888
sub009,open,accuracy,corr,0.0923808158615765
sub009,open,accuracy,incorr,0.498873961567428
sub009,open,accuracy_e,corr_e,0.0956397091755116
sub009,open,accuracy_e,incorr_e,0.498873961567428
sub009,open,rt,fast,0.162822773291496
sub009,open,rt,slow,0.0795200827070978
sub009,closed,accuracy,corr,0.273437946193858
sub009,closed,accuracy,incorr,0.172092692153379
sub009,closed,accuracy_e,corr_e,0.292639541455079
