sub,eyes,big,small,val
sub001,open,accuracy,correct,0.146472645095133
sub001,open,accuracy,incorrect,-0.0194792485304143
sub001,open,accuracy_e,correct_e,0.311011962082348
sub001,open,accuracy_e,incorrect_e,-0.0194792485304143
sub001,open,rt,fast,0.240732794662855
sub001,open,rt,slow,0.0572314191656348
sub001,closed,accuracy,correct,-0.0961253297149637
sub001,closed,accuracy,incorrect,0.160540499879504
sub001,closed,accuracy_e,correct_e,0.188345989693857
sub001,closed,accuracy_e,incorrect_e,0.160540499879504
sub001,closed,rt,fast,0.0348168919342975
sub001,closed,rt,slow,-0.221036005032115
sub002,open,accuracy,correct,-0.00651982379915028
sub002,open,accuracy,incorrect,0.071434425295199
sub002,open,accuracy_e,correct_e,-0.00306731200322505
sub002,open,accuracy_e,incorrect_e,0.071434425295199
sub002,open,rt,fast,-0.0553118723872318
sub002,open,rt,slow,0.0385936054757169
sub002,closed,accuracy,correct,0.00723707376434731
sub002,closed,accuracy,incorrect,0.036182276897379
sub002,closed,accuracy_e,correct_e,-0.0607645257849244
sub002,closed,accuracy_e,incorrect_e,0.036182276897379
sub002,closed,rt,fast,0.00532246762581913
sub002,closed,rt,slow,0.0153230770658527
sub003,open,accuracy,correct,0.147847784979182
sub003,open,accuracy,incorrect,0.0165245769100771
sub003,open,accuracy_e,correct_e,0.219254298583851
sub003,open,accuracy_e,incorrect_e,0.0165245769100771
sub003,open,rt,fast,0.200372849911657
sub003,open,rt,slow,0.10661280554968
sub003,closed,accuracy,correct,0.0550937269235272
sub003,closed,accuracy,incorrect,0.0647692979006817
sub003,closed,accuracy_e,correct_e,0.0753545396775963
sub003,closed,accuracy_e,incorrect_e,0.0647692979006817
sub003,closed,rt,fast,-0.0521186170196071
sub003,closed,rt,slow,0.124641090765174
sub004,open,accuracy,correct,0.0650805760979072
sub004,open,accuracy,incorrect,-0.0251954560991042
sub004,open,accuracy_e,correct_e,0.0583575237699666
sub004,open,accuracy_e,incorrect_e,-0.0251954560991042
sub004,open,rt,fast,0.230595080240355
sub004,open,rt,slow,-0.0755376745197422
sub004,closed,accuracy,correct,0.0560852349835357
sub004,closed,accuracy,incorrect,0.175124019749025
sub004,closed,accuracy_e,correct_e,0.0786396494007598
sub004,closed,accuracy_e,incorrect_e,0.175124019749025
sub004,closed,rt,fast,0.11731565255246
sub004,closed,rt,slow,0.0225293132982727
sub005,open,accuracy,correct,0.047071869096387
sub005,open,accuracy,incorrect,-0.0223966616638984
sub005,open,accuracy_e,correct_e,0.111189369349194
sub005,open,accuracy_e,incorrect_e,-0.0223966616638984
sub005,open,rt,fast,0.184766596534832
sub005,open,rt,slow,-0.0752942416960661
sub005,closed,accuracy,correct,0.179807574129163
sub005,closed,accuracy,incorrect,-0.0138776436915083
sub005,closed,accuracy_e,correct_e,0.181986180296534
sub005,closed,accuracy_e,incorrect_e,-0.0138776436915083
sub005,closed,rt,fast,0.155835246894934
sub005,closed,rt,slow,0.193967621809721
sub006,open,accuracy,correct,0.149568722327698
sub006,open,accuracy,incorrect,0.392127069010817
sub006,open,accuracy_e,correct_e,0.0113188525950756
sub006,open,accuracy_e,incorrect_e,0.392127069010817
sub006,open,rt,fast,0.164042513954275
sub006,open,rt,slow,0.15755446773507
sub006,closed,accuracy,correct,0.165729695114029
sub006,closed,accuracy,incorrect,0.197207880268041
sub006,closed,accuracy_e,correct_e,0.107902268375231
sub006,closed,accuracy_e,incorrect_e,0.197207880268041
sub006,closed,rt,fast,0.2641477999584
sub006,closed,rt,slow,0.0762092225756587
sub007,open,accuracy,correct,-0.0111573832152481
sub007,open,accuracy,incorrect,0.0667249095999367
sub007,open,accuracy_e,correct_e,-0.0736241665605983
sub007,open,accuracy_e,incorrect_e,0.0667249095999367
sub007,open,rt,fast,0.0810815738318178
sub007,open,rt,slow,-0.10590917206875
