sub,eyes,big,small,val
sub001,open,accuracy,corr,0.113697221202499
sub001,open,accuracy,incorr,0.0636457146288199
sub001,open,accuracy_e,corr_e,0.0445427039540309
sub001,open,accuracy_e,incorr_e,0.0636457146288199
sub001,open,rt,fast,0.115244956688954
sub001,open,rt,slow,0.118415784796039
sub001,closed,accuracy,corr,0.118341357558383
sub001,closed,accuracy,incorr,0.0364977826153084
sub001,closed,accuracy_e,corr_e,0.0983901515054172
sub001,closed,accuracy_e,incorr_e,0.0364977826153084
sub001,closed,rt,fast,0.0764046008555592
sub001,closed,rt,slow,0.166488602104301
sub002,open,accuracy,corr,0.0621463566200524
sub002,open,accuracy,incorr,0.0532862138427883
sub002,open,accuracy_e,corr_e,-0.0478039370506759
sub002,open,accuracy_e,incorr_e,0.0532862138427883
sub002,open,rt,fast,0.0719374354014368
sub002,open,rt,slow,0.050166195259986
sub002,closed,accuracy,corr,0.0450294911876896
sub002,closed,accuracy,incorr,0.103535266994067
sub002,closed,accuracy_e,corr_e,0.00997023031415572
sub002,closed,accuracy_e,incorr_e,0.103535266994067
sub002,closed,rt,fast,0.087611595678206
sub002,closed,rt,slow,0.0342644097901741
sub003,open,accuracy,corr,0.106708687326751
sub003,open,accuracy,incorr,-0.00642631004091881
sub003,open,accuracy_e,corr_e,0.0224035555743648
sub003,open,accuracy_e,incorr_e,-0.00642631004091881
sub003,open,rt,fast,0.137952039855368
sub003,open,rt,slow,0.114033247576811
sub003,closed,accuracy,corr,0.0498036028461461
sub003,closed,accuracy,incorr,0.171836696763586
sub003,closed,accuracy_e,corr_e,0.106819189350393
sub003,closed,accuracy_e,incorr_e,0.171836696763586
sub003,closed,rt,fast,-0.0463171332218534
sub003,closed,rt,slow,0.147809248591524
sub004,open,accuracy,corr,0.200366686776349
sub004,open,accuracy,incorr,-0.00398320855733349
sub004,open,accuracy_e,corr_e,0.0897259416503287
sub004,open,accuracy_e,incorr_e,-0.00398320855733349
sub004,open,rt,fast,0.341481621646427
sub004,open,rt,slow,0.082583082938136
sub004,closed,accuracy,corr,0.111816943333058
sub004,closed,accuracy,incorr,0.043816424187316
sub004,closed,accuracy_e,corr_e,0.0484417004106247
sub004,closed,accuracy_e,incorr_e,0.043816424187316
sub004,closed,rt,fast,0.109372996650881
sub004,closed,rt,slow,0.128754393259953
sub005,open,accuracy,corr,-0.01950162050468
sub005,open,accuracy,incorr,0.0379872627679298
sub005,open,accuracy_e,corr_e,0.0529368202875431
sub005,open,accuracy_e,incorr_e,0.0379872627679298
sub005,open,rt,fast,0.0150090265213612
sub005,open,rt,slow,-0.0575382264180524
sub005,closed,accuracy,corr,-0.0261767324153772
sub005,closed,accuracy,incorr,0.106891358525922
sub005,closed,accuracy_e,corr_e,-0.0486125077451546
sub005,closed,accuracy_e,incorr_e,0.106891358525922
sub005,closed,rt,fast,0.0156880723676521
sub005,closed,rt,slow,-0.0871884764442057
sub006,open,accuracy,corr,0.0907122773960339
sub006,open,accuracy,incorr,0.111671229387206
sub006,open,accuracy_e,corr_e,0.0227213415882845
sub006,open,accuracy_e,incorr_e,0.111671229387206
sub006,open,rt,fast,0.131795449414673
sub006,open,rt,slow,0.0489497843352748
sub006,closed,accuracy,corr,0.126502380519339
sub006,closed,accuracy,incorr,0.169269589699912
sub006,closed,accuracy_e,corr_e,0.125881007053588
sub006,closed,accuracy_e,incorr_e,0.169269589699912
sub006,closed,rt,fast,0.120236420412728
sub006,closed,rt,slow,0.133230587761823
sub007,open,accuracy,corr,0.0153912782660889
sub007,open,accuracy,incorr,-0.0829341728103262
sub007,open,accuracy_e,corr_e,-0.0308870461143399
