sub,eyes,big,small,val
sub001,open,accuracy,correct,0.127098480310796
sub001,open,accuracy,incorrect,-0.0495368407851552
sub001,open,accuracy_e,correct_e,0.272389728271226
sub001,open,accuracy_e,incorrect_e,-0.0495368407851552
sub001,open,rt,fast,0.139542074128948
sub001,open,rt,slow,0.128072774422523
sub001,closed,accuracy,correct,0.111800807690449
sub001,closed,accuracy,incorrect,-0.309775711436509
sub001,closed,accuracy_e,correct_e,0.337908049788584
sub001,closed,accuracy_e,incorrect_e,-0.309775711436509
sub001,closed,rt,fast,0.0899826582983049
sub001,closed,rt,slow,0.132488599016831
sub002,open,accuracy,correct,0.0503336571788476
sub002,open,accuracy,incorrect,0.0660088589477801
sub002,open,accuracy_e,correct_e,0.0971020242088751
sub002,open,accuracy_e,incorrect_e,0.0660088589477801
sub002,open,rt,fast,0.00368534736105229
sub002,open,rt,slow,0.0926283892604055
sub002,closed,accuracy,correct,-0.00127891019382646
sub002,closed,accuracy,incorrect,0.139507105213698
sub002,closed,accuracy_e,correct_e,-0.0094773523215076
sub002,closed,accuracy_e,incorrect_e,0.139507105213698
sub002,closed,rt,fast,0.0161079530401985
sub002,closed,rt,slow,0.00731940298233462
sub003,open,accuracy,correct,0.103352374249627
sub003,open,accuracy,incorrect,0.117961296858846
sub003,open,accuracy_e,correct_e,0.0775040288128942
sub003,open,accuracy_e,incorrect_e,0.117961296858846
sub003,open,rt,fast,0.122278404248279
sub003,open,rt,slow,0.107110410004586
sub003,closed,accuracy,correct,0.0651299074926339
sub003,closed,accuracy,incorrect,0.288946798360675
sub003,closed,accuracy_e,correct_e,0.0250146925785291
sub003,closed,accuracy_e,incorrect_e,0.288946798360675
sub003,closed,rt,fast,-0.0378424252020189
sub003,closed,rt,slow,0.166955689793299
sub004,open,accuracy,correct,0.0708097683462223
sub004,open,accuracy,incorrect,0.000961279136112882
sub004,open,accuracy_e,correct_e,-0.144669266246503
sub004,open,accuracy_e,incorrect_e,0.000961279136112882
sub004,open,rt,fast,0.0798379192827025
sub004,open,rt,slow,0.0738172147364701
sub004,closed,accuracy,correct,0.0429102026065317
sub004,closed,accuracy,incorrect,0.274217732869632
sub004,closed,accuracy_e,correct_e,-0.111440982949006
sub004,closed,accuracy_e,incorrect_e,0.274217732869632
sub004,closed,rt,fast,0.0650921440942597
sub004,closed,rt,slow,0.0268031233973804
sub005,open,accuracy,correct,-0.0114716150685617
sub005,open,accuracy,incorrect,-0.0554938931369529
sub005,open,accuracy_e,correct_e,-0.0791124747212789
sub005,open,accuracy_e,incorrect_e,-0.0554938931369529
sub005,open,rt,fast,-0.0543074007685099
sub005,open,rt,slow,0.0422333303111641
sub005,closed,accuracy,correct,0.0437414919221261
sub005,closed,accuracy,incorrect,0.212243466545893
sub005,closed,accuracy_e,correct_e,0.0767226569745901
sub005,closed,accuracy_e,incorrect_e,0.212243466545893
sub005,closed,rt,fast,0.160631302845095
sub005,closed,rt,slow,-0.116877457482658
sub006,open,accuracy,correct,0.149634723788066
sub006,open,accuracy,incorrect,0.381704215666566
sub006,open,accuracy_e,correct_e,0.0711576180741896
sub006,open,accuracy_e,incorrect_e,0.381704215666566
sub006,open,rt,fast,0.191532245769482
sub006,open,rt,slow,0.0843555626947474
sub006,closed,accuracy,correct,0.123481814561149
sub006,closed,accuracy,incorrect,0.12835505253482
sub006,closed,accuracy_e,correct_e,0.0248070787643956
sub006,closed,accuracy_e,incorrect_e,0.12835505253482
sub006,closed,rt,fast,0.160571380945636
sub006,closed,rt,slow,0.095261196170305
sub007,open,accuracy,correct,-0.032477265396537
sub007,open,accuracy,incorrect,-0.0831762492844443
sub007,open,accuracy_e,correct_e,-0.106841594558166
sub007,open,accuracy_e,incorrect_e,-0.0831762492844443
sub007,open,rt,fast,0.0065359356425093
sub007,open,rt,slow,-0.0556647476272005
sub007,closed,accuracy,correct,-0.0186688270329125
sub007,closed,accuracy,incorrect,-0.11840442845306
sub007,closed,accuracy_e,correct_e,0.0610170323464773
sub007,closed,accuracy_e,incorrect_e,-0.11840442845306
sub007,closed,rt,fast,-0.0331036775850882
sub007,closed,rt,slow,0.0106856833538625
sub008,open,accuracy,correct,0.0961088628346817
sub008,open,accuracy,incorrect,0.0927746584977624
sub008,open,accuracy_e,correct_e,0.0761503052617143
sub008,open,accuracy_e,incorrect_e,0.0927746584977624
sub008,open,rt,fast,0.0806772231740202
sub008,open,rt,slow,0.11078375483204
sub008,closed,accuracy,correct,0.0302290275518177
sub008,closed,accuracy,incorrect,-0.279863435250534
sub008,closed,accuracy_e,correct_e,-0.0449810150935453
sub008,closed,accuracy_e,incorrect_e,-0.279863435250534
sub008,closed,rt,fast,0.0153929548421602
sub008,closed,rt,slow,0.0473460991807855
sub009,open,accuracy,correct,-0.0283001514203354
sub009,open,accuracy,incorrect,0.405536283172389
sub009,open,accuracy_e,correct_e,0.0409257350320647
sub009,open,accuracy_e,incorrect_e,0.405536283172389
sub009,open,rt,fast,-0.0982975955944938
sub009,open,rt,slow,-0.00350240635007208
sub009,closed,accuracy,correct,0.356747972168006
sub009,closed,accuracy,incorrect,0.211573929639666
sub009,closed,accuracy_e,correct_e,0.312980896000907
sub009,closed,accuracy_e,incorrect_e,0.211573929639666
sub009,closed,rt,fast,0.460779274053224
sub009,closed,rt,slow,0.223959309626011
sub010,open,accuracy,correct,0.130702706237325
sub010,open,accuracy,incorrect,0.473050533044803
sub010,open,accuracy_e,correct_e,0.123984239341555
sub010,open,accuracy_e,incorrect_e,0.473050533044803
sub010,open,rt,fast,0.1048864156844
sub010,open,rt,slow,0.162733557398563
sub010,closed,accuracy,correct,0.613252849690227
sub010,closed,accuracy,incorrect,-0.0304369849274324
sub010,closed,accuracy_e,correct_e,0.734795489077406
sub010,closed,accuracy_e,incorrect_e,-0.0304369849274324
sub010,closed,rt,fast,0.590605563639501
sub010,closed,rt,slow,0.60050457498122
