sub,eyes,big,small,val
sub001,open,accuracy,corr,5.02764078389213
sub001,open,accuracy,incorr,4.18895463926652
sub001,open,accuracy_e,corr_e,5.90938308744336
sub001,open,accuracy_e,incorr_e,4.18895463926652
sub001,open,rt,fast,4.89008786328423
sub001,open,rt,slow,5.1584430717314
sub001,closed,accuracy,corr,5.31908674308944
sub001,closed,accuracy,incorr,5.53143878885376
sub001,closed,accuracy_e,corr_e,5.30184575015586
sub001,closed,accuracy_e,incorr_e,5.53143878885376
sub001,closed,rt,fast,5.2868523205352
sub001,closed,rt,slow,5.33251938462306
sub002,open,accuracy,corr,2.76588885402015
sub002,open,accuracy,incorr,2.25282382724417
sub002,open,accuracy_e,corr_e,2.49679983121045
sub002,open,accuracy_e,incorr_e,2.25282382724417
sub002,open,rt,fast,2.70161577807532
sub002,open,rt,slow,2.82078715025034
sub002,closed,accuracy,corr,4.3735728343028
sub002,closed,accuracy,incorr,4.63329980162592
sub002,closed,accuracy_e,corr_e,4.26488454353414
sub002,closed,accuracy_e,incorr_e,4.63329980162592
sub002,closed,rt,fast,3.81308092475795
sub002,closed,rt,slow,4.88123359227403
sub003,open,accuracy,corr,3.37403872330377
sub003,open,accuracy,incorr,2.85956108157209
sub003,open,accuracy_e,corr_e,3.06059452392951
sub003,open,accuracy_e,incorr_e,2.85956108157209
sub003,open,rt,fast,3.33874218097442
sub003,open,rt,slow,3.4458416694611
sub003,closed,accuracy,corr,4.20311717863222
sub003,closed,accuracy,incorr,4.20570227478086
sub003,closed,accuracy_e,corr_e,4.47168614381503
sub003,closed,accuracy_e,incorr_e,4.20570227478086
sub003,closed,rt,fast,4.29127211794821
sub003,closed,rt,slow,4.13998623514607
sub004,open,accuracy,corr,3.21979641541226
sub004,open,accuracy,incorr,2.89313996798784
sub004,open,accuracy_e,corr_e,3.34094763506863
sub004,open,accuracy_e,incorr_e,2.89313996798784
sub004,open,rt,fast,3.29878945585336
sub004,open,rt,slow,3.11320378071941
sub004,closed,accuracy,corr,4.32442446999665
sub004,closed,accuracy,incorr,4.00843692739344
sub004,closed,accuracy_e,corr_e,4.73473454892303
sub004,closed,accuracy_e,incorr_e,4.00843692739344
sub004,closed,rt,fast,4.42990518593325
sub004,closed,rt,slow,4.19762960232618
sub005,open,accuracy,corr,3.18427967528204
sub005,open,accuracy,incorr,2.78748336402266
sub005,open,accuracy_e,corr_e,3.09144473539369
sub005,open,accuracy_e,incorr_e,2.78748336402266
sub005,open,rt,fast,3.06307359353616
sub005,open,rt,slow,3.31209618416264
sub005,closed,accuracy,corr,4.79846380855836
sub005,closed,accuracy,incorr,4.80781041550375
sub005,closed,accuracy_e,corr_e,4.80460178842883
sub005,closed,accuracy_e,incorr_e,4.80781041550375
sub005,closed,rt,fast,4.65044003055167
sub005,closed,rt,slow,4.94312730858293
