sub,eyes,big,small,val
sub001,open,accuracy,correct,1.00630307566192
sub001,open,accuracy,incorrect,0.957010004882425
sub001,open,accuracy_e,correct_e,1.00853043120783
sub001,open,accuracy_e,incorrect_e,0.957010004882425
sub001,open,rt,fast,0.946659346753141
sub001,open,rt,slow,1.06737115865672
sub001,closed,accuracy,correct,1.09178605266702
sub001,closed,accuracy,incorrect,1.3012632516214
sub001,closed,accuracy_e,correct_e,1.0977572328784
sub001,closed,accuracy_e,incorrect_e,1.3012632516214
sub001,closed,rt,fast,1.03037743095289
sub001,closed,rt,slow,1.1464392181447
sub002,open,accuracy,correct,0.299278911813682
sub002,open,accuracy,incorrect,0.31353670997253
sub002,open,accuracy_e,correct_e,0.307575942362288
sub002,open,accuracy_e,incorrect_e,0.31353670997253
sub002,open,rt,fast,0.296093480410338
sub002,open,rt,slow,0.300380752135017
sub002,closed,accuracy,correct,0.459689637304988
sub002,closed,accuracy,incorrect,0.480657102685761
sub002,closed,accuracy_e,correct_e,0.491062836241712
sub002,closed,accuracy_e,incorrect_e,0.480657102685761
sub002,closed,rt,fast,0.495545038888126
sub002,closed,rt,slow,0.431188589628398
sub003,open,accuracy,correct,0.6753178046584
sub003,open,accuracy,incorrect,0.640446034311118
sub003,open,accuracy_e,correct_e,0.605503460335881
sub003,open,accuracy_e,incorrect_e,0.640446034311118
sub003,open,rt,fast,0.706941486560107
sub003,open,rt,slow,0.638897111318468
sub003,closed,accuracy,correct,0.826522301564519
sub003,closed,accuracy,incorrect,0.746191055345565
sub003,closed,accuracy_e,correct_e,0.893862543119001
sub003,closed,accuracy_e,incorrect_e,0.746191055345565
sub003,closed,rt,fast,0.92278170973348
sub003,closed,rt,slow,0.746496856502638
sub004,open,accuracy,correct,0.609479694198471
sub004,open,accuracy,incorrect,0.607198851685069
sub004,open,accuracy_e,correct_e,0.558697871981902
sub004,open,accuracy_e,incorrect_e,0.607198851685069
sub004,open,rt,fast,0.606050528760797
sub004,open,rt,slow,0.610095050452755
sub004,closed,accuracy,correct,0.709729504917241
sub004,closed,accuracy,incorrect,0.694212170920174
sub004,closed,accuracy_e,correct_e,0.764694253213739
sub004,closed,accuracy_e,incorrect_e,0.694212170920174
sub004,closed,rt,fast,0.726725071689609
sub004,closed,rt,slow,0.693021686804176
sub005,open,accuracy,correct,0.572302464991676
sub005,open,accuracy,incorrect,0.575070258968277
sub005,open,accuracy_e,correct_e,0.563004258668689
sub005,open,accuracy_e,incorrect_e,0.575070258968277
sub005,open,rt,fast,0.559092939691508
sub005,open,rt,slow,0.586299752312068
sub005,closed,accuracy,correct,0.753148562165082
sub005,closed,accuracy,incorrect,0.717600814152855
sub005,closed,accuracy_e,correct_e,0.770372521907387
