sub,eyes,big,small,val
sub001,open,accuracy,corr,5.61649000343698
sub001,open,accuracy,incorr,4.79568010501965
sub001,open,accuracy_e,corr_e,5.94586626789275
sub001,open,accuracy_e,incorr_e,4.79568010501965
sub001,open,rt,fast,5.33729975729376
sub001,open,rt,slow,5.86801958327002
sub001,closed,accuracy,corr,5.94158057203733
sub001,closed,accuracy,incorr,6.72482698230727
sub001,closed,accuracy_e,corr_e,6.00013582443659
sub001,closed,accuracy_e,incorr_e,6.72482698230727
sub001,closed,rt,fast,5.95370109997025
sub001,closed,rt,slow,5.85480004859664
sub002,open,accuracy,corr,2.79077572314042
sub002,open,accuracy,incorr,2.18673926474304
sub002,open,accuracy_e,corr_e,3.29965911181225
sub002,open,accuracy_e,incorr_e,2.18673926474304
sub002,open,rt,fast,2.88076703086031
sub002,open,rt,slow,2.70417535712442
sub002,closed,accuracy,corr,4.9927135244842
sub002,closed,accuracy,incorr,4.90708207352437
sub002,closed,accuracy_e,corr_e,5.19110718635672
sub002,closed,accuracy_e,incorr_e,4.90708207352437
sub002,closed,rt,fast,4.85204596335895
sub002,closed,rt,slow,5.1189177255291
sub003,open,accuracy,corr,3.13456245169409
sub003,open,accuracy,incorr,2.91647268416179
sub003,open,accuracy_e,corr_e,3.01122236358208
sub003,open,accuracy_e,incorr_e,2.91647268416179
sub003,open,rt,fast,3.03813584304418
sub003,open,rt,slow,3.2537104444414
sub003,closed,accuracy,corr,4.39772717101657
sub003,closed,accuracy,incorr,4.60297789469404
sub003,closed,accuracy_e,corr_e,4.45169051502339
sub003,closed,accuracy_e,incorr_e,4.60297789469404
sub003,closed,rt,fast,4.72907585504988
sub003,closed,rt,slow,4.06472447623658
sub004,open,accuracy,corr,3.16347277783006
sub004,open,accuracy,incorr,2.96326052582813
sub004,open,accuracy_e,corr_e,3.23493379081684
sub004,open,accuracy_e,incorr_e,2.96326052582813
sub004,open,rt,fast,3.23033694145039
sub004,open,rt,slow,3.09483205560585
sub004,closed,accuracy,corr,4.74714174228909
sub004,closed,accuracy,incorr,4.68458254373907
sub004,closed,accuracy_e,corr_e,3.98276597576614
sub004,closed,accuracy_e,incorr_e,4.68458254373907
sub004,closed,rt,fast,4.59638006386422
sub004,closed,rt,slow,4.87012009084298
sub005,open,accuracy,corr,3.27503845637314
sub005,open,accuracy,incorr,2.87745129158191
sub005,open,accuracy_e,corr_e,3.26692922883309
sub005,open,accuracy_e,incorr_e,2.87745129158191
sub005,open,rt,fast,3.30726764543983
sub005,open,rt,slow,3.23963798521845
sub005,closed,accuracy,corr,5.37580323059607
sub005,closed,accuracy,incorr,5.49713380723269
sub005,closed,accuracy_e,corr_e,5.24606381694712
sub005,closed,accuracy_e,incorr_e,5.49713380723269
sub005,closed,rt,fast,5.61486729292352
sub005,closed,rt,slow,5.09636160592753
sub006,open,accuracy,corr,3.11794434682786
sub006,open,accuracy,incorr,3.14048390088852
sub006,open,accuracy_e,corr_e,3.05230355910922
sub006,open,accuracy_e,incorr_e,3.14048390088852
sub006,open,rt,fast,3.14265213343853
sub006,open,rt,slow,3.10143867746923
sub006,closed,accuracy,corr,4.68690905743688
sub006,closed,accuracy,incorr,4.11183974915219
sub006,closed,accuracy_e,corr_e,5.32537344620485
sub006,closed,accuracy_e,incorr_e,4.11183974915219
sub006,closed,rt,fast,4.8541362140722
sub006,closed,rt,slow,4.51153078992812
sub007,open,accuracy,corr,1.53514574255172
sub007,open,accuracy,incorr,2.0571143307492
sub007,open,accuracy_e,corr_e,1.65709667605691
sub007,open,accuracy_e,incorr_e,2.0571143307492
sub007,open,rt,fast,1.6229370807213
sub007,open,rt,slow,1.46963508215566
sub007,closed,accuracy,corr,2.75936968586294
sub007,closed,accuracy,incorr,1.97687306990849
sub007,closed,accuracy_e,corr_e,2.29441740641307
sub007,closed,accuracy_e,incorr_e,1.97687306990849
sub007,closed,rt,fast,2.92901621319552
sub007,closed,rt,slow,2.60113825432839
sub008,open,accuracy,corr,3.62464553879655
sub008,open,accuracy,incorr,2.24104407973167
sub008,open,accuracy_e,corr_e,2.78004913413705
sub008,open,accuracy_e,incorr_e,2.24104407973167
sub008,open,rt,fast,3.28675612681357
sub008,open,rt,slow,3.94749954564701
sub008,closed,accuracy,corr,4.45596947114575
sub008,closed,accuracy,incorr,5.40965437161974
sub008,closed,accuracy_e,corr_e,5.462249675288
sub008,closed,accuracy_e,incorr_e,5.40965437161974
sub008,closed,rt,fast,4.85233097359375
sub008,closed,rt,slow,4.02052275836643
sub009,open,accuracy,corr,5.44725472210791
sub009,open,accuracy,incorr,5.74647733100597
sub009,open,accuracy_e,corr_e,5.33113496238487
sub009,open,accuracy_e,incorr_e,5.74647733100597
sub009,open,rt,fast,5.47364383921961
sub009,open,rt,slow,5.40527964454784
sub009,closed,accuracy,corr,6.02173166634427
sub009,closed,accuracy,incorr,5.36511097149516
sub009,closed,accuracy_e,corr_e,6.04333927752343
sub009,closed,accuracy_e,incorr_e,5.36511097149516
sub009,closed,rt,fast,6.1967722008521
sub009,closed,rt,slow,5.84137093698445
sub010,open,accuracy,corr,5.35165069949123
sub010,open,accuracy,incorr,5.08395994175915
sub010,open,accuracy_e,corr_e,5.78557350534174
sub010,open,accuracy_e,incorr_e,5.08395994175915
sub010,open,rt,fast,5.17850025321352
sub010,open,rt,slow,5.53474783003948
sub010,closed,accuracy,corr,6.99156257245014
sub010,closed,accuracy,incorr,7.16014841675996
sub010,closed,accuracy_e,corr_e,6.91202517748291
sub010,closed,accuracy_e,incorr_e,7.16014841675996
sub010,closed,rt,fast,6.84908328482303
sub010,closed,rt,slow,7.13588317753032
sub011,open,accuracy,corr,3.71196035545799
sub011,open,accuracy,incorr,3.22710835922376
sub011,open,accuracy_e,corr_e,3.96369714923613
sub011,open,accuracy_e,incorr_e,3.22710835922376
sub011,open,rt,fast,3.64658053531758
sub011,open,rt,slow,3.78293138691419
sub011,closed,accuracy,corr,3.52429937871185
sub011,closed,accuracy,incorr,3.6770240526554
sub011,closed,accuracy_e,corr_e,3.66422658832253
sub011,closed,accuracy_e,incorr_e,3.6770240526554
sub011,closed,rt,fast,3.46500782918968
sub011,closed,rt,slow,3.55314174045588
sub012,open,accuracy,corr,5.80253791464088
sub012,open,accuracy,incorr,6.54835101795624
sub012,open,accuracy_e,corr_e,5.28574665110269
sub012,open,accuracy_e,incorr_e,6.54835101795624
sub012,open,rt,fast,6.17309804701499
sub012,open,rt,slow,5.37916507721498
sub012,closed,accuracy,corr,7.42856555810578
sub012,closed,accuracy,incorr,6.29627841409229
sub012,closed,accuracy_e,corr_e,7.18611564239138
sub012,closed,accuracy_e,incorr_e,6.29627841409229
sub012,closed,rt,fast,7.28899008573158
sub012,closed,rt,slow,7.5736754219602
sub017,open,accuracy,corr,4.38324463673632
sub017,open,accuracy,incorr,5.00381908754647
sub017,open,accuracy_e,corr_e,4.87813497494126
sub017,open,accuracy_e,incorr_e,5.00381908754647
sub017,open,rt,fast,4.32384292940565
sub017,open,rt,slow,4.45218680100645
sub017,closed,accuracy,corr,5.81607843387948
sub017,closed,accuracy,incorr,5.8492953097113
sub017,closed,accuracy_e,corr_e,5.92478960760505
sub017,closed,accuracy_e,incorr_e,5.8492953097113
sub017,closed,rt,fast,5.54628858544324
sub017,closed,rt,slow,6.05647460652334
sub018,open,accuracy,corr,3.24541212591927
sub018,open,accuracy,incorr,2.64555132074
sub018,open,accuracy_e,corr_e,3.04797947697554
sub018,open,accuracy_e,incorr_e,2.64555132074
sub018,open,rt,fast,3.26557957432684
sub018,open,rt,slow,3.22468553526897
sub018,closed,accuracy,corr,2.82579403247265
sub018,closed,accuracy,incorr,2.4912147276833
sub018,closed,accuracy_e,corr_e,2.78840843990116
