sub,eyes,big,small,val
sub001,open,accuracy,correct,1.00730010026577
sub001,open,accuracy,incorrect,0.917566563802265
sub001,open,accuracy_e,correct_e,1.01703171988421
sub001,open,accuracy_e,incorrect_e,0.917566563802265
sub001,open,rt,fast,1.03032311524321
sub001,open,rt,slow,0.987781862100041
sub001,closed,accuracy,correct,1.20012951086684
sub001,closed,accuracy,incorrect,1.44331275328723
sub001,closed,accuracy_e,correct_e,1.1911973878152
sub001,closed,accuracy_e,incorrect_e,1.44331275328723
sub001,closed,rt,fast,1.22778602908319
sub001,closed,rt,slow,1.1624985540571
sub002,open,accuracy,correct,0.364943470702192
sub002,open,accuracy,incorrect,0.371101404376455
sub002,open,accuracy_e,correct_e,0.337125571609198
sub002,open,accuracy_e,incorrect_e,0.371101404376455
sub002,open,rt,fast,0.394184846164942
sub002,open,rt,slow,0.339049347477682
sub002,closed,accuracy,correct,0.525457106329747
sub002,closed,accuracy,incorrect,0.513540662720293
sub002,closed,accuracy_e,correct_e,0.527567689444214
sub002,closed,accuracy_e,incorrect_e,0.513540662720293
sub002,closed,rt,fast,0.56059851864024
sub002,closed,rt,slow,0.497463340133303
sub003,open,accuracy,correct,0.656493893930125
sub003,open,accuracy,incorrect,0.677999338168072
sub003,open,accuracy_e,correct_e,0.670561982035109
sub003,open,accuracy_e,incorrect_e,0.677999338168072
sub003,open,rt,fast,0.661446448182859
sub003,open,rt,slow,0.648558945488027
sub003,closed,accuracy,correct,0.870749279314984
sub003,closed,accuracy,incorrect,0.793514822153204
sub003,closed,accuracy_e,correct_e,0.820921832358805
sub003,closed,accuracy_e,incorrect_e,0.793514822153204
sub003,closed,rt,fast,0.972420285571788
sub003,closed,rt,slow,0.766303067167955
sub004,open,accuracy,correct,0.694374545942154
sub004,open,accuracy,incorrect,0.622763330939617
sub004,open,accuracy_e,correct_e,0.618530877603777
sub004,open,accuracy_e,incorrect_e,0.622763330939617
sub004,open,rt,fast,0.706746046018775
sub004,open,rt,slow,0.677540242320221
sub004,closed,accuracy,correct,0.846182640467898
sub004,closed,accuracy,incorrect,0.764987572612433
sub004,closed,accuracy_e,correct_e,0.926560512884236
sub004,closed,accuracy_e,incorrect_e,0.764987572612433
sub004,closed,rt,fast,0.868856363379176
sub004,closed,rt,slow,0.822297803727013
sub005,open,accuracy,correct,0.631152465886737
sub005,open,accuracy,incorrect,0.597715587161023
sub005,open,accuracy_e,correct_e,0.636939513174082
sub005,open,accuracy_e,incorrect_e,0.597715587161023
sub005,open,rt,fast,0.623275989306096
sub005,open,rt,slow,0.641023685692499
sub005,closed,accuracy,correct,0.838687860629847
sub005,closed,accuracy,incorrect,0.755678514361471
sub005,closed,accuracy_e,correct_e,0.820219774898129
sub005,closed,accuracy_e,incorrect_e,0.755678514361471
sub005,closed,rt,fast,0.854220522527795
sub005,closed,rt,slow,0.829604697158209
sub006,open,accuracy,correct,0.713778263285652
sub006,open,accuracy,incorrect,0.695619719373853
sub006,open,accuracy_e,correct_e,0.745672676055116
sub006,open,accuracy_e,incorrect_e,0.695619719373853
sub006,open,rt,fast,0.70780643638753
sub006,open,rt,slow,0.718208387421982
sub006,closed,accuracy,correct,0.677145169218782
sub006,closed,accuracy,incorrect,0.659276253441093
sub006,closed,accuracy_e,correct_e,0.642006883211577
sub006,closed,accuracy_e,incorrect_e,0.659276253441093
sub006,closed,rt,fast,0.696738376583295
sub006,closed,rt,slow,0.657761097864473
sub007,open,accuracy,correct,0.156820877188114
sub007,open,accuracy,incorrect,0.162732011112136
sub007,open,accuracy_e,correct_e,0.149066420460485
sub007,open,accuracy_e,incorrect_e,0.162732011112136
sub007,open,rt,fast,0.159211830134062
sub007,open,rt,slow,0.153798242840163
sub007,closed,accuracy,correct,0.220914042083641
sub007,closed,accuracy,incorrect,0.182121947674863
sub007,closed,accuracy_e,correct_e,0.195935223462811
sub007,closed,accuracy_e,incorrect_e,0.182121947674863
sub007,closed,rt,fast,0.203450188549934
sub007,closed,rt,slow,0.24481605230022
sub008,open,accuracy,correct,1.16476126840308
sub008,open,accuracy,incorrect,0.945324828588209
sub008,open,accuracy_e,correct_e,1.06994815521984
sub008,open,accuracy_e,incorrect_e,0.945324828588209
sub008,open,rt,fast,1.15998811718488
sub008,open,rt,slow,1.16943275486225
sub008,closed,accuracy,correct,1.11648984342835
sub008,closed,accuracy,incorrect,1.09445576961187
sub008,closed,accuracy_e,correct_e,1.0336768155638
sub008,closed,accuracy_e,incorrect_e,1.09445576961187
sub008,closed,rt,fast,1.16443122775636
sub008,closed,rt,slow,1.07201069173986
sub009,open,accuracy,correct,0.829076332363833
sub009,open,accuracy,incorrect,0.837717952853808
sub009,open,accuracy_e,correct_e,0.831414648237403
sub009,open,accuracy_e,incorrect_e,0.837717952853808
sub009,open,rt,fast,0.808935323793409
sub009,open,rt,slow,0.849630277121735
sub009,closed,accuracy,correct,0.933396349217666
sub009,closed,accuracy,incorrect,0.947615465733642
sub009,closed,accuracy_e,correct_e,0.937607386907723
sub009,closed,accuracy_e,incorrect_e,0.947615465733642
sub009,closed,rt,fast,0.901668458415314
sub009,closed,rt,slow,0.972974260239745
sub010,open,accuracy,correct,1.45529543872401
sub010,open,accuracy,incorrect,1.50822742554817
sub010,open,accuracy_e,correct_e,1.46254877505178
sub010,open,accuracy_e,incorrect_e,1.50822742554817
sub010,open,rt,fast,1.50572221724712
sub010,open,rt,slow,1.40582481749176
sub010,closed,accuracy,correct,1.65475371756639
sub010,closed,accuracy,incorrect,1.83434899160956
sub010,closed,accuracy_e,correct_e,1.74283172349172
sub010,closed,accuracy_e,incorrect_e,1.83434899160956
sub010,closed,rt,fast,1.6396864815713
sub010,closed,rt,slow,1.67018143907782
sub011,open,accuracy,correct,0.85549533853336
sub011,open,accuracy,incorrect,1.02194968484802
sub011,open,accuracy_e,correct_e,0.786418463154552
sub011,open,accuracy_e,incorrect_e,1.02194968484802
sub011,open,rt,fast,0.820243184409685
sub011,open,rt,slow,0.892810699522813
sub011,closed,accuracy,correct,0.98545384732808
sub011,closed,accuracy,incorrect,0.959880623598599
sub011,closed,accuracy_e,correct_e,1.12762403114763
sub011,closed,accuracy_e,incorrect_e,0.959880623598599
sub011,closed,rt,fast,1.00751238449869
sub011,closed,rt,slow,0.964015138586923
sub012,open,accuracy,correct,1.08951377722327
sub012,open,accuracy,incorrect,1.26047276835351
sub012,open,accuracy_e,correct_e,1.00651047651428
sub012,open,accuracy_e,incorrect_e,1.26047276835351
sub012,open,rt,fast,1.15529663505668
sub012,open,rt,slow,1.0204340564155
sub012,closed,accuracy,correct,1.26297564060358
sub012,closed,accuracy,incorrect,1.14092646080629
sub012,closed,accuracy_e,correct_e,1.26995815608074
sub012,closed,accuracy_e,incorrect_e,1.14092646080629
sub012,closed,rt,fast,1.23737883686969
sub012,closed,rt,slow,1.29482431855743
sub017,open,accuracy,correct,1.03876640106507
sub017,open,accuracy,incorrect,1.01366449580693
sub017,open,accuracy_e,correct_e,1.03430503880982
sub017,open,accuracy_e,incorrect_e,1.01366449580693
sub017,open,rt,fast,1.0322981572403
sub017,open,rt,slow,1.04689824923848
sub017,closed,accuracy,correct,1.2172055881821
sub017,closed,accuracy,incorrect,0.994143453793103
sub017,closed,accuracy_e,correct_e,1.25656316539449
sub017,closed,accuracy_e,incorrect_e,0.994143453793103
sub017,closed,rt,fast,1.16545452168725
sub017,closed,rt,slow,1.26318185560251
sub018,open,accuracy,correct,0.482831247589363
sub018,open,accuracy,incorrect,0.456431761415508
sub018,open,accuracy_e,correct_e,0.447853472323786
sub018,open,accuracy_e,incorrect_e,0.456431761415508
sub018,open,rt,fast,0.471231530964294
sub018,open,rt,slow,0.494730794736731
sub018,closed,accuracy,correct,0.396479756613492
sub018,closed,accuracy,incorrect,0.383083941726986
sub018,closed,accuracy_e,correct_e,0.387561354235785
sub018,closed,accuracy_e,incorrect_e,0.383083941726986
sub018,closed,rt,fast,0.373482646670512
sub018,closed,rt,slow,0.415324539101439
sub020,open,accuracy,correct,0.574997121988236
sub020,open,accuracy,incorrect,0.637406917327372
sub020,open,accuracy_e,correct_e,0.527916219547595
sub020,open,accuracy_e,incorrect_e,0.637406917327372
sub020,open,rt,fast,0.576996604859207
sub020,open,rt,slow,0.573898528165676
sub020,closed,accuracy,correct,0.616874463036679
sub020,closed,accuracy,incorrect,0.554632172432151
sub020,closed,accuracy_e,correct_e,0.629853372923838
sub020,closed,accuracy_e,incorrect_e,0.554632172432151
sub020,closed,rt,fast,0.62860759653791
sub020,closed,rt,slow,0.595286734976013
sub021,open,accuracy,correct,0.367660497486202
sub021,open,accuracy,incorrect,0.332474226371642
sub021,open,accuracy_e,correct_e,0.372235602379842
sub021,open,accuracy_e,incorrect_e,0.332474226371642
sub021,open,rt,fast,0.369287704646668
sub021,open,rt,slow,0.366115502238313
sub021,closed,accuracy,correct,0.424422501428116
sub021,closed,accuracy,incorrect,0.434530736673624
sub021,closed,accuracy_e,correct_e,0.456176863155688
sub021,closed,accuracy_e,incorrect_e,0.434530736673624
sub021,closed,rt,fast,0.436656430280309
sub021,closed,rt,slow,0.41153091881826
sub022,open,accuracy,correct,0.964083124792355
sub022,open,accuracy,incorrect,0.954131955509472
sub022,open,accuracy_e,correct_e,0.886212846611977
sub022,open,accuracy_e,incorrect_e,0.954131955509472
sub022,open,rt,fast,1.00145235847056
sub022,open,rt,slow,0.92576919598401
sub022,closed,accuracy,correct,1.27126230827405
sub022,closed,accuracy,incorrect,1.15304160064679
sub022,closed,accuracy_e,correct_e,1.23892006187188
sub022,closed,accuracy_e,incorrect_e,1.15304160064679
sub022,closed,rt,fast,1.30701520426479
sub022,closed,rt,slow,1.23638736943254
sub023,open,accuracy,correct,0.585130922072657
sub023,open,accuracy,incorrect,0.524948709844407
sub023,open,accuracy_e,correct_e,0.628308986471322
sub023,open,accuracy_e,incorrect_e,0.524948709844407
sub023,open,rt,fast,0.626338379489494
sub023,open,rt,slow,0.546604516103859
sub023,closed,accuracy,correct,0.723833322075482
sub023,closed,accuracy,incorrect,0.793231938028821
sub023,closed,accuracy_e,correct_e,0.692785361056281
sub023,closed,accuracy_e,incorrect_e,0.793231938028821
sub023,closed,rt,fast,0.728538324147499
sub023,closed,rt,slow,0.715746298065201
sub024,open,accuracy,correct,0.468011574549612
sub024,open,accuracy,incorrect,0.425197611801064
sub024,open,accuracy_e,correct_e,0.429560065800479
sub024,open,accuracy_e,incorrect_e,0.425197611801064
sub024,open,rt,fast,0.475304928193143
sub024,open,rt,slow,0.461660531570911
sub024,closed,accuracy,correct,0.596820438709598
sub024,closed,accuracy,incorrect,0.689382474800114
sub024,closed,accuracy_e,correct_e,0.62867704668629
sub024,closed,accuracy_e,incorrect_e,0.689382474800114
sub024,closed,rt,fast,0.606293548777204
sub024,closed,rt,slow,0.585915729675453
sub025,open,accuracy,correct,0.530247611044593
sub025,open,accuracy,incorrect,0.503059348188927
sub025,open,accuracy_e,correct_e,0.549536279599288
sub025,open,accuracy_e,incorrect_e,0.503059348188927
sub025,open,rt,fast,0.530533861581572
sub025,open,rt,slow,0.531748352128472
sub025,closed,accuracy,correct,0.753877693601714
