sub,eyes,big,small,val
sub001,open,accuracy,corr,5.02764078389213
sub001,open,accuracy,incorr,4.18895463926652
sub001,open,accuracy_e,corr_e,5.47850318507154
sub001,open,accuracy_e,incorr_e,4.18895463926652
sub001,open,rt,fast,4.89008786328423
sub001,open,rt,slow,5.1584430717314
sub001,closed,accuracy,corr,5.31908674308944
sub001,closed,accuracy,incorr,5.53143878885376
sub001,closed,accuracy_e,corr_e,5.93358005966993
sub001,closed,accuracy_e,incorr_e,5.53143878885376
sub001,closed,rt,fast,5.2868523205352
sub001,closed,rt,slow,5.33251938462306
sub002,open,accuracy,corr,2.88251399086748
sub002,open,accuracy,incorr,2.49976095916121
sub002,open,accuracy_e,corr_e,3.18821301653973
sub002,open,accuracy_e,incorr_e,2.49976095916121
sub002,open,rt,fast,2.83238102572014
sub002,open,rt,slow,2.92566749478105
sub002,closed,accuracy,corr,4.11517427496713
sub002,closed,accuracy,incorr,4.50697649440098
sub002,closed,accuracy_e,corr_e,4.27792043509688
sub002,closed,accuracy_e,incorr_e,4.50697649440098
sub002,closed,rt,fast,3.64333837257711
sub002,closed,rt,slow,4.54252721807175
sub003,open,accuracy,corr,3.37403872330377
sub003,open,accuracy,incorr,2.85956108157209
sub003,open,accuracy_e,corr_e,2.87290190616398
sub003,open,accuracy_e,incorr_e,2.85956108157209
sub003,open,rt,fast,3.33874218097442
sub003,open,rt,slow,3.4458416694611
sub003,closed,accuracy,corr,4.20311717863222
sub003,closed,accuracy,incorr,4.20570227478086
sub003,closed,accuracy_e,corr_e,4.50529072674503
sub003,closed,accuracy_e,incorr_e,4.20570227478086
sub003,closed,rt,fast,4.29127211794821
sub003,closed,rt,slow,4.13998623514607
sub004,open,accuracy,corr,3.21979641541226
sub004,open,accuracy,incorr,2.89313996798784
sub004,open,accuracy_e,corr_e,3.77808116006574
sub004,open,accuracy_e,incorr_e,2.89313996798784
sub004,open,rt,fast,3.29878945585336
sub004,open,rt,slow,3.11320378071941
sub004,closed,accuracy,corr,4.32442446999665
sub004,closed,accuracy,incorr,4.00843692739344
sub004,closed,accuracy_e,corr_e,4.83982944656744
sub004,closed,accuracy_e,incorr_e,4.00843692739344
sub004,closed,rt,fast,4.42990518593325
sub004,closed,rt,slow,4.19762960232618
sub005,open,accuracy,corr,3.18427967528204
sub005,open,accuracy,incorr,2.78748336402266
sub005,open,accuracy_e,corr_e,2.99081473205802
sub005,open,accuracy_e,incorr_e,2.78748336402266
sub005,open,rt,fast,3.06307359353616
sub005,open,rt,slow,3.31209618416264
sub005,closed,accuracy,corr,4.79846380855836
sub005,closed,accuracy,incorr,4.80781041550375
sub005,closed,accuracy_e,corr_e,5.00897005024678
sub005,closed,accuracy_e,incorr_e,4.80781041550375
sub005,closed,rt,fast,4.65044003055167
sub005,closed,rt,slow,4.94312730858293
