sub,eyes,big,small,val
sub001,open,accuracy,corr,5.61649000343698
sub001,open,accuracy,incorr,4.79568010501965
sub001,open,accuracy_e,corr_e,6.02947444364934
sub001,open,accuracy_e,incorr_e,4.79568010501965
sub001,open,rt,fast,5.28337827791861
sub001,open,rt,slow,5.77305875294374
sub001,closed,accuracy,corr,5.94158057203733
sub001,closed,accuracy,incorr,6.72482698230727
sub001,closed,accuracy_e,corr_e,5.60617017732928
sub001,closed,accuracy_e,incorr_e,6.72482698230727
sub001,closed,rt,fast,5.84701426378441
sub001,closed,rt,slow,6.18623895785007
sub002,open,accuracy,corr,2.73415403164369
sub002,open,accuracy,incorr,2.34445428652548
sub002,open,accuracy_e,corr_e,2.75376309779659
sub002,open,accuracy_e,incorr_e,2.34445428652548
sub002,open,rt,fast,2.86157916380072
sub002,open,rt,slow,2.54334352778768
sub002,closed,accuracy,corr,4.75060031927165
sub002,closed,accuracy,incorr,4.64313356899726
sub002,closed,accuracy_e,corr_e,4.8979452189024
sub002,closed,accuracy_e,incorr_e,4.64313356899726
sub002,closed,rt,fast,4.4484082952132
sub002,closed,rt,slow,4.9803198782949
sub003,open,accuracy,corr,3.13456245169409
sub003,open,accuracy,incorr,2.91647268416179
sub003,open,accuracy_e,corr_e,3.06192566501144
sub003,open,accuracy_e,incorr_e,2.91647268416179
sub003,open,rt,fast,3.01169895080467
sub003,open,rt,slow,3.28474629389999
sub003,closed,accuracy,corr,4.39772717101657
sub003,closed,accuracy,incorr,4.60297789469404
sub003,closed,accuracy_e,corr_e,4.37915439031198
sub003,closed,accuracy_e,incorr_e,4.60297789469404
sub003,closed,rt,fast,4.71716000063943
sub003,closed,rt,slow,4.11948457015718
sub004,open,accuracy,corr,3.16347277783006
sub004,open,accuracy,incorr,2.96326052582813
sub004,open,accuracy_e,corr_e,3.32570275011486
sub004,open,accuracy_e,incorr_e,2.96326052582813
sub004,open,rt,fast,3.22157854311513
sub004,open,rt,slow,3.14825369231202
sub004,closed,accuracy,corr,4.74714174228909
sub004,closed,accuracy,incorr,4.68458254373907
sub004,closed,accuracy_e,corr_e,4.72278495932576
sub004,closed,accuracy_e,incorr_e,4.68458254373907
sub004,closed,rt,fast,4.59215192934455
sub004,closed,rt,slow,4.87884725265586
sub005,open,accuracy,corr,3.27503845637314
sub005,open,accuracy,incorr,2.87745129158191
sub005,open,accuracy_e,corr_e,3.04734807666911
sub005,open,accuracy_e,incorr_e,2.87745129158191
sub005,open,rt,fast,3.31408059998887
sub005,open,rt,slow,3.3011489322963
sub005,closed,accuracy,corr,5.37580323059607
sub005,closed,accuracy,incorr,5.49713380723269
sub005,closed,accuracy_e,corr_e,5.14430142186875
sub005,closed,accuracy_e,incorr_e,5.49713380723269
sub005,closed,rt,fast,5.61486729292352
sub005,closed,rt,slow,5.12165325790862
sub006,open,accuracy,corr,3.11794434682786
sub006,open,accuracy,incorr,3.14048390088852
sub006,open,accuracy_e,corr_e,3.05041237573631
sub006,open,accuracy_e,incorr_e,3.14048390088852
sub006,open,rt,fast,3.12768844152283
sub006,open,rt,slow,3.21604638863412
sub006,closed,accuracy,corr,4.68690905743688
sub006,closed,accuracy,incorr,4.11183974915219
sub006,closed,accuracy_e,corr_e,4.97076959202108
sub006,closed,accuracy_e,incorr_e,4.11183974915219
sub006,closed,rt,fast,4.86570314209982
sub006,closed,rt,slow,4.49243517656778
sub007,open,accuracy,corr,1.53514574255172
sub007,open,accuracy,incorr,2.0571143307492
sub007,open,accuracy_e,corr_e,1.57490956563131
sub007,open,accuracy_e,incorr_e,2.0571143307492
sub007,open,rt,fast,1.60844693930132
sub007,open,rt,slow,1.47655154568079
sub007,closed,accuracy,corr,2.75936968586294
sub007,closed,accuracy,incorr,1.97687306990849
sub007,closed,accuracy_e,corr_e,2.46972740326055
sub007,closed,accuracy_e,incorr_e,1.97687306990849
sub007,closed,rt,fast,3.0308013951462
sub007,closed,rt,slow,2.77621369274598
sub008,open,accuracy,corr,3.62464553879655
sub008,open,accuracy,incorr,2.24104407973167
sub008,open,accuracy_e,corr_e,3.02375679083803
sub008,open,accuracy_e,incorr_e,2.24104407973167
sub008,open,rt,fast,3.33598824299561
sub008,open,rt,slow,3.98837147018174
sub008,closed,accuracy,corr,4.45596947114575
sub008,closed,accuracy,incorr,5.40965437161974
sub008,closed,accuracy_e,corr_e,4.49244944543701
sub008,closed,accuracy_e,incorr_e,5.40965437161974
sub008,closed,rt,fast,4.8816629605048
sub008,closed,rt,slow,4.08436860065963
sub009,open,accuracy,corr,5.44725472210791
sub009,open,accuracy,incorr,5.74647733100597
sub009,open,accuracy_e,corr_e,5.17380455362443
sub009,open,accuracy_e,incorr_e,5.74647733100597
sub009,open,rt,fast,5.45412764550571
sub009,open,rt,slow,5.49344436016589
sub009,closed,accuracy,corr,6.02173166634427
sub009,closed,accuracy,incorr,5.36511097149516
sub009,closed,accuracy_e,corr_e,5.74226844934866
sub009,closed,accuracy_e,incorr_e,5.36511097149516
sub009,closed,rt,fast,6.24699585250426
sub009,closed,rt,slow,5.81203459449421
sub010,open,accuracy,corr,5.35165069949123
sub010,open,accuracy,incorr,5.08395994175915
sub010,open,accuracy_e,corr_e,5.28969065866556
sub010,open,accuracy_e,incorr_e,5.08395994175915
sub010,open,rt,fast,5.2185066415388
sub010,open,rt,slow,5.4679573931099
sub010,closed,accuracy,corr,6.99156257245014
sub010,closed,accuracy,incorr,7.16014841675996
sub010,closed,accuracy_e,corr_e,7.33366362896159
sub010,closed,accuracy_e,incorr_e,7.16014841675996
sub010,closed,rt,fast,6.89017716482708
sub010,closed,rt,slow,7.17660280977356
sub011,open,accuracy,corr,3.71196035545799
sub011,open,accuracy,incorr,3.22710835922376
sub011,open,accuracy_e,corr_e,3.18101472252337
sub011,open,accuracy_e,incorr_e,3.22710835922376
sub011,open,rt,fast,3.65043546694806
sub011,open,rt,slow,3.82186895375189
sub011,closed,accuracy,corr,3.52429937871185
sub011,closed,accuracy,incorr,3.6770240526554
sub011,closed,accuracy_e,corr_e,3.82499654336129
sub011,closed,accuracy_e,incorr_e,3.6770240526554
sub011,closed,rt,fast,3.41754525941232
sub011,closed,rt,slow,3.63266759475538
sub012,open,accuracy,corr,5.80253791464088
sub012,open,accuracy,incorr,6.54835101795624
sub012,open,accuracy_e,corr_e,5.43911749666605
sub012,open,accuracy_e,incorr_e,6.54835101795624
sub012,open,rt,fast,6.20923243375927
sub012,open,rt,slow,5.39472262768082
sub012,closed,accuracy,corr,7.42856555810578
sub012,closed,accuracy,incorr,6.29627841409229
sub012,closed,accuracy_e,corr_e,7.06071020068218
sub012,closed,accuracy_e,incorr_e,6.29627841409229
sub012,closed,rt,fast,7.32910766549434
sub012,closed,rt,slow,7.59553102730001
sub017,open,accuracy,corr,4.38324463673632
sub017,open,accuracy,incorr,5.00381908754647
sub017,open,accuracy_e,corr_e,4.93822666494702
sub017,open,accuracy_e,incorr_e,5.00381908754647
sub017,open,rt,fast,4.38352690303727
sub017,open,rt,slow,4.40096856111565
sub017,closed,accuracy,corr,5.81607843387948
sub017,closed,accuracy,incorr,5.8492953097113
sub017,closed,accuracy_e,corr_e,5.78661118451429
sub017,closed,accuracy_e,incorr_e,5.8492953097113
sub017,closed,rt,fast,5.54339749728657
sub017,closed,rt,slow,6.12500097415746
sub018,open,accuracy,corr,3.24541212591927
sub018,open,accuracy,incorr,2.64555132074
sub018,open,accuracy_e,corr_e,3.16399604556147
sub018,open,accuracy_e,incorr_e,2.64555132074
sub018,open,rt,fast,3.19425599442889
sub018,open,rt,slow,3.26222539348307
sub018,closed,accuracy,corr,2.82579403247265
sub018,closed,accuracy,incorr,2.4912147276833
sub018,closed,accuracy_e,corr_e,2.90702535804693
