sub,eyes,big,small,val
sub001,open,accuracy,correct,0.13463611067043
sub001,open,accuracy,incorrect,0.0593806162773761
sub001,open,accuracy_e,correct_e,0.282548485933328
sub001,open,accuracy_e,incorrect_e,0.0593806162773761
sub001,open,rt,fast,0.0725016710432772
sub001,open,rt,slow,0.205280155397572
sub001,closed,accuracy,correct,-0.0748816254870247
sub001,closed,accuracy,incorrect,0.128740922215395
sub001,closed,accuracy_e,correct_e,0.306225672978739
sub001,closed,accuracy_e,incorrect_e,0.128740922215395
sub001,closed,rt,fast,-0.112996335345919
sub001,closed,rt,slow,-0.0298647280710918
sub002,open,accuracy,correct,-0.2122645211284
sub002,open,accuracy,incorrect,-0.0207249920277519
sub002,open,accuracy_e,correct_e,-0.314219944160736
sub002,open,accuracy_e,incorrect_e,-0.0207249920277519
sub002,open,rt,fast,-0.249412311615493
sub002,open,rt,slow,-0.167319090581296
sub002,closed,accuracy,correct,-0.0162777734280106
sub002,closed,accuracy,incorrect,0.164967960173007
sub002,closed,accuracy_e,correct_e,0.00116533945543965
sub002,closed,accuracy_e,incorrect_e,0.164967960173007
sub002,closed,rt,fast,0.0758869847619759
sub002,closed,rt,slow,-0.0826822951660257
sub003,open,accuracy,correct,0.208480868338817
sub003,open,accuracy,incorrect,0.154815777564324
sub003,open,accuracy_e,correct_e,0.135211181319274
sub003,open,accuracy_e,incorrect_e,0.154815777564324
sub003,open,rt,fast,0.244638296104779
sub003,open,rt,slow,0.164206701756693
sub003,closed,accuracy,correct,0.0771891932584372
sub003,closed,accuracy,incorrect,0.0126767627858253
sub003,closed,accuracy_e,correct_e,0.183585935721539
sub003,closed,accuracy_e,incorrect_e,0.0126767627858253
sub003,closed,rt,fast,0.0483811042208207
sub003,closed,rt,slow,0.104458761725528
sub004,open,accuracy,correct,0.200212234448173
sub004,open,accuracy,incorrect,0.135664187570932
sub004,open,accuracy_e,correct_e,0.186268161824981
sub004,open,accuracy_e,incorrect_e,0.135664187570932
sub004,open,rt,fast,0.28791795824103
sub004,open,rt,slow,0.104366085215724
sub004,closed,accuracy,correct,0.0600080396397293
sub004,closed,accuracy,incorrect,0.236788515663961
sub004,closed,accuracy_e,correct_e,-0.0644746530013901
sub004,closed,accuracy_e,incorrect_e,0.236788515663961
sub004,closed,rt,fast,0.131745105329061
sub004,closed,rt,slow,0.000972192939226828
sub005,open,accuracy,correct,0.143078071583598
sub005,open,accuracy,incorrect,0.0708647970775516
sub005,open,accuracy_e,correct_e,0.158087508684117
sub005,open,accuracy_e,incorrect_e,0.0708647970775516
sub005,open,rt,fast,0.100110011554809
sub005,open,rt,slow,0.187218853014458
sub005,closed,accuracy,correct,-0.120048207224947
sub005,closed,accuracy,incorrect,-0.14744700363323
sub005,closed,accuracy_e,correct_e,-0.166158518025879
sub005,closed,accuracy_e,incorrect_e,-0.14744700363323
sub005,closed,rt,fast,-0.116153342336805
sub005,closed,rt,slow,-0.10608855489207
sub006,open,accuracy,correct,0.206478775596176
sub006,open,accuracy,incorrect,0.170834223806908
sub006,open,accuracy_e,correct_e,0.22806894576221
sub006,open,accuracy_e,incorrect_e,0.170834223806908
sub006,open,rt,fast,0.303608381733102
sub006,open,rt,slow,0.132861324833976
sub006,closed,accuracy,correct,0.0222064893468288
sub006,closed,accuracy,incorrect,0.296483611525663
sub006,closed,accuracy_e,correct_e,0.00210936715152342
sub006,closed,accuracy_e,incorrect_e,0.296483611525663
sub006,closed,rt,fast,0.057362178101238
sub006,closed,rt,slow,-0.0120843523980443
sub007,open,accuracy,correct,-0.088979760339577
sub007,open,accuracy,incorrect,0.0733665288694833
sub007,open,accuracy_e,correct_e,-0.111552668786811
sub007,open,accuracy_e,incorrect_e,0.0733665288694833
sub007,open,rt,fast,-0.0105118574217164
sub007,open,rt,slow,-0.0649068897207465
sub007,closed,accuracy,correct,-0.293619429745708
sub007,closed,accuracy,incorrect,-0.294616346543219
sub007,closed,accuracy_e,correct_e,-0.398023355669875
sub007,closed,accuracy_e,incorrect_e,-0.294616346543219
sub007,closed,rt,fast,-0.284678273189152
sub007,closed,rt,slow,-0.323471917301605
sub008,open,accuracy,correct,0.116027032942745
sub008,open,accuracy,incorrect,0.0395358960516545
sub008,open,accuracy_e,correct_e,0.11315173028185
sub008,open,accuracy_e,incorrect_e,0.0395358960516545
sub008,open,rt,fast,0.0815218323681676
sub008,open,rt,slow,0.152793242513125
sub008,closed,accuracy,correct,-0.155008396895183
sub008,closed,accuracy,incorrect,-0.277488944804845
sub008,closed,accuracy_e,correct_e,-0.153722420892993
sub008,closed,accuracy_e,incorrect_e,-0.277488944804845
sub008,closed,rt,fast,-0.192992741170685
sub008,closed,rt,slow,-0.115405575614586
sub009,open,accuracy,correct,-0.000734054531678142
sub009,open,accuracy,incorrect,0.111215667959245
sub009,open,accuracy_e,correct_e,0.114339793834158
sub009,open,accuracy_e,incorrect_e,0.111215667959245
sub009,open,rt,fast,-0.0533095377794542
sub009,open,rt,slow,0.0489765530570566
sub009,closed,accuracy,correct,-0.266253653311278
sub009,closed,accuracy,incorrect,-0.200708213347642
sub009,closed,accuracy_e,correct_e,-0.222866252482684
