sub,eyes,big,small,val
sub001,open,accuracy,corr,0.285241051471616
sub001,open,accuracy,incorr,-0.133579491890687
sub001,open,accuracy_e,corr_e,0.189507290670759
sub001,open,accuracy_e,incorr_e,-0.133579491890687
sub001,open,rt,fast,0.226743118411331
sub001,open,rt,slow,0.396909415590867
sub001,closed,accuracy,corr,-0.0720310668502844
sub001,closed,accuracy,incorr,0.160904547156711
sub001,closed,accuracy_e,corr_e,0.385186317059136
sub001,closed,accuracy_e,incorr_e,0.160904547156711
sub001,closed,rt,fast,-0.0296500441403734
sub001,closed,rt,slow,-0.141702856068956
sub002,open,accuracy,corr,-0.157604350232169
sub002,open,accuracy,incorr,-0.186130481633084
sub002,open,accuracy_e,corr_e,-0.0948786235715039
sub002,open,accuracy_e,incorr_e,-0.186130481633084
sub002,open,rt,fast,-0.107233086897589
sub002,open,rt,slow,-0.192270120871369
sub002,closed,accuracy,corr,0.396349970319362
sub002,closed,accuracy,incorr,0.352841603405875
sub002,closed,accuracy_e,corr_e,0.328647359946091
sub002,closed,accuracy_e,incorr_e,0.352841603405875
sub002,closed,rt,fast,0.508130338592758
sub002,closed,rt,slow,0.330085472641021
sub003,open,accuracy,corr,0.120530918143649
sub003,open,accuracy,incorr,0.220418196697077
sub003,open,accuracy_e,corr_e,0.229387044387513
sub003,open,accuracy_e,incorr_e,0.220418196697077
sub003,open,rt,fast,0.160898300059238
sub003,open,rt,slow,0.125722913629231
sub003,closed,accuracy,corr,-0.0209163428938668
sub003,closed,accuracy,incorr,-0.0255325195559699
sub003,closed,accuracy_e,corr_e,0.268099216165808
sub003,closed,accuracy_e,incorr_e,-0.0255325195559699
sub003,closed,rt,fast,-0.0013451524843435
sub003,closed,rt,slow,-0.0271248363459671
sub004,open,accuracy,corr,0.174331353923977
sub004,open,accuracy,incorr,0.517111219959593
sub004,open,accuracy_e,corr_e,0.0799395016529576
sub004,open,accuracy_e,incorr_e,0.517111219959593
sub004,open,rt,fast,0.204335555425756
sub004,open,rt,slow,0.137856014182462
sub004,closed,accuracy,corr,0.417275344916286
sub004,closed,accuracy,incorr,0.147088325078841
sub004,closed,accuracy_e,corr_e,0.195695944717806
sub004,closed,accuracy_e,incorr_e,0.147088325078841
sub004,closed,rt,fast,0.397175016017133
sub004,closed,rt,slow,0.422583512335283
sub005,open,accuracy,corr,0.338510350347189
sub005,open,accuracy,incorr,0.151938134005598
sub005,open,accuracy_e,corr_e,0.35970854104818
sub005,open,accuracy_e,incorr_e,0.151938134005598
sub005,open,rt,fast,0.257389981748098
sub005,open,rt,slow,0.442892547382679
sub005,closed,accuracy,corr,-0.351333799337898
sub005,closed,accuracy,incorr,-0.366119192707406
sub005,closed,accuracy_e,corr_e,-0.307908293496026
sub005,closed,accuracy_e,incorr_e,-0.366119192707406
sub005,closed,rt,fast,-0.271742809564204
sub005,closed,rt,slow,-0.443493522511611
sub006,open,accuracy,corr,0.43632726909312
sub006,open,accuracy,incorr,0.429199212615972
sub006,open,accuracy_e,corr_e,0.644369589189217
sub006,open,accuracy_e,incorr_e,0.429199212615972
sub006,open,rt,fast,0.346170916904087
sub006,open,rt,slow,0.516093347981931
sub006,closed,accuracy,corr,0.0318208401873597
sub006,closed,accuracy,incorr,-0.022658515451347
sub006,closed,accuracy_e,corr_e,0.119289761737863
sub006,closed,accuracy_e,incorr_e,-0.022658515451347
sub006,closed,rt,fast,0.00890543236148369
sub006,closed,rt,slow,0.0589611089763743
sub007,open,accuracy,corr,-0.542314631872985
sub007,open,accuracy,incorr,-0.284325621098621
sub007,open,accuracy_e,corr_e,-0.499161909533815
sub007,open,accuracy_e,incorr_e,-0.284325621098621
sub007,open,rt,fast,-0.54045633274165
sub007,open,rt,slow,-0.405412132937432
sub007,closed,accuracy,corr,-0.417445726300774
sub007,closed,accuracy,incorr,-0.460697656365746
sub007,closed,accuracy_e,corr_e,-0.441877741313338
sub007,closed,accuracy_e,incorr_e,-0.460697656365746
sub007,closed,rt,fast,-0.428137700170322
sub007,closed,rt,slow,-0.419874140201937
sub008,open,accuracy,corr,0.193965738854762
sub008,open,accuracy,incorr,-0.15688190977335
sub008,open,accuracy_e,corr_e,0.295886159660049
sub008,open,accuracy_e,incorr_e,-0.15688190977335
sub008,open,rt,fast,0.0480042751919318
sub008,open,rt,slow,0.342746268206582
sub008,closed,accuracy,corr,-0.259250210373594
sub008,closed,accuracy,incorr,-0.105820923636141
sub008,closed,accuracy_e,corr_e,-0.124762723476015
sub008,closed,accuracy_e,incorr_e,-0.105820923636141
sub008,closed,rt,fast,-0.266580221161246
sub008,closed,rt,slow,-0.259562987888184
