sub,eyes,big,small,val
sub001,open,accuracy,correct,0.137872249001404
sub001,open,accuracy,incorrect,-0.128325742982859
sub001,open,accuracy_e,correct_e,0.1603321345429
sub001,open,accuracy_e,incorrect_e,-0.128325742982859
sub001,open,rt,fast,0.0930506965204434
sub001,open,rt,slow,0.20545138885918
sub001,closed,accuracy,correct,-0.0318107214337726
sub001,closed,accuracy,incorrect,0.239223388887398
sub001,closed,accuracy_e,correct_e,0.233639341540672
sub001,closed,accuracy_e,incorrect_e,0.239223388887398
sub001,closed,rt,fast,0.00352547450350778
sub001,closed,rt,slow,-0.0776970009799693
sub002,open,accuracy,correct,-0.0848820924363754
sub002,open,accuracy,incorrect,-0.146860838179646
sub002,open,accuracy_e,correct_e,-0.134370942895
sub002,open,accuracy_e,incorrect_e,-0.146860838179646
sub002,open,rt,fast,-0.0916335602574911
sub002,open,rt,slow,-0.0789775089984545
sub002,closed,accuracy,correct,0.109441373339121
sub002,closed,accuracy,incorrect,0.346596871104257
sub002,closed,accuracy_e,correct_e,0.0413651440662571
sub002,closed,accuracy_e,incorrect_e,0.346596871104257
sub002,closed,rt,fast,0.287541778751009
sub002,closed,rt,slow,-0.00797631063882322
sub003,open,accuracy,correct,0.155694791553595
sub003,open,accuracy,incorrect,0.250980038155463
sub003,open,accuracy_e,correct_e,0.24656184647969
sub003,open,accuracy_e,incorrect_e,0.250980038155463
sub003,open,rt,fast,0.202049409517529
sub003,open,rt,slow,0.116673565152553
sub003,closed,accuracy,correct,0.0107647037631083
sub003,closed,accuracy,incorrect,-0.0202603175114408
sub003,closed,accuracy_e,correct_e,0.0414233904562493
sub003,closed,accuracy_e,incorrect_e,-0.0202603175114408
sub003,closed,rt,fast,0.129526361201667
sub003,closed,rt,slow,-0.106750793463505
sub004,open,accuracy,correct,0.140264079581997
sub004,open,accuracy,incorrect,-0.132543447763183
sub004,open,accuracy_e,correct_e,0.30729525257358
sub004,open,accuracy_e,incorrect_e,-0.132543447763183
sub004,open,rt,fast,0.284278358663884
sub004,open,rt,slow,-0.00477160871730839
sub004,closed,accuracy,correct,0.135286986485699
sub004,closed,accuracy,incorrect,0.102879429061459
sub004,closed,accuracy_e,correct_e,0.0335460383404685
sub004,closed,accuracy_e,incorrect_e,0.102879429061459
sub004,closed,rt,fast,0.163225806647376
sub004,closed,rt,slow,0.105411722012611
sub005,open,accuracy,correct,0.212409804470191
sub005,open,accuracy,incorrect,0.276400534887003
sub005,open,accuracy_e,correct_e,0.275945126073718
sub005,open,accuracy_e,incorrect_e,0.276400534887003
sub005,open,rt,fast,0.264402701160751
sub005,open,rt,slow,0.153974421201999
sub005,closed,accuracy,correct,-0.151081246619415
sub005,closed,accuracy,incorrect,-0.189257603140813
sub005,closed,accuracy_e,correct_e,-0.14936031324278
sub005,closed,accuracy_e,incorrect_e,-0.189257603140813
sub005,closed,rt,fast,-0.0924259842324042
sub005,closed,rt,slow,-0.202678168126556
sub006,open,accuracy,correct,0.440046903823964
sub006,open,accuracy,incorrect,0.388387815104622
sub006,open,accuracy_e,correct_e,0.337566530857762
sub006,open,accuracy_e,incorrect_e,0.388387815104622
sub006,open,rt,fast,0.42075496219778
sub006,open,rt,slow,0.45673872466548
sub006,closed,accuracy,correct,0.0294208412492207
sub006,closed,accuracy,incorrect,0.0596305299059041
sub006,closed,accuracy_e,correct_e,0.0206281637880146
sub006,closed,accuracy_e,incorrect_e,0.0596305299059041
sub006,closed,rt,fast,0.0462579211688079
sub006,closed,rt,slow,0.0117712843425343
sub007,open,accuracy,correct,-0.363134509023534
sub007,open,accuracy,incorrect,-0.340371303856812
sub007,open,accuracy_e,correct_e,-0.466497457338768
sub007,open,accuracy_e,incorrect_e,-0.340371303856812
sub007,open,rt,fast,-0.349217551506492
sub007,open,rt,slow,-0.294631236579741
sub007,closed,accuracy,correct,-0.311330000651991
sub007,closed,accuracy,incorrect,-0.447456242609623
sub007,closed,accuracy_e,correct_e,-0.393694412434002
sub007,closed,accuracy_e,incorrect_e,-0.447456242609623
sub007,closed,rt,fast,-0.440723346724597
sub007,closed,rt,slow,-0.139917400754319
sub008,open,accuracy,correct,0.119026164658891
sub008,open,accuracy,incorrect,-0.204655833674827
sub008,open,accuracy_e,correct_e,-0.017215739599425
sub008,open,accuracy_e,incorrect_e,-0.204655833674827
sub008,open,rt,fast,0.14727565855756
sub008,open,rt,slow,0.0947160772351172
sub008,closed,accuracy,correct,-0.190931813638661
sub008,closed,accuracy,incorrect,-0.322866574096647
sub008,closed,accuracy_e,correct_e,-0.355939113352656
sub008,closed,accuracy_e,incorrect_e,-0.322866574096647
sub008,closed,rt,fast,-0.095117500291403
sub008,closed,rt,slow,-0.264724472948712
sub009,open,accuracy,correct,-0.0180546839803667
sub009,open,accuracy,incorrect,-0.0232117498300147
sub009,open,accuracy_e,correct_e,-0.0160489011903308
sub009,open,accuracy_e,incorrect_e,-0.0232117498300147
sub009,open,rt,fast,-0.0147528154628571
sub009,open,rt,slow,-0.0152626065298631
sub009,closed,accuracy,correct,-0.267232772478509
sub009,closed,accuracy,incorrect,-0.188155995183917
sub009,closed,accuracy_e,correct_e,-0.221609147994839
sub009,closed,accuracy_e,incorrect_e,-0.188155995183917
sub009,closed,rt,fast,-0.270097203371718
sub009,closed,rt,slow,-0.259740497634804
sub010,open,accuracy,correct,0.00194328247850769
sub010,open,accuracy,incorrect,0.0347224151599394
sub010,open,accuracy_e,correct_e,-0.0913365030748956
sub010,open,accuracy_e,incorrect_e,0.0347224151599394
sub010,open,rt,fast,-0.00596185593455949
sub010,open,rt,slow,0.00973754354913429
sub010,closed,accuracy,correct,-0.241079021034261
sub010,closed,accuracy,incorrect,-0.145134480868888
sub010,closed,accuracy_e,correct_e,-0.204517265620025
sub010,closed,accuracy_e,incorrect_e,-0.145134480868888
sub010,closed,rt,fast,-0.288515474820318
sub010,closed,rt,slow,-0.186558731526961
sub011,open,accuracy,correct,0.0300365554754651
sub011,open,accuracy,incorrect,0.795526353953222
