sub,eyes,measure,roi,cond,compare,value
sub001,open,visual power,v1,correct,accuracy,0.195698581958605
sub001,open,visual power,v1,incorrect,accuracy,-0.00700499424209724
sub001,open,visual power,v1,correct_e,accuracy_e,0.210327357750724
sub001,open,visual power,v1,incorrect_e,accuracy_e,-0.00700499424209724
sub001,open,visual power,v1,fast,rt,0.16824420355918
sub001,open,visual power,v1,slow,rt,0.238604359712478
sub001,open,somato lateralisation index,max,correct,accuracy,0.0162200510695838
sub001,open,somato lateralisation index,max,incorrect,accuracy,-0.11467398409536
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,-0.0872638827501638
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,-0.11467398409536
sub001,open,somato lateralisation index,max,fast,rt,0.0277193528180937
sub001,open,somato lateralisation index,max,slow,rt,0.00111635009238301
sub001,open,absolute,v1,correct,accuracy,5.05948215501443
sub001,open,absolute,v1,incorrect,accuracy,4.25844652063552
sub001,open,absolute,v1,correct_e,accuracy_e,5.39902667634875
sub001,open,absolute,v1,incorrect_e,accuracy_e,4.25844652063552
sub001,open,absolute,v1,fast,rt,5.05158982419149
sub001,open,absolute,v1,slow,rt,5.07507112697281
sub001,closed,visual power,v1,correct,accuracy,-0.0410756125933619
sub001,closed,visual power,v1,incorrect,accuracy,0.00124625720698151
sub001,closed,visual power,v1,correct_e,accuracy_e,0.0830051353231741
sub001,closed,visual power,v1,incorrect_e,accuracy_e,0.00124625720698151
sub001,closed,visual power,v1,fast,rt,-0.0485816080104441
sub001,closed,visual power,v1,slow,rt,-0.0398501309271547
sub001,closed,somato lateralisation index,max,correct,accuracy,0.0502223281701898
sub001,closed,somato lateralisation index,max,incorrect,accuracy,-0.134255240501611
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,-0.00801504027197941
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,-0.134255240501611
sub001,closed,somato lateralisation index,max,fast,rt,0.011495713863714
sub001,closed,somato lateralisation index,max,slow,rt,0.0825780675656061
sub001,closed,absolute,v1,correct,accuracy,5.13988267238069
sub001,closed,absolute,v1,incorrect,accuracy,5.52786916539091
sub001,closed,absolute,v1,correct_e,accuracy_e,5.22115777404039
sub001,closed,absolute,v1,incorrect_e,accuracy_e,5.52786916539091
sub001,closed,absolute,v1,fast,rt,5.12897886242198
sub001,closed,absolute,v1,slow,rt,5.12987845831081
sub002,open,visual power,v1,correct,accuracy,-0.0868192514846833
sub002,open,visual power,v1,incorrect,accuracy,-0.0245895202951
sub002,open,visual power,v1,correct_e,accuracy_e,0.339978031540169
sub002,open,visual power,v1,incorrect_e,accuracy_e,-0.0245895202951
sub002,open,visual power,v1,fast,rt,-0.109133624337898
sub002,open,visual power,v1,slow,rt,-0.0515143401216123
sub002,open,somato lateralisation index,max,correct,accuracy,0.0394275073627263
sub002,open,somato lateralisation index,max,incorrect,accuracy,0.0227814543613051
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,0.0135710286648571
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0227814543613051
sub002,open,somato lateralisation index,max,fast,rt,0.0205077033500604
