sub,eyes,measure,roi,cond,compare,value
sub001,open,visual power,v1,correct,accuracy,0.256695460850361
sub001,open,visual power,v1,incorrect,accuracy,0.140140157020724
sub001,open,visual power,v1,correct_e,accuracy_e,0.350645907973528
sub001,open,visual power,v1,incorrect_e,accuracy_e,0.140140157020724
sub001,open,visual power,v1,fast,rt,0.172577847085066
sub001,open,visual power,v1,slow,rt,0.385025378358794
sub001,open,somato lateralisation index,max,correct,accuracy,0.113765851718424
sub001,open,somato lateralisation index,max,incorrect,accuracy,-0.0990703694176192
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,0.0470437030954121
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0990703694176192
sub001,open,somato lateralisation index,max,fast,rt,0.0976601261832474
sub001,open,somato lateralisation index,max,slow,rt,0.131385215742636
sub001,open,absolute,v1,correct,accuracy,5.26348840274915
sub001,open,absolute,v1,incorrect,accuracy,4.57249708314413
sub001,open,absolute,v1,correct_e,accuracy_e,5.13712510743725
sub001,open,absolute,v1,incorrect_e,accuracy_e,4.57249708314413
sub001,open,absolute,v1,fast,rt,5.11366089323545
sub001,open,absolute,v1,slow,rt,5.41558822092816
sub001,closed,visual power,v1,correct,accuracy,0.00253332402004796
sub001,closed,visual power,v1,incorrect,accuracy,0.165631616305209
sub001,closed,visual power,v1,correct_e,accuracy_e,0.0959187954577402
sub001,closed,visual power,v1,incorrect_e,accuracy_e,0.165631616305209
sub001,closed,visual power,v1,fast,rt,0.0227863176810585
sub001,closed,visual power,v1,slow,rt,-0.0470261824445699
sub001,closed,somato lateralisation index,max,correct,accuracy,0.116474712987098
sub001,closed,somato lateralisation index,max,incorrect,accuracy,-0.0402754897318217
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0519455865164143
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0402754897318217
sub001,closed,somato lateralisation index,max,fast,rt,0.0650040365673261
sub001,closed,somato lateralisation index,max,slow,rt,0.16905514881608
sub001,closed,absolute,v1,correct,accuracy,5.68026343238695
sub001,closed,absolute,v1,incorrect,accuracy,6.45828894514956
sub001,closed,absolute,v1,correct_e,accuracy_e,6.04899819617025
sub001,closed,absolute,v1,incorrect_e,accuracy_e,6.45828894514956
sub001,closed,absolute,v1,fast,rt,5.67995735513046
sub001,closed,absolute,v1,slow,rt,5.62092170408037
sub002,open,visual power,v1,correct,accuracy,-0.109221042517819
sub002,open,visual power,v1,incorrect,accuracy,0.0919091194791456
sub002,open,visual power,v1,correct_e,accuracy_e,0.0442259801696274
sub002,open,visual power,v1,incorrect_e,accuracy_e,0.0919091194791456
sub002,open,visual power,v1,fast,rt,0.190564976113201
