suj,eyes,perf,acc_index
sub001,open,incorrect,0.0598579288277575
sub001,open,correct,0.0141992655541297
sub001,closed,incorrect,0.0251551691479731
sub001,closed,correct,0.0525453533474282
sub002,open,incorrect,0.00509082727741692
sub002,open,correct,0.047164192336642
sub002,closed,incorrect,0.0348311106176944
sub002,closed,correct,0.0295328282814362
sub003,open,incorrect,-0.0438958778083195
sub003,open,correct,0.0863539814190678
sub003,closed,incorrect,0.095847490789597
sub003,closed,correct,0.045706685042762
sub004,open,incorrect,0.0232673787787826
sub004,open,correct,0.0185105410344194
sub004,closed,incorrect,0.160400623429354
sub004,closed,correct,0.00871500309963846
sub005,open,incorrect,0.0255424713881939
sub005,open,correct,0.0138681819998203
sub005,closed,incorrect,0.0142178113830074
sub005,closed,correct,0.00832341753403517
sub006,open,incorrect,0.0518285624989645
sub006,open,correct,0.0634543153245033
sub006,closed,incorrect,0.0907470155742661
sub006,closed,correct,0.12668371046929
sub007,open,incorrect,-0.0501402226219983
sub007,open,correct,0.0290760453912421
sub007,closed,incorrect,0.249614323646986
sub007,closed,correct,0.0295150767515718
sub008,open,incorrect,0.0984480119891504
sub008,open,correct,0.0319249643568317
sub008,closed,incorrect,0.0698380923090085
sub008,closed,correct,0.00556957373394504
sub009,open,incorrect,0.0436094144138425
sub009,open,correct,0.0155156272176403
sub009,closed,incorrect,0.0231475068337104
sub009,closed,correct,0.0759496273765247
sub010,open,incorrect,0.253250866055726
sub010,open,correct,0.0404818619345919
sub010,closed,incorrect,-0.111178574539369
sub010,closed,correct,0.200214641224461
sub011,open,incorrect,0.246755408872042
sub011,open,correct,0.0135079563578344
sub011,closed,incorrect,-0.142317783655743
sub011,closed,correct,0.0470915530906668
sub012,open,incorrect,0.0811589118974035
sub012,open,correct,0.0643763586178225
sub012,closed,incorrect,-0.102330909214593
sub012,closed,correct,0.0373115782482161
sub017,open,incorrect,0.122419791322108
sub017,open,correct,-0.0187173773433802
sub017,closed,incorrect,0.0315933265835204
sub017,closed,correct,0.0178555932662902
sub018,open,incorrect,0.0995864332782304
sub018,open,correct,0.117761788890206
sub018,closed,incorrect,0.0725568792386947
sub018,closed,correct,0.022535999223298
sub020,open,incorrect,0.228464115098609
sub020,open,correct,0.233895239884581
sub020,closed,incorrect,0.18034963010132
sub020,closed,correct,0.104024688468695
sub021,open,incorrect,0.0754970652435255
sub021,open,correct,0.0391309455391724
sub021,closed,incorrect,0.0476312096470296
sub021,closed,correct,0.0972240933599177
sub022,open,incorrect,0.127897639058816
sub022,open,correct,0.105525836950014
sub022,closed,incorrect,0.136460302207074
sub022,closed,correct,0.098062094454589
sub023,open,incorrect,0.127849451574364
sub023,open,correct,0.175589542282216
sub023,closed,incorrect,0.114535077707487
sub023,closed,correct,0.0979332912328075
sub024,open,incorrect,0.0267389745788605
sub024,open,correct,0.0180810085101367
sub024,closed,incorrect,0.00472175451574534
sub024,closed,correct,0.0223601833982644
sub025,open,incorrect,0.0881539821483116
sub025,open,correct,-0.00959840328200723
sub025,closed,incorrect,0.00805469005237821
sub025,closed,correct,0.0123624310017063
sub026,open,incorrect,0.0108564165901031
sub026,open,correct,-0.0393399981918268
sub026,closed,incorrect,0.0131654259707282
sub026,closed,correct,0.0093294630570386
sub027,open,incorrect,0.00269705855530017
sub027,open,correct,0.105027926991683
sub027,closed,incorrect,-0.0146835036396366
sub027,closed,correct,0.00391362345031785
sub028,open,incorrect,0.15876631542505
sub028,open,correct,0.164017519928876
sub028,closed,incorrect,0.11793079800978
sub028,closed,correct,0.0915990430269003
sub029,open,incorrect,-0.0213530305350869
sub029,open,correct,0.0181014458986922
sub029,closed,incorrect,0.0761857825242293
sub029,closed,correct,0.00942182064419008
sub030,open,incorrect,0.0262684436434347
sub030,open,correct,0.00339311128044678
sub030,closed,incorrect,-0.0626756474610231
sub030,closed,correct,0.029310674628448
sub031,open,incorrect,0.0369721402168357
sub031,open,correct,0.0422602801727898
sub031,closed,incorrect,-0.0125474193688786
sub031,closed,correct,0.0482721628906763
sub032,open,incorrect,0.0476711957012498
sub032,open,correct,0.00645996733205787
sub032,closed,incorrect,-0.0088513193469502
sub032,closed,correct,-0.00960617157087792
sub033,open,incorrect,-0.00307665250260145
sub033,open,correct,0.0250256010168204
sub033,closed,incorrect,0.02363820001594
sub033,closed,correct,0.0261562220656427
sub034,open,incorrect,0.00106811379638004
sub034,open,correct,0.083529600208168
sub034,closed,incorrect,-0.0453675587824656
sub034,closed,correct,0.0134086195736983
sub035,open,incorrect,-0.024138432605781
sub035,open,correct,0.0211874394072362
sub035,closed,incorrect,0.0205964489021154
sub035,closed,correct,0.0196815861572161
sub036,open,incorrect,0.0493208542235133
sub036,open,correct,0.0819104385460495
sub036,closed,incorrect,-0.0270271597421185
sub036,closed,correct,0.00818212197206648
sub037,open,incorrect,0.061902563334687
sub037,open,correct,-0.00846814398955729
sub037,closed,incorrect,0.0293326228936279
sub037,closed,correct,0.0109407704008806
sub039,open,incorrect,-0.0409126364572005
sub039,open,correct,0.0195929073983386
sub039,closed,incorrect,-0.0453631490170527
sub039,closed,correct,0.0111038150242774
