suj,eyes,rt,rt_index
sub001,open,fast,0.0614517507107331
sub001,open,slow,-0.030170507652094
sub001,closed,fast,0.0301623414114492
sub001,closed,slow,0.0778847471916828
sub002,open,fast,0.0327082665460554
sub002,open,slow,0.0582826304690787
sub002,closed,fast,-0.010026489487083
sub002,closed,slow,0.0631444975138534
sub003,open,fast,0.102585949889468
sub003,open,slow,0.0712617991700655
sub003,closed,fast,0.0315516250300674
sub003,closed,slow,0.0551418358979033
sub004,open,fast,-0.054310956194529
sub004,open,slow,0.0915534524678294
sub004,closed,fast,0.021708095781829
sub004,closed,slow,0.00488067791356413
sub005,open,fast,0.0151642703149921
sub005,open,slow,0.0103240037913727
sub005,closed,fast,0.042248052094096
sub005,closed,slow,-0.0365748123860919
sub006,open,fast,0.077782304664575
sub006,open,slow,0.0427716024209862
sub006,closed,fast,0.157084179217292
sub006,closed,slow,0.0990653592971455
sub007,open,fast,0.0558046875024454
sub007,open,slow,0.0110819875625372
sub007,closed,fast,0.0483831861355913
sub007,closed,slow,0.00811530219385345
sub008,open,fast,0.00293744500616364
sub008,open,slow,0.0588483920697172
sub008,closed,fast,-0.0105518218724246
sub008,closed,slow,0.0216553546961091
sub009,open,fast,0.0764598087145051
sub009,open,slow,-0.0214844595742702
sub009,closed,fast,0.0843619248006104
sub009,closed,slow,0.0644293398203497
sub010,open,fast,0.0638749338793067
sub010,open,slow,0.00741240806223954
sub010,closed,fast,0.187842630991209
sub010,closed,slow,0.194834494064218
sub011,open,fast,-0.00949937592144888
sub011,open,slow,0.0164176199907118
sub011,closed,fast,0.0807388636957602
sub011,closed,slow,0.0315832887801805
sub012,open,fast,0.06595792958033
sub012,open,slow,0.0592146495516001
sub012,closed,fast,0.0628956083984642
sub012,closed,slow,0.0100451099866158
sub017,open,fast,-0.0577616599237934
sub017,open,slow,0.0183327222997707
sub017,closed,fast,0.0680960625111814
sub017,closed,slow,-0.0268015554721986
sub018,open,fast,0.158594317348636
sub018,open,slow,0.0705502101180257
sub018,closed,fast,0.0554303992832112
sub018,closed,slow,0.0123929150054986
sub020,open,fast,0.268434239661154
sub020,open,slow,0.176064181532268
sub020,closed,fast,0.121260602478111
sub020,closed,slow,0.09177383501691
sub021,open,fast,0.115596209829984
sub021,open,slow,-0.0103511503524191
sub021,closed,fast,0.138645623938138
sub021,closed,slow,0.0614469427977566
sub022,open,fast,0.0937509068830197
sub022,open,slow,0.109634576690119
sub022,closed,fast,0.0912935866498303
sub022,closed,slow,0.104513159589932
sub023,open,fast,0.199232498209687
sub023,open,slow,0.158775724418533
sub023,closed,fast,0.0941715941614589
sub023,closed,slow,0.0975646126511502
sub024,open,fast,0.0369720798797938
sub024,open,slow,0.00398099242296323
sub024,closed,fast,0.00897438620216707
sub024,closed,slow,0.0397019927053742
sub025,open,fast,-0.0654208238940232
sub025,open,slow,0.0499834202817666
sub025,closed,fast,-0.00420066698210889
sub025,closed,slow,0.00290981686809572
sub026,open,fast,-0.0498383501315032
sub026,open,slow,-0.0353210396423677
sub026,closed,fast,0.00728816784217649
sub026,closed,slow,0.0220584762787259
sub027,open,fast,0.114189165118916
sub027,open,slow,0.0924722616545205
sub027,closed,fast,-0.0280797702448459
sub027,closed,slow,0.0370790318979474
sub028,open,fast,0.195784218655984
sub028,open,slow,0.131094859971955
sub028,closed,fast,0.129028446101636
sub028,closed,slow,0.0474001571824657
sub029,open,fast,0.0340828517394474
sub029,open,slow,0.00638717788005739
sub029,closed,fast,0.0418684475297287
sub029,closed,slow,-0.0118808082301606
sub030,open,fast,-0.000787412599489109
sub030,open,slow,0.00747914482006264
sub030,closed,fast,0.058905357205582
sub030,closed,slow,0.00637545773653465
sub031,open,fast,0.0616003820729251
sub031,open,slow,0.0215495289125635
sub031,closed,fast,0.0517879950560718
sub031,closed,slow,0.0436743059975326
sub032,open,fast,-0.0074639666937604
sub032,open,slow,0.0224496121321299
sub032,closed,fast,-0.0106960601120038
sub032,closed,slow,-0.00697527655755267
sub033,open,fast,0.00229362289041687
sub033,open,slow,0.0380474517440241
sub033,closed,fast,0.0399575562597799
sub033,closed,slow,0.0135801458158944
sub034,open,fast,0.0381249037349514
sub034,open,slow,0.128618005145728
sub034,closed,fast,-0.00490834011793584
sub034,closed,slow,0.037198422846847
sub035,open,fast,0.0255029834180142
sub035,open,slow,0.0238875568163327
sub035,closed,fast,0.0171183004459952
sub035,closed,slow,0.0211461286212165
sub036,open,fast,0.0981629227960215
sub036,open,slow,0.0678201930784775
sub036,closed,fast,0.0205242139935463
sub036,closed,slow,-0.000677926662620968
sub037,open,fast,0.0428508944900889
sub037,open,slow,-0.0663182488268907
sub037,closed,fast,0.0147826103741324
sub037,closed,slow,0.00478141175841393
sub039,open,fast,0.04526183954796
sub039,open,slow,-0.0108927381467172
sub039,closed,fast,0.034874303714536
sub039,closed,slow,-0.0125016524017305
