sub,eye,measure,bin,bin_n,pow,perc,rt
sub001,open,baseline,b1,1,8.79381956758648e-27,0.910714285714286,0.637
sub001,open,baseline,b2,2,1.3520321721914e-26,0.875,0.638893939393939
sub001,open,baseline,b3,3,1.75612929323645e-26,0.946428571428571,0.647693452380952
sub001,open,baseline,b4,4,2.23975874923621e-26,0.910714285714286,0.6405
sub001,open,baseline,b5,5,3.48766318721536e-26,0.928571428571429,0.620339506172839
sub001,closed,baseline,b1,1,1.93613656435376e-26,0.895833333333333,0.684946808510638
sub001,closed,baseline,b2,2,2.6680894673183e-26,0.854166666666667,0.675329861111111
sub001,closed,baseline,b3,3,3.20518017994842e-26,0.916666666666667,0.649826388888889
sub001,closed,baseline,b4,4,3.89074023728468e-26,0.8125,0.67125
sub001,closed,baseline,b5,5,5.60763045607927e-26,0.875,0.635195035460993
sub001,open,absolute,b1,1,1.00301411165789e-26,0.875,0.622590909090909
sub001,open,absolute,b2,2,1.63921157862394e-26,0.910714285714286,0.663227272727273
sub001,open,absolute,b3,3,2.10713987881e-26,0.875,0.630220125786164
sub001,open,absolute,b4,4,2.6861751852287e-26,0.928571428571429,0.63453869047619
sub001,open,absolute,b5,5,3.96935167952331e-26,0.982142857142857,0.625952380952381
sub001,closed,absolute,b1,1,1.5792019441698e-26,0.895833333333333,0.671041666666667
sub001,closed,absolute,b2,2,2.46350429127169e-26,0.875,0.646649305555556
sub001,closed,absolute,b3,3,3.16199987135231e-26,0.8125,0.727447916666667
sub001,closed,absolute,b4,4,4.0226875532897e-26,0.9375,0.633142361111111
sub001,closed,absolute,b5,5,5.47043941435045e-26,0.833333333333333,0.63731884057971
sub001,open,relative,b1,1,-0.454721491475752,0.857142857142857,0.638904320987654
sub001,open,relative,b2,2,-0.0542989057832424,0.910714285714286,0.625348484848485
sub001,open,relative,b3,3,0.308617888316644,0.928571428571429,0.675431547619048
sub001,open,relative,b4,4,0.835969582090653,0.946428571428571,0.615621212121212
sub001,open,relative,b5,5,2.56187373199155,0.928571428571429,0.632030303030303
sub001,closed,relative,b1,1,-0.522241957863122,0.854166666666667,0.642118055555556
sub001,closed,relative,b2,2,-0.213239007221211,0.895833333333333,0.706684027777778
sub001,closed,relative,b3,3,0.0870670921484898,0.833333333333333,0.683723404255319
sub001,closed,relative,b4,4,0.468612865005988,0.916666666666667,0.628923611111111
sub001,closed,relative,b5,5,1.29450819639207,0.854166666666667,0.655496453900709
sub001,open,lat,b1,1,-0.620012987428421,0.964285714285714,0.644791666666667
sub001,open,lat,b2,2,-0.410816733759925,0.875,0.62391975308642
sub001,open,lat,b3,3,-0.0159168549996427,0.875,0.615044642857143
sub001,open,lat,b4,4,0.463396944770446,0.928571428571429,0.668681818181818
sub001,open,lat,b5,5,0.676672557724227,0.928571428571429,0.630154320987654
sub001,closed,lat,b1,1,-0.626732671830172,0.833333333333333,0.660034722222222
sub001,closed,lat,b2,2,-0.418064420377058,0.8125,0.604946808510638
sub001,closed,lat,b3,3,-0.0220038201871754,0.916666666666667,0.650607638888889
sub001,closed,lat,b4,4,0.43883798694365,0.958333333333333,0.698524305555556
sub001,closed,lat,b5,5,0.668632491049852,0.833333333333333,0.702163120567376
sub002,open,baseline,b1,1,1.10492419707574e-27,0.892857142857143,0.565848214285714
sub002,open,baseline,b2,2,3.32864437907804e-27,0.857142857142857,0.564747023809524
sub002,open,baseline,b3,3,5.6428473506927e-27,0.767857142857143,0.541592261904762
sub002,open,baseline,b4,4,8.98269092006874e-27,0.910714285714286,0.552247023809524
sub002,open,baseline,b5,5,1.48929326436012e-26,0.839285714285714,0.57453869047619
sub002,closed,baseline,b1,1,4.14684949010062e-27,0.677966101694915,0.604053672316384
sub002,closed,baseline,b2,2,1.04378755681325e-26,0.711864406779661,0.681364942528736
sub002,closed,baseline,b3,3,1.41021128295837e-26,0.644067796610169,0.680574712643678
sub002,closed,baseline,b4,4,1.81974692379036e-26,0.644067796610169,0.730672514619883
sub002,closed,baseline,b5,5,2.75536825376007e-26,0.593220338983051,0.720701754385965
sub002,open,absolute,b1,1,8.7505208303565e-28,0.857142857142857,0.583169642857143
sub002,open,absolute,b2,2,2.84627684971535e-27,0.839285714285714,0.534449404761905
sub002,open,absolute,b3,3,5.05208225079204e-27,0.946428571428571,0.536190476190476
sub002,open,absolute,b4,4,8.13113005468614e-27,0.821428571428571,0.544598214285714
sub002,open,absolute,b5,5,1.44874064994365e-26,0.839285714285714,0.586160714285714
sub002,closed,absolute,b1,1,4.41222602329241e-27,0.779661016949153,0.627061403508772
sub002,closed,absolute,b2,2,1.11976705222079e-26,0.610169491525424,0.724956896551724
sub002,closed,absolute,b3,3,1.53962719236301e-26,0.593220338983051,0.694281609195402
sub002,closed,absolute,b4,4,1.98126887387552e-26,0.576271186440678,0.655617816091954
sub002,closed,absolute,b5,5,2.73997951411798e-26,0.677966101694915,0.720747126436782
sub002,open,relative,b1,1,-0.759853534249066,0.875,0.566741071428572
sub002,open,relative,b2,2,-0.401465976950215,0.821428571428571,0.560907738095238
sub002,open,relative,b3,3,-0.0369422597032591,0.821428571428571,0.552574404761905
sub002,open,relative,b4,4,0.65018761165234,0.875,0.544880952380952
sub002,open,relative,b5,5,6.24501151318264,0.892857142857143,0.562455357142857
sub002,closed,relative,b1,1,-0.590119039515483,0.661016949152542,0.666994047619048
sub002,closed,relative,b2,2,-0.136625351530575,0.677966101694915,0.718778735632184
sub002,closed,relative,b3,3,0.234806440400286,0.610169491525424,0.701977401129943
sub002,closed,relative,b4,4,0.908359174287921,0.610169491525424,0.665219298245614
sub002,closed,relative,b5,5,4.23170983489402,0.677966101694915,0.645338983050847
sub002,open,lat,b1,1,-0.419487123728363,0.803571428571429,0.564494047619048
sub002,open,lat,b2,2,-0.159969820778328,0.892857142857143,0.55952380952381
sub002,open,lat,b3,3,0.0515206395834414,0.821428571428571,0.537857142857143
sub002,open,lat,b4,4,0.250740303447914,0.857142857142857,0.571979166666667
sub002,open,lat,b5,5,0.510055851202173,0.910714285714286,0.557232142857143
sub002,closed,lat,b1,1,-0.427723309540186,0.711864406779661,0.644887005649717
sub002,closed,lat,b2,2,-0.170707185460726,0.627118644067797,0.685169491525424
sub002,closed,lat,b3,3,0.0324189974672674,0.627118644067797,0.662380952380953
sub002,closed,lat,b4,4,0.236884440326721,0.559322033898305,0.726116071428571
sub002,closed,lat,b5,5,0.495500391138242,0.711864406779661,0.705974576271186
sub003,open,baseline,b1,1,1.63241930090083e-27,0.714285714285714,0.636517857142857
sub003,open,baseline,b2,2,3.04968201759585e-27,0.660714285714286,0.633030303030303
sub003,open,baseline,b3,3,4.16939856993473e-27,0.660714285714286,0.62641369047619
sub003,open,baseline,b4,4,5.65642991095062e-27,0.75,0.607232142857143
sub003,open,baseline,b5,5,1.06827201089348e-26,0.714285714285714,0.614702380952381
sub003,closed,baseline,b1,1,6.41739265942937e-27,0.807692307692308,0.671314102564103
sub003,closed,baseline,b2,2,1.00648271736485e-26,0.788461538461538,0.630048076923077
sub003,closed,baseline,b3,3,1.3337771030103e-26,0.692307692307692,0.576116666666667
sub003,closed,baseline,b4,4,1.70114080615687e-26,0.730769230769231,0.667916666666667
sub003,closed,baseline,b5,5,2.37524391844271e-26,0.673076923076923,0.637549019607843
