sub,eye,bin,perc,rt
sub001,open,b1,0.9,0.640225060827251
sub001,open,b2,0.928571428571429,0.63415458937198
sub001,closed,b1,0.866666666666667,0.652743055555556
sub001,closed,b2,0.875,0.674110169491525
sub002,open,b1,0.836879432624113,0.56475768321513
sub002,open,b2,0.872340425531915,0.552884160756501
sub002,closed,b1,0.675675675675676,0.697297453703704
sub002,closed,b2,0.621621621621622,0.669554794520548
sub003,open,b1,0.742857142857143,0.624547619047619
sub003,open,b2,0.657142857142857,0.622236211031175
sub003,closed,b1,0.712121212121212,0.613320512820513
sub003,closed,b2,0.765151515151515,0.659332061068702
sub004,open,b1,0.900709219858156,0.476164302600473
sub004,open,b2,0.822695035460993,0.46354609929078
sub004,closed,b1,0.782258064516129,0.523958333333333
sub004,closed,b2,0.806451612903226,0.526700268817204
sub005,open,b1,0.652173913043478,0.610905797101449
sub005,open,b2,0.594202898550725,0.587940821256039
sub005,closed,b1,0.569230769230769,0.604384615384615
sub005,closed,b2,0.630769230769231,0.601820512820513
sub006,open,b1,0.717391304347826,0.81506038647343
sub006,open,b2,0.710144927536232,0.806897810218978
sub006,closed,b1,0.691780821917808,0.874842995169082
sub006,closed,b2,0.726027397260274,0.888262910798122
sub007,open,b1,0.678321678321678,0.646421911421911
sub007,open,b2,0.678321678321678,0.668232860520095
sub007,closed,b1,0.68,0.6718125
sub007,closed,b2,0.664,0.679173728813559
sub008,open,b1,0.871428571428571,0.701714975845411
sub008,open,b2,0.864285714285714,0.706229016786571
sub008,closed,b1,0.901515151515151,0.686145038167939
sub008,closed,b2,0.96969696969697,0.687335858585859
sub009,open,b1,0.637795275590551,0.644556878306878
sub009,open,b2,0.669291338582677,0.703326666666667
sub009,closed,b1,0.690909090909091,0.70335626911315
sub009,closed,b2,0.527272727272727,0.713142201834862
sub010,open,b1,0.664233576642336,0.836434837092732
sub010,open,b2,0.715328467153285,0.798645833333333
sub010,closed,b1,0.739130434782609,0.832660984848485
sub010,closed,b2,0.717391304347826,0.853541666666667
sub011,open,b1,0.897810218978102,0.60088199513382
sub011,open,b2,0.91970802919708,0.597986618004866
sub011,closed,b1,0.874015748031496,0.608895502645503
sub011,closed,b2,0.84251968503937,0.653248031496063
sub012,open,b1,0.896551724137931,0.531586206896552
sub012,open,b2,0.868965517241379,0.532804597701149
sub012,closed,b1,0.858208955223881,0.643022388059701
sub012,closed,b2,0.925373134328358,0.638252487562189
sub017,open,b1,0.792079207920792,0.736650165016502
sub017,open,b2,0.732673267326733,0.723775
sub017,closed,b1,0.847619047619048,0.702809523809524
sub017,closed,b2,0.79047619047619,0.705914239482201
sub018,open,b1,0.714285714285714,0.58265037593985
sub018,open,b2,0.661654135338346,0.578270676691729
sub018,closed,b1,0.524137931034483,0.621679104477612
sub018,closed,b2,0.63448275862069,0.629929078014184
sub020,open,b1,0.716312056737589,0.546572104018913
sub020,open,b2,0.737588652482269,0.547612293144208
sub020,closed,b1,0.706293706293706,0.553111888111888
sub020,closed,b2,0.65034965034965,0.537012910798122
sub021,open,b1,0.595238095238095,0.60082
sub021,open,b2,0.650793650793651,0.598753387533875
sub021,closed,b1,0.625,0.62373427672956
sub021,closed,b2,0.625,0.586001529051988
sub022,open,b1,0.770992366412214,0.55976282051282
sub022,open,b2,0.801526717557252,0.533727735368957
sub022,closed,b1,0.781954887218045,0.589248120300752
sub022,closed,b2,0.849624060150376,0.584053884711779
sub023,open,b1,0.83448275862069,0.660746527777778
sub023,open,b2,0.868965517241379,0.638831018518518
sub023,closed,b1,0.851351351351351,0.725034013605442
sub023,closed,b2,0.858108108108108,0.685334467120181
sub024,open,b1,0.786206896551724,0.628479020979021
sub024,open,b2,0.875862068965517,0.628425287356322
sub024,closed,b1,0.669291338582677,0.716946721311476
sub024,closed,b2,0.716535433070866,0.72302
sub025,open,b1,0.516666666666667,0.81093137254902
sub025,open,b2,0.591666666666667,0.796281512605042
sub025,closed,b1,0.601694915254237,0.809878917378917
sub025,closed,b2,0.669491525423729,0.843128531073446
sub026,open,b1,0.765957446808511,0.805
sub026,open,b2,0.723404255319149,0.810175120772947
sub026,closed,b1,0.776119402985075,0.814961538461538
sub026,closed,b2,0.776119402985075,0.804974160206718
sub027,open,b1,0.705035971223022,0.70515587529976
sub027,open,b2,0.784172661870504,0.693171462829736
sub027,closed,b1,0.759398496240602,0.693038847117795
sub027,closed,b2,0.706766917293233,0.720582706766917
sub028,open,b1,0.845070422535211,0.816853864734299
sub028,open,b2,0.73943661971831,0.851151079136691
sub028,closed,b1,0.787234042553192,0.849736519607843
sub028,closed,b2,0.730496453900709,0.860746268656716
sub029,open,b1,0.776223776223776,0.846095238095238
sub029,open,b2,0.776223776223776,0.827910714285714
sub029,closed,b1,0.682758620689655,0.939752604166667
sub029,closed,b2,0.613793103448276,0.899312977099237
sub030,open,b1,0.781456953642384,0.646694630872483
sub030,open,b2,0.741721854304636,0.647021396396396
sub030,closed,b1,0.829931972789116,0.646130136986301
sub030,closed,b2,0.775510204081633,0.641281179138322
sub031,open,b1,0.666666666666667,0.717487179487179
sub031,open,b2,0.71969696969697,0.716338383838384
sub031,closed,b1,0.572519083969466,0.793212365591398
sub031,closed,b2,0.694656488549618,0.784877260981912
sub032,open,b1,0.591836734693878,0.69642694063927
sub032,open,b2,0.63265306122449,0.670632183908046
sub032,closed,b1,0.676470588235294,0.6515625
sub032,closed,b2,0.632352941176471,0.683220551378446
sub033,open,b1,0.835714285714286,0.743613184079602
sub033,open,b2,0.921428571428571,0.737148809523809
sub033,closed,b1,0.772727272727273,0.737713178294574
sub033,closed,b2,0.833333333333333,0.72125322997416
sub034,open,b1,0.857142857142857,0.622547619047619
sub034,open,b2,0.757142857142857,0.613517857142857
sub034,closed,b1,0.783582089552239,0.609819651741294
sub034,closed,b2,0.813432835820896,0.611281094527363
sub035,open,b1,0.625,0.473414351851852
sub035,open,b2,0.618055555555556,0.465355477855478
sub035,closed,b1,0.625,0.558101851851852
sub035,closed,b2,0.576388888888889,0.504519675925926
sub036,open,b1,0.767441860465116,0.745656167979003
sub036,open,b2,0.767441860465116,0.753081395348837
sub036,closed,b1,0.80327868852459,0.825416666666667
sub036,closed,b2,0.745901639344262,0.836520833333333
sub037,open,b1,0.80952380952381,0.713187830687831
sub037,open,b2,0.825396825396825,0.706157407407407
sub037,closed,b1,0.721804511278195,0.772024739583333
sub037,closed,b2,0.75187969924812,0.768282051282051
sub039,open,b1,0.884057971014493,0.715656934306569
sub039,open,b2,0.869565217391304,0.715074074074074
sub039,closed,b1,0.895833333333333,0.72871158392435
sub039,closed,b2,0.888888888888889,0.694219114219114
