sub,eye,bin,perc,rt
sub001,open,b1,0.875,0.674515151515151
sub001,open,b2,0.928571428571429,0.592515151515151
sub001,open,b3,0.946428571428571,0.670772727272727
sub001,open,b4,0.892857142857143,0.606018518518519
sub001,open,b5,0.928571428571429,0.643065476190476
sub001,closed,b1,0.854166666666667,0.692413194444444
sub001,closed,b2,0.854166666666667,0.631927083333333
sub001,closed,b3,0.875,0.693055555555556
sub001,closed,b4,0.9375,0.663829787234043
sub001,closed,b5,0.833333333333333,0.634875886524823
sub002,open,b1,0.875,0.565729166666667
sub002,open,b2,0.803571428571429,0.555848214285714
sub002,open,b3,0.857142857142857,0.567142857142857
sub002,open,b4,0.910714285714286,0.547366071428571
sub002,open,b5,0.839285714285714,0.552366071428571
sub002,closed,b1,0.728813559322034,0.673552631578947
sub002,closed,b2,0.661016949152542,0.69530701754386
sub002,closed,b3,0.644067796610169,0.700114942528736
sub002,closed,b4,0.593220338983051,0.701020114942529
sub002,closed,b5,0.610169491525424,0.653926553672316
sub003,open,b1,0.75,0.615342261904762
sub003,open,b2,0.75,0.619360119047619
sub003,open,b3,0.678571428571429,0.654657738095238
sub003,open,b4,0.660714285714286,0.636939393939394
sub003,open,b5,0.660714285714286,0.590788690476191
sub003,closed,b1,0.730769230769231,0.582875816993464
sub003,closed,b2,0.615384615384615,0.649086538461538
sub003,closed,b3,0.788461538461538,0.636895424836601
sub003,closed,b4,0.75,0.670375816993464
sub003,closed,b5,0.788461538461538,0.661875
sub004,open,b1,0.857142857142857,0.468407738095238
sub004,open,b2,0.910714285714286,0.4828125
sub004,open,b3,0.839285714285714,0.479434523809524
sub004,open,b4,0.857142857142857,0.463422619047619
sub004,open,b5,0.839285714285714,0.453050595238095
sub004,closed,b1,0.795918367346939,0.531581632653061
sub004,closed,b2,0.775510204081633,0.508724489795918
sub004,closed,b3,0.73469387755102,0.543214285714286
sub004,closed,b4,0.795918367346939,0.518010204081633
sub004,closed,b5,0.877551020408163,0.528962585034014
sub005,open,b1,0.6,0.61880303030303
sub005,open,b2,0.672727272727273,0.590242424242424
sub005,open,b3,0.727272727272727,0.612712121212121
sub005,open,b4,0.6,0.592818181818182
sub005,open,b5,0.527272727272727,0.583984848484848
sub005,closed,b1,0.576923076923077,0.592788461538462
sub005,closed,b2,0.596153846153846,0.605064102564102
sub005,closed,b3,0.634615384615385,0.623846153846154
sub005,closed,b4,0.576923076923077,0.613221153846154
sub005,closed,b5,0.615384615384615,0.580592948717949
sub006,open,b1,0.618181818181818,0.845772727272727
sub006,open,b2,0.8,0.775454545454546
sub006,open,b3,0.672727272727273,0.814621212121212
sub006,open,b4,0.763636363636364,0.79462962962963
sub006,open,b5,0.727272727272727,0.827272727272727
sub006,closed,b1,0.706896551724138,0.86
sub006,closed,b2,0.689655172413793,0.87280701754386
sub006,closed,b3,0.775862068965517,0.902969696969697
