sub,eye,bin,perc,perc_i,rt
sub001,open,b1,0.892857142857143,0.0928571428571429,0.646153381642512
sub001,open,b2,0.935714285714286,0.0428571428571429,0.629038929440389
sub001,closed,b1,0.866666666666667,0.125,0.661953781512605
sub001,closed,b2,0.875,0.108333333333333,0.664719887955182
sub002,open,b1,0.836879432624113,0.163120567375887,0.568516548463357
sub002,open,b2,0.872340425531915,0.127659574468085,0.547943262411347
sub002,closed,b1,0.648648648648649,0.317567567567568,0.683560606060606
sub002,closed,b2,0.648648648648649,0.351351351351351,0.685385487528345
sub003,open,b1,0.7,0.3,0.582696428571429
sub003,open,b2,0.7,0.292857142857143,0.662637889688249
sub003,closed,b1,0.71969696969697,0.28030303030303,0.635852272727273
sub003,closed,b2,0.757575757575758,0.21969696969697,0.636989664082687
sub004,open,b1,0.886524822695035,0.113475177304965,0.473516548463357
sub004,open,b2,0.836879432624113,0.163120567375887,0.466193853427896
sub004,closed,b1,0.798387096774194,0.201612903225806,0.517520161290323
sub004,closed,b2,0.790322580645161,0.209677419354839,0.533138440860215
sub005,open,b1,0.63768115942029,0.36231884057971,0.615434782608696
sub005,open,b2,0.608695652173913,0.391304347826087,0.583411835748792
sub005,closed,b1,0.653846153846154,0.346153846153846,0.610775641025641
sub005,closed,b2,0.546153846153846,0.453846153846154,0.595429487179487
sub006,open,b1,0.746376811594203,0.253623188405797,0.83036231884058
sub006,open,b2,0.681159420289855,0.311594202898551,0.791484184914842
sub006,closed,b1,0.705479452054795,0.246575342465753,0.887136904761905
sub006,closed,b2,0.712328767123288,0.246575342465753,0.879083333333333
sub007,open,b1,0.643356643356643,0.356643356643357,0.676917249417249
sub007,open,b2,0.713286713286713,0.27972027972028,0.637304964539007
sub007,closed,b1,0.64,0.336,0.679341736694678
sub007,closed,b2,0.704,0.272,0.671582633053221
sub008,open,b1,0.892857142857143,0.1,0.695929256594724
sub008,open,b2,0.842857142857143,0.135714285714286,0.71262077294686
sub008,closed,b1,0.939393939393939,0.053030303030303,0.682729007633588
sub008,closed,b2,0.931818181818182,0.0681818181818182,0.69104797979798
sub009,open,b1,0.62992125984252,0.354330708661417,0.656026666666667
sub009,open,b2,0.677165354330709,0.31496062992126,0.69
sub009,closed,b1,0.581818181818182,0.409090909090909,0.701123853211009
sub009,closed,b2,0.636363636363636,0.363636363636364,0.717110091743119
sub010,open,b1,0.708029197080292,0.27007299270073,0.82521144278607
sub010,open,b2,0.671532846715328,0.313868613138686,0.808265432098765
sub010,closed,b1,0.760869565217391,0.206521739130435,0.861058052434457
sub010,closed,b2,0.695652173913043,0.293478260869565,0.825998168498169
sub011,open,b1,0.897810218978102,0.102189781021898,0.59661800486618
sub011,open,b2,0.91970802919708,0.0802919708029197,0.602250608272506
sub011,closed,b1,0.858267716535433,0.133858267716535,0.6275
sub011,closed,b2,0.866141732283465,0.125984251968504,0.634376640419947
sub012,open,b1,0.875862068965517,0.124137931034483,0.52548275862069
sub012,open,b2,0.889655172413793,0.110344827586207,0.538908045977011
sub012,closed,b1,0.902985074626866,0.0970149253731343,0.655012437810945
sub012,closed,b2,0.880597014925373,0.119402985074627,0.626262437810945
sub017,open,b1,0.792079207920792,0.207920792079208,0.749265676567657
sub017,open,b2,0.742574257425743,0.247524752475248,0.708775
