sub,eye,bin,perc,rt
sub001,open,b1,0.9,0.630049382716049
sub001,open,b2,0.928571428571429,0.644214285714286
sub001,closed,b1,0.858333333333333,0.661330532212885
sub001,closed,b2,0.883333333333333,0.665343137254902
sub002,open,b1,0.858156028368794,0.565886524822695
sub002,open,b2,0.851063829787234,0.55056146572104
sub002,closed,b1,0.668918918918919,0.696557471264368
sub002,closed,b2,0.628378378378378,0.672298850574713
sub003,open,b1,0.721428571428571,0.649738095238095
sub003,open,b2,0.678571428571429,0.598507194244604
sub003,closed,b1,0.757575757575758,0.626717557251908
sub003,closed,b2,0.71969696969697,0.646185897435897
sub004,open,b1,0.858156028368794,0.477452718676123
sub004,open,b2,0.865248226950355,0.46225768321513
sub004,closed,b1,0.782258064516129,0.51051747311828
sub004,closed,b2,0.806451612903226,0.540141129032258
sub005,open,b1,0.644927536231884,0.611630434782609
sub005,open,b2,0.601449275362319,0.587216183574879
sub005,closed,b1,0.576923076923077,0.598397435897436
sub005,closed,b2,0.623076923076923,0.607807692307692
sub006,open,b1,0.72463768115942,0.820923913043478
sub006,open,b2,0.702898550724638,0.800991484184915
sub006,closed,b1,0.705479452054795,0.880724637681159
sub006,closed,b2,0.712328767123288,0.886068075117371
sub007,open,b1,0.713286713286713,0.640416666666667
sub007,open,b2,0.643356643356643,0.674084507042254
sub007,closed,b1,0.696,0.670451388888889
sub007,closed,b2,0.648,0.68055790960452
sub008,open,b1,0.85,0.715314009661836
sub008,open,b2,0.885714285714286,0.69408273381295
sub008,closed,b1,0.916666666666667,0.699262086513995
sub008,closed,b2,0.954545454545455,0.674532828282828
sub009,open,b1,0.614173228346457,0.672261904761905
sub009,open,b2,0.692913385826772,0.67546
sub009,closed,b1,0.636363636363636,0.703639143730887
sub009,closed,b2,0.590909090909091,0.713149847094801
sub010,open,b1,0.671532846715328,0.823434343434343
sub010,open,b2,0.715328467153285,0.809318734793187
sub010,closed,b1,0.728260869565217,0.849691011235955
sub010,closed,b2,0.728260869565217,0.837115384615385
sub011,open,b1,0.897810218978102,0.606040145985401
sub011,open,b2,0.91970802919708,0.592828467153285
sub011,closed,b1,0.834645669291339,0.622314814814815
sub011,closed,b2,0.881889763779528,0.636758530183727
sub012,open,b1,0.917241379310345,0.536620689655172
sub012,open,b2,0.848275862068966,0.527770114942529
sub012,closed,b1,0.880597014925373,0.658034825870647
sub012,closed,b2,0.902985074626866,0.623240049751244
sub017,open,b1,0.841584158415842,0.748465346534653
sub017,open,b2,0.683168316831683,0.710766666666667
sub017,closed,b1,0.8,0.693079365079365
sub017,closed,b2,0.838095238095238,0.715833333333333
sub018,open,b1,0.721804511278195,0.575037593984962
sub018,open,b2,0.661654135338346,0.587374686716792
sub018,closed,b1,0.524137931034483,0.650674019607843
sub018,closed,b2,0.63448275862069,0.60167865707434
sub020,open,b1,0.695035460992908,0.538971631205674
sub020,open,b2,0.75886524822695,0.555212765957447
sub020,closed,b1,0.664335664335664,0.557734741784038
sub020,closed,b2,0.692307692307692,0.532768065268065
sub021,open,b1,0.619047619047619,0.615126666666667
sub021,open,b2,0.626984126984127,0.584214092140921
sub021,closed,b1,0.642857142857143,0.627045454545454
sub021,closed,b2,0.607142857142857,0.583507936507937
sub022,open,b1,0.755725190839695,0.560089743589744
sub022,open,b2,0.816793893129771,0.533403307888041
sub022,closed,b1,0.774436090225564,0.593615288220551
sub022,closed,b2,0.857142857142857,0.580820802005013
sub023,open,b1,0.827586206896552,0.650920138888889
sub023,open,b2,0.875862068965517,0.648657407407407
sub023,closed,b1,0.831081081081081,0.713764172335601
sub023,closed,b2,0.878378378378378,0.696604308390023
sub024,open,b1,0.786206896551724,0.637309027777778
sub024,open,b2,0.875862068965517,0.619594907407408
sub024,closed,b1,0.700787401574803,0.72301747311828
sub024,closed,b2,0.68503937007874,0.71699864498645
sub025,open,b1,0.483333333333333,0.8130625
sub025,open,b2,0.625,0.791137005649717
sub025,closed,b1,0.652542372881356,0.804935897435898
sub025,closed,b2,0.61864406779661,0.845769774011299
sub026,open,b1,0.765957446808511,0.822113526570048
sub026,open,b2,0.723404255319149,0.789033816425121
sub026,closed,b1,0.805970149253731,0.814429487179487
sub026,closed,b2,0.746268656716418,0.805510335917313
sub027,open,b1,0.726618705035971,0.717254196642686
sub027,open,b2,0.762589928057554,0.681073141486811
sub027,closed,b1,0.744360902255639,0.685501253132832
sub027,closed,b2,0.721804511278195,0.728803258145364
sub028,open,b1,0.830985915492958,0.830377697841727
sub028,open,b2,0.753521126760563,0.836352657004831
sub028,closed,b1,0.75886524822695,0.870147058823529
sub028,closed,b2,0.75886524822695,0.840031094527363
sub029,open,b1,0.783216783216783,0.838423261390887
sub029,open,b2,0.769230769230769,0.835602836879433
sub029,closed,b1,0.627586206896552,0.949583333333333
sub029,closed,b2,0.668965517241379,0.891527777777778
sub030,open,b1,0.814569536423841,0.640405555555556
sub030,open,b2,0.708609271523179,0.6534410430839
sub030,closed,b1,0.816326530612245,0.667522675736961
sub030,closed,b2,0.789115646258503,0.619708904109589
sub031,open,b1,0.712121212121212,0.727652671755725
sub031,open,b2,0.674242424242424,0.709033078880407
sub031,closed,b1,0.66412213740458,0.813490813648294
sub031,closed,b2,0.595419847328244,0.76327380952381
sub032,open,b1,0.598639455782313,0.682224137931035
sub032,open,b2,0.625850340136054,0.685730593607306
sub032,closed,b1,0.669117647058823,0.663780637254902
sub032,closed,b2,0.639705882352941,0.670726817042607
sub033,open,b1,0.885714285714286,0.74110097323601
sub033,open,b2,0.871428571428571,0.739519464720195
sub033,closed,b1,0.803030303030303,0.740179487179487
sub033,closed,b2,0.795454545454545,0.7220703125
sub034,open,b1,0.778571428571429,0.606619047619048
sub034,open,b2,0.835714285714286,0.627672619047619
sub034,closed,b1,0.805970149253731,0.596449004975124
sub034,closed,b2,0.791044776119403,0.623128109452736
sub035,open,b1,0.590277777777778,0.468444055944056
sub035,open,b2,0.652777777777778,0.471180555555555
sub035,closed,b1,0.583333333333333,0.545821759259259
sub035,closed,b2,0.618055555555556,0.519074074074074
sub036,open,b1,0.782945736434108,0.749563802083333
sub036,open,b2,0.751937984496124,0.749231770833333
sub036,closed,b1,0.80327868852459,0.834016393442623
sub036,closed,b2,0.745901639344262,0.824756944444444
sub037,open,b1,0.801587301587302,0.725059523809524
sub037,open,b2,0.833333333333333,0.694285714285714
sub037,closed,b1,0.699248120300752,0.776536458333333
sub037,closed,b2,0.774436090225564,0.763839743589744
sub039,open,b1,0.855072463768116,0.721867396593674
sub039,open,b2,0.905797101449275,0.70483950617284
sub039,closed,b1,0.875,0.733871158392435
sub039,closed,b2,0.909722222222222,0.689131701631702
