sub,eyes,measure,roi,cond,compare,value
sub001,open,visual power,v1,correct,accuracy,0.256695460850361
sub001,open,visual power,v1,incorrect,accuracy,0.140140157020724
sub001,open,visual power,v1,correct_e,accuracy_e,0.115644090406691
sub001,open,visual power,v1,incorrect_e,accuracy_e,0.140140157020724
sub001,open,visual power,v1,fast,rt,0.158709992122018
sub001,open,visual power,v1,slow,rt,0.367977586137354
sub001,open,somato lateralisation index,max,correct,accuracy,0.113765851718423
sub001,open,somato lateralisation index,max,incorrect,accuracy,-0.0990703694176192
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,0.209296324324225
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0990703694176192
sub001,open,somato lateralisation index,max,fast,rt,0.0887131581000708
sub001,open,somato lateralisation index,max,slow,rt,0.161129519747102
sub001,open,absolute,v1,correct,accuracy,5.67655880163952
sub001,open,absolute,v1,incorrect,accuracy,6.08358228915117
sub001,open,absolute,v1,correct_e,accuracy_e,5.54927430286264
sub001,open,absolute,v1,incorrect_e,accuracy_e,6.08358228915117
sub001,open,absolute,v1,fast,rt,5.53110289555721
sub001,open,absolute,v1,slow,rt,5.80658562842823
sub001,closed,visual power,v1,correct,accuracy,0.00253332402004796
sub001,closed,visual power,v1,incorrect,accuracy,0.165631616305209
sub001,closed,visual power,v1,correct_e,accuracy_e,-0.169187746950663
sub001,closed,visual power,v1,incorrect_e,accuracy_e,0.165631616305209
sub001,closed,visual power,v1,fast,rt,0.0349678681661401
sub001,closed,visual power,v1,slow,rt,-0.0871367514859775
sub001,closed,somato lateralisation index,max,correct,accuracy,0.116474712987098
sub001,closed,somato lateralisation index,max,incorrect,accuracy,-0.0402754897318216
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,0.338961923995606
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0402754897318216
sub001,closed,somato lateralisation index,max,fast,rt,0.0571572311066669
sub001,closed,somato lateralisation index,max,slow,rt,0.128088151619911
sub001,closed,absolute,v1,correct,accuracy,5.61500933639481
sub001,closed,absolute,v1,incorrect,accuracy,5.99443895538646
sub001,closed,absolute,v1,correct_e,accuracy_e,5.74957478340596
sub001,closed,absolute,v1,incorrect_e,accuracy_e,5.99443895538646
sub001,closed,absolute,v1,fast,rt,5.53284136422002
sub001,closed,absolute,v1,slow,rt,5.57849486717927
sub002,open,visual power,v1,correct,accuracy,-0.109221042517819
sub002,open,visual power,v1,incorrect,accuracy,0.0919091194791456
sub002,open,visual power,v1,correct_e,accuracy_e,-0.42689614770008
sub002,open,visual power,v1,incorrect_e,accuracy_e,0.0919091194791456
sub002,open,visual power,v1,fast,rt,0.234036732109499
