sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,0.246804690091637
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.278830736745912
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.592791288395035
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.278830736745912
sub001,open,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,0.190114561630658
sub001,open,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,0.302693973578407
sub001,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,0.202133746148487
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,0.0226055421065712
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.520384536322253
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,0.0226055421065712
sub001,open,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,0.128709872302662
sub001,open,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,0.280180948948326
sub001,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,0.120385514010777
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,0.0855471867028203
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,0.297634645787259
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,0.0855471867028203
sub001,open,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,0.0719200988077209
sub001,open,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.198485309486889
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.122841310201826
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.0650010668321956
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.147355151434286
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.132251163285509
sub001,open,somatovisual balance,max-Brodmann area 17,correct,accuracy,500pre,source,alpha,0.132848127672499
sub001,open,somatovisual balance,max-Brodmann area 17,incorrect,accuracy,500pre,source,alpha,-0.0830061770199355
sub001,open,somatovisual balance,max-Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.1538298043696
