sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.349268913320069
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.282380392090182
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.102711143030747
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.282380392090182
sub001,open,visual power,Brodmann area 17,fast,rt,alpha,0.214098286548674
sub001,open,visual power,Brodmann area 17,slow,rt,alpha,0.471556065691276
sub001,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.362521652801337
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.0541854911975726
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.0989259793027222
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.0541854911975726
sub001,open,visual power,Brodmann area 18,fast,rt,alpha,0.288250898079008
sub001,open,visual power,Brodmann area 18,slow,rt,alpha,0.431581670760181
sub001,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.281817806353465
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,-0.0121399301126233
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,-0.0166524965315412
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,-0.0121399301126233
sub001,open,visual power,Brodmann area 19,fast,rt,alpha,0.26243644671957
sub001,open,visual power,Brodmann area 19,slow,rt,alpha,0.350339638861488
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.122841310201826
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.189709760463394
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.147355151434286
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.132251163285509
sub001,open,absolute,Brodmann area 17,correct,accuracy,alpha,2.49913273895371e-05
sub001,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,2.15731310685379e-05
sub001,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,2.04737387049698e-05
sub001,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,2.15731310685379e-05
sub001,open,absolute,Brodmann area 17,fast,rt,alpha,2.39199276387206e-05
sub001,open,absolute,Brodmann area 17,slow,rt,alpha,2.56628508515872e-05
sub001,open,absolute,Brodmann area 18,correct,accuracy,alpha,1.90700761504587e-05
sub001,open,absolute,Brodmann area 18,incorrect,accuracy,alpha,1.37720834876548e-05
sub001,open,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,1.51801884554226e-05
sub001,open,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.37720834876548e-05
sub001,open,absolute,Brodmann area 18,fast,rt,alpha,1.78792762637827e-05
sub001,open,absolute,Brodmann area 18,slow,rt,alpha,1.99787169323538e-05
sub001,open,absolute,Brodmann area 19,correct,accuracy,alpha,7.21368356822703e-06
sub001,open,absolute,Brodmann area 19,incorrect,accuracy,alpha,5.92915839413673e-06
sub001,open,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,7.02011310219184e-06
sub001,open,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,5.92915839413673e-06
sub001,open,absolute,Brodmann area 19,fast,rt,alpha,6.88695296321599e-06
sub001,open,absolute,Brodmann area 19,slow,rt,alpha,7.61251704859544e-06
sub001,closed,visual power,Brodmann area 17,correct,accuracy,alpha,0.0509924387345981
sub001,closed,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.160796980199485
sub001,closed,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,-0.194776160405307
sub001,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.160796980199485
sub001,closed,visual power,Brodmann area 17,fast,rt,alpha,0.0582503187167779
sub001,closed,visual power,Brodmann area 17,slow,rt,alpha,-0.0699661563063448
sub001,closed,visual power,Brodmann area 18,correct,accuracy,alpha,0.0800027447033299
sub001,closed,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.259188128396863
sub001,closed,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,-0.0540753307011943
sub001,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.259188128396863
sub001,closed,visual power,Brodmann area 18,fast,rt,alpha,0.0829007710907322
sub001,closed,visual power,Brodmann area 18,slow,rt,alpha,0.014537603347154
sub001,closed,visual power,Brodmann area 19,correct,accuracy,alpha,0.0538746182673467
sub001,closed,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.211542351508243
sub001,closed,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.0737139565556537
sub001,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.211542351508243
sub001,closed,visual power,Brodmann area 19,fast,rt,alpha,-0.0564485166317953
sub001,closed,visual power,Brodmann area 19,slow,rt,alpha,0.124910638625917
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.139600748403646
