sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,vtpm V1,correct,accuracy,500pre,source,alpha,0.00717772144450975
sub001,open,visual power,vtpm V1,incorrect,accuracy,500pre,source,alpha,-0.0559997874081241
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,alpha,-0.118996951488086
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,-0.0559997874081241
sub001,open,visual power,vtpm V1,fast,rt,500pre,source,alpha,-0.0722810888793851
sub001,open,visual power,vtpm V1,slow,rt,500pre,source,alpha,0.0806500676085039
sub001,open,visual power,vtpm V2,correct,accuracy,500pre,source,alpha,-0.088124862609279
sub001,open,visual power,vtpm V2,incorrect,accuracy,500pre,source,alpha,0.251713600744844
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,alpha,-0.28724566717216
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,0.251713600744844
sub001,open,visual power,vtpm V2,fast,rt,500pre,source,alpha,-0.108535255840251
sub001,open,visual power,vtpm V2,slow,rt,500pre,source,alpha,-0.0613241760300455
sub001,open,visual power,vtpm V3,correct,accuracy,500pre,source,alpha,-0.0930171914110421
sub001,open,visual power,vtpm V3,incorrect,accuracy,500pre,source,alpha,-0.116851661649472
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,alpha,-0.0460150458362503
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,-0.116851661649472
sub001,open,visual power,vtpm V3,fast,rt,500pre,source,alpha,-0.163830429783225
sub001,open,visual power,vtpm V3,slow,rt,500pre,source,alpha,-0.0379460118525232
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.0947606782890224
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.136912453058891
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.0927234445738465
