sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.17510038636954
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,-0.0490859556635046
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.841548497269648
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,-0.0490859556635046
sub001,open,visual power,Brodmann area 17,fast,rt,alpha,0.0717170886136416
sub001,open,visual power,Brodmann area 17,slow,rt,alpha,0.298282915331926
sub001,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.194962954086437
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,-0.150617975357947
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.668877325101607
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,-0.150617975357947
sub001,open,visual power,Brodmann area 18,fast,rt,alpha,0.154156638363756
sub001,open,visual power,Brodmann area 18,slow,rt,alpha,0.240636028742257
sub001,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.128861386816492
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.121459107733607
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,1.38342080968382
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.121459107733607
sub001,open,visual power,Brodmann area 19,fast,rt,alpha,0.0849585032872039
sub001,open,visual power,Brodmann area 19,slow,rt,alpha,0.205895124250021
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.346752770913763
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.100721729335241
sub001,open,absolute,Brodmann area 17,correct,accuracy,alpha,2.17653561728256e-05
sub001,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,1.5996964270444e-05
sub001,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,2.89700495032377e-05
