sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.255819280889726
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.376211548041107
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.018784030814379
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.376211548041107
sub001,open,visual power,Brodmann area 17,fast,rt,alpha,0.196802295686513
sub001,open,visual power,Brodmann area 17,slow,rt,alpha,0.319558761150228
sub001,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.216903819721983
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.107064575425552
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,-0.241302541046108
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.107064575425552
sub001,open,visual power,Brodmann area 18,fast,rt,alpha,0.157591212477227
sub001,open,visual power,Brodmann area 18,slow,rt,alpha,0.278284017117218
sub001,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.122434386818416
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.0674809701183991
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,-0.180401456590347
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.0674809701183991
sub001,open,visual power,Brodmann area 19,fast,rt,alpha,0.068597538805815
sub001,open,visual power,Brodmann area 19,slow,rt,alpha,0.194218647212654
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.120076612130542
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.353625921226647
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.100240082790779
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.161446574172038
sub001,open,absolute,Brodmann area 17,correct,accuracy,alpha,2.5203151570835e-05
sub001,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,2.24002802357638e-05
sub001,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,2.05814467914718e-05
sub001,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,2.24002802357638e-05
sub001,open,absolute,Brodmann area 17,fast,rt,alpha,2.37301590550094e-05
sub001,open,absolute,Brodmann area 17,slow,rt,alpha,2.6600917827112e-05
sub001,open,absolute,Brodmann area 18,correct,accuracy,alpha,1.88617103289973e-05
sub001,open,absolute,Brodmann area 18,incorrect,accuracy,alpha,1.44816565732315e-05
sub001,open,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,1.30991493149349e-05
sub001,open,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.44816565732315e-05
sub001,open,absolute,Brodmann area 18,fast,rt,alpha,1.7494405979108e-05
sub001,open,absolute,Brodmann area 18,slow,rt,alpha,2.0182127821827e-05
sub001,open,absolute,Brodmann area 19,correct,accuracy,alpha,6.4644503479146e-06
sub001,open,absolute,Brodmann area 19,incorrect,accuracy,alpha,5.14697152871135e-06
sub001,open,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,5.26278540425116e-06
sub001,open,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,5.14697152871135e-06
sub001,open,absolute,Brodmann area 19,fast,rt,alpha,5.90502775198646e-06
sub001,open,absolute,Brodmann area 19,slow,rt,alpha,7.14833380825354e-06
sub001,closed,visual power,Brodmann area 17,correct,accuracy,alpha,-0.0879830898509721
sub001,closed,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.0940883622587554
sub001,closed,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,-0.135531284690557
sub001,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.0940883622587554
sub001,closed,visual power,Brodmann area 17,fast,rt,alpha,-0.107873435567568
sub001,closed,visual power,Brodmann area 17,slow,rt,alpha,-0.158905601412075
sub001,closed,visual power,Brodmann area 18,correct,accuracy,alpha,-0.00128184731154616
sub001,closed,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.284922615455546
sub001,closed,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.132530171212605
sub001,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.284922615455546
sub001,closed,visual power,Brodmann area 18,fast,rt,alpha,-0.0300593134560837
sub001,closed,visual power,Brodmann area 18,slow,rt,alpha,-0.0298308578688504
sub001,closed,visual power,Brodmann area 19,correct,accuracy,alpha,0.0167661873487473
sub001,closed,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.0937348799328945
sub001,closed,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.586886908079568
sub001,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.0937348799328945
sub001,closed,visual power,Brodmann area 19,fast,rt,alpha,-0.0681018035098807
sub001,closed,visual power,Brodmann area 19,slow,rt,alpha,0.0901990123123806
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.117806249429904
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0436409618335698
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.254683836978434
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0436409618335698
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.0591884151316558
sub001,closed,somato lateralisation index,max,slow,rt,alpha,0.128839358392579
sub001,closed,absolute,Brodmann area 17,correct,accuracy,alpha,4.23910157213385e-05
sub001,closed,absolute,Brodmann area 17,incorrect,accuracy,alpha,4.6789125688972e-05
sub001,closed,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,4.952062137575e-05
sub001,closed,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,4.6789125688972e-05
sub001,closed,absolute,Brodmann area 17,fast,rt,alpha,4.30337747605816e-05
sub001,closed,absolute,Brodmann area 17,slow,rt,alpha,4.04033572291924e-05
sub001,closed,absolute,Brodmann area 18,correct,accuracy,alpha,3.24141808869915e-05
sub001,closed,absolute,Brodmann area 18,incorrect,accuracy,alpha,3.50256222855369e-05
sub001,closed,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,4.0506208379314e-05
sub001,closed,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,3.50256222855369e-05
sub001,closed,absolute,Brodmann area 18,fast,rt,alpha,3.16526168324817e-05
sub001,closed,absolute,Brodmann area 18,slow,rt,alpha,3.220700725388e-05
sub001,closed,absolute,Brodmann area 19,correct,accuracy,alpha,1.19344496053116e-05
sub001,closed,absolute,Brodmann area 19,incorrect,accuracy,alpha,1.08285317073642e-05
sub001,closed,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,1.50223396900789e-05
sub001,closed,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,1.08285317073642e-05
sub001,closed,absolute,Brodmann area 19,fast,rt,alpha,1.0773321517798e-05
sub001,closed,absolute,Brodmann area 19,slow,rt,alpha,1.30184397501513e-05
sub002,open,visual power,Brodmann area 17,correct,accuracy,alpha,-0.084852610562747
sub002,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.252294646001842
sub002,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,-0.359096421229715
sub002,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.252294646001842
sub002,open,visual power,Brodmann area 17,fast,rt,alpha,0.125432191696766
sub002,open,visual power,Brodmann area 17,slow,rt,alpha,-0.239367815016562
sub002,open,visual power,Brodmann area 18,correct,accuracy,alpha,-0.150173815470514
sub002,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.084441113110459
sub002,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,-0.373580188656322
sub002,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.084441113110459
