sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann,correct,accuracy,alpha,0.30290952464888
sub001,open,visual power,Brodmann,incorrect,accuracy,alpha,0.339047274050431
sub001,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.621100127192876
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.339047274050431
sub001,open,visual power,Brodmann,fast,rt,alpha,0.223842193826372
sub001,open,visual power,Brodmann,slow,rt,alpha,0.389261823763031
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.180116609155357
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0854982837532616
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.232935151807862
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0854982837532616
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.167455852077862
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.228855420083453
sub001,open,absolute,Brodmann,correct,accuracy,alpha,1.28830219116193e-05
sub001,open,absolute,Brodmann,incorrect,accuracy,alpha,1.00495539416059e-05
sub001,open,absolute,Brodmann,correct_e,accuracy_e,alpha,1.10487430712595e-05
sub001,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.00495539416059e-05
sub001,open,absolute,Brodmann,fast,rt,alpha,1.17497820910716e-05
sub001,open,absolute,Brodmann,slow,rt,alpha,1.40170443147678e-05
sub001,closed,visual power,Brodmann,correct,accuracy,alpha,-0.052526067233518
sub001,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.183161795703431
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.107393009243861
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.183161795703431
sub001,closed,visual power,Brodmann,fast,rt,alpha,-0.0889907424844963
sub001,closed,visual power,Brodmann,slow,rt,alpha,-0.0952296888419811
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.169370496497747
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0270667560770235
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0434053242084391
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0270667560770235
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.0948487695773951
sub001,closed,somato lateralisation index,max,slow,rt,alpha,0.19767210786247
sub001,closed,absolute,Brodmann,correct,accuracy,alpha,2.49531332335842e-05
sub001,closed,absolute,Brodmann,incorrect,accuracy,alpha,2.6921011056328e-05
sub001,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,2.02836618778525e-05
sub001,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,2.6921011056328e-05
sub001,closed,absolute,Brodmann,fast,rt,alpha,2.45264888659907e-05
sub001,closed,absolute,Brodmann,slow,rt,alpha,2.45828525734449e-05
sub002,open,visual power,Brodmann,correct,accuracy,alpha,-0.183235396371877
sub002,open,visual power,Brodmann,incorrect,accuracy,alpha,0.439060176250603
sub002,open,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.293396110039787
sub002,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.439060176250603
sub002,open,visual power,Brodmann,fast,rt,alpha,0.312017534941852
sub002,open,visual power,Brodmann,slow,rt,alpha,-0.430053471393649
sub002,open,somato lateralisation index,max,correct,accuracy,alpha,0.0839562578346076
sub002,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.0838059381263268
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.110684741343934
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0838059381263268
sub002,open,somato lateralisation index,max,fast,rt,alpha,0.0858854810872596
sub002,open,somato lateralisation index,max,slow,rt,alpha,0.116264427238661
sub002,open,absolute,Brodmann,correct,accuracy,alpha,1.16902359382579e-06
sub002,open,absolute,Brodmann,incorrect,accuracy,alpha,2.11210138222008e-06
sub002,open,absolute,Brodmann,correct_e,accuracy_e,alpha,1.36058674849299e-06
sub002,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,2.11210138222008e-06
