sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann,correct,accuracy,alpha,0.196653388024396
sub001,open,visual power,Brodmann,incorrect,accuracy,alpha,0.233793608152752
sub001,open,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.00914902588264013
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.233793608152752
sub001,open,visual power,Brodmann,fast,rt,alpha,0.0505100740550295
sub001,open,visual power,Brodmann,slow,rt,alpha,0.395259236194486
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0537218774706446
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.100721729335241
sub001,open,absolute,Brodmann,correct,accuracy,alpha,1.48788055838437e-05
sub001,open,absolute,Brodmann,incorrect,accuracy,alpha,1.11744845891174e-05
sub001,open,absolute,Brodmann,correct_e,accuracy_e,alpha,1.27926828076489e-05
sub001,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.11744845891174e-05
sub001,open,absolute,Brodmann,fast,rt,alpha,1.40888124129196e-05
sub001,open,absolute,Brodmann,slow,rt,alpha,1.56667308309592e-05
sub001,closed,visual power,Brodmann,correct,accuracy,alpha,-0.163076257813237
sub001,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.0140593952485034
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.30907973488807
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.0140593952485034
sub001,closed,visual power,Brodmann,fast,rt,alpha,-0.161336705130912
sub001,closed,visual power,Brodmann,slow,rt,alpha,-0.191289412897907
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,-0.00524036641742466
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0102658626931263
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.106760456729181
