sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann,correct,accuracy,alpha,0.25236917474548
sub001,open,visual power,Brodmann,incorrect,accuracy,alpha,-0.111174023471893
sub001,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.813476932477178
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,-0.111174023471893
sub001,open,visual power,Brodmann,fast,rt,alpha,0.0715513575500327
sub001,open,visual power,Brodmann,slow,rt,alpha,0.481770901661338
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.138219027603334
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.246751047150553
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.177497657508075
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.246751047150553
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.210940672331861
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.134010603073669
sub001,open,absolute,Brodmann,correct,accuracy,alpha,7.33019963543926e-06
sub001,open,absolute,Brodmann,incorrect,accuracy,alpha,4.20708909989877e-06
sub001,open,absolute,Brodmann,correct_e,accuracy_e,alpha,7.62964701792225e-06
sub001,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,4.20708909989877e-06
sub001,open,absolute,Brodmann,fast,rt,alpha,7.10189867218676e-06
sub001,open,absolute,Brodmann,slow,rt,alpha,7.57234027911348e-06
sub001,closed,visual power,Brodmann,correct,accuracy,alpha,-0.186863803892825
sub001,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.0197880714076823
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.0275772611832303
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.0197880714076823
sub001,closed,visual power,Brodmann,fast,rt,alpha,-0.184959119737301
sub001,closed,visual power,Brodmann,slow,rt,alpha,-0.217794694786477
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,-0.00689403149778039
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.019225177730046
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.191305368264438
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.019225177730046
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.148462857942808
sub001,closed,somato lateralisation index,max,slow,rt,alpha,-0.171398451875654
sub001,closed,absolute,Brodmann,correct,accuracy,alpha,1.9009568333143e-05
sub001,closed,absolute,Brodmann,incorrect,accuracy,alpha,2.22735926731194e-05
sub001,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,2.23052872304057e-05
sub001,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,2.22735926731194e-05
sub001,closed,absolute,Brodmann,fast,rt,alpha,1.8956469446386e-05
sub001,closed,absolute,Brodmann,slow,rt,alpha,1.96134947508392e-05
sub002,open,visual power,Brodmann,correct,accuracy,alpha,-0.266838559793275
sub002,open,visual power,Brodmann,incorrect,accuracy,alpha,0.9419070211777
