sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann,correct,accuracy,alpha,0.371794267196443
sub001,open,visual power,Brodmann,incorrect,accuracy,alpha,0.288988760723092
sub001,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.493687845997714
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.288988760723092
sub001,open,visual power,Brodmann,fast,rt,alpha,0.231325572268439
sub001,open,visual power,Brodmann,slow,rt,alpha,0.540399298774932
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.120076612130542
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.0588516612453713
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.100240082790779
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.161446574172038
sub001,open,absolute,Brodmann,correct,accuracy,alpha,1.68431040825823e-05
sub001,open,absolute,Brodmann,incorrect,accuracy,alpha,1.40096361125689e-05
sub001,open,absolute,Brodmann,correct_e,accuracy_e,alpha,1.96071679273393e-05
sub001,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.40096361125689e-05
sub001,open,absolute,Brodmann,fast,rt,alpha,1.57098642620346e-05
sub001,open,absolute,Brodmann,slow,rt,alpha,1.79771264857308e-05
sub001,closed,visual power,Brodmann,correct,accuracy,alpha,0.0620529029322383
sub001,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.202197677097554
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.0520428765804107
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.202197677097554
sub001,closed,visual power,Brodmann,fast,rt,alpha,0.0510054960243731
sub001,closed,visual power,Brodmann,slow,rt,alpha,-0.0130525352865508
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.117806249429905
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.04364096183357
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0382558509873377
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.04364096183357
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.0591884151316558
sub001,closed,somato lateralisation index,max,slow,rt,alpha,0.128839358392579
sub001,closed,absolute,Brodmann,correct,accuracy,alpha,2.89132154045472e-05
sub001,closed,absolute,Brodmann,incorrect,accuracy,alpha,3.0881093227291e-05
sub001,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,3.11750120231694e-05
sub001,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,3.0881093227291e-05
sub001,closed,absolute,Brodmann,fast,rt,alpha,2.84865710369538e-05
sub001,closed,absolute,Brodmann,slow,rt,alpha,2.85429347444079e-05
sub002,open,visual power,Brodmann,correct,accuracy,alpha,-0.0704853504644322
sub002,open,visual power,Brodmann,incorrect,accuracy,alpha,0.261700772712996
sub002,open,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.203153799578629
sub002,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.261700772712996
sub002,open,visual power,Brodmann,fast,rt,alpha,-0.000771855323296751
sub002,open,visual power,Brodmann,slow,rt,alpha,-0.150315592067877
sub002,open,somato lateralisation index,max,correct,accuracy,alpha,0.0539344242011481
sub002,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.0549630025867609
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.10058590657535
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0549630025867609
sub002,open,somato lateralisation index,max,fast,rt,alpha,0.0580672764650188
sub002,open,somato lateralisation index,max,slow,rt,alpha,0.0666371742565805
sub002,open,absolute,Brodmann,correct,accuracy,alpha,3.32905961051024e-06
sub002,open,absolute,Brodmann,incorrect,accuracy,alpha,4.27213739890453e-06
sub002,open,absolute,Brodmann,correct_e,accuracy_e,alpha,2.84601520026375e-06
sub002,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,4.27213739890453e-06
sub002,open,absolute,Brodmann,fast,rt,alpha,3.44387063962879e-06
sub002,open,absolute,Brodmann,slow,rt,alpha,3.20462665003333e-06
sub002,closed,visual power,Brodmann,correct,accuracy,alpha,0.32093974738935
sub002,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.524683878944642
sub002,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.314330904602548
sub002,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.524683878944642
sub002,closed,visual power,Brodmann,fast,rt,alpha,0.349315052757356
sub002,closed,visual power,Brodmann,slow,rt,alpha,0.340531218836085
sub002,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0404768353003236
sub002,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0620605213002067
sub002,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0770037328942167
sub002,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0620605213002067
sub002,closed,somato lateralisation index,max,fast,rt,alpha,0.102089749798864
sub002,closed,somato lateralisation index,max,slow,rt,alpha,0.0108113875842168
sub002,closed,absolute,Brodmann,correct,accuracy,alpha,1.33442413471167e-05
sub002,closed,absolute,Brodmann,incorrect,accuracy,alpha,1.39510410264969e-05
sub002,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,1.32415193355581e-05
sub002,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.39510410264969e-05
sub002,closed,absolute,Brodmann,fast,rt,alpha,1.24790942465643e-05
sub002,closed,absolute,Brodmann,slow,rt,alpha,1.43876460466083e-05
sub003,open,visual power,Brodmann,correct,accuracy,alpha,0.165210684147731
sub003,open,visual power,Brodmann,incorrect,accuracy,alpha,0.393315610479079
sub003,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.0580941067705971
sub003,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.393315610479079
sub003,open,visual power,Brodmann,fast,rt,alpha,0.179514163877973
sub003,open,visual power,Brodmann,slow,rt,alpha,0.135326085161596
sub003,open,somato lateralisation index,max,correct,accuracy,alpha,0.141865525461847
sub003,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0521947947858897
sub003,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.00880339879929349
sub003,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0521947947858897
sub003,open,somato lateralisation index,max,fast,rt,alpha,0.0984931924300619
sub003,open,somato lateralisation index,max,slow,rt,alpha,0.177787484658433
sub003,open,absolute,Brodmann,correct,accuracy,alpha,4.7355325146395e-06
sub003,open,absolute,Brodmann,incorrect,accuracy,alpha,4.87690323208869e-06
sub003,open,absolute,Brodmann,correct_e,accuracy_e,alpha,4.61476480027878e-06
sub003,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,4.87690323208869e-06
sub003,open,absolute,Brodmann,fast,rt,alpha,4.97806917001998e-06
sub003,open,absolute,Brodmann,slow,rt,alpha,4.39231948415636e-06
sub003,closed,visual power,Brodmann,correct,accuracy,alpha,0.294131685350493
sub003,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.126027675769822
sub003,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.209033064064568
sub003,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.126027675769822
sub003,closed,visual power,Brodmann,fast,rt,alpha,0.268720114061227
sub003,closed,visual power,Brodmann,slow,rt,alpha,0.31921119268814
sub003,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0435389347935473
sub003,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.168125903703046
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.12725610762798
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.168125903703046
sub003,closed,somato lateralisation index,max,fast,rt,alpha,-0.0656813359381099
sub003,closed,somato lateralisation index,max,slow,rt,alpha,0.140156943959296
sub003,closed,absolute,Brodmann,correct,accuracy,alpha,9.55293769094437e-06
sub003,closed,absolute,Brodmann,incorrect,accuracy,alpha,9.76288358264192e-06
sub003,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,9.21508253251134e-06
sub003,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,9.76288358264192e-06
sub003,closed,absolute,Brodmann,fast,rt,alpha,9.9051415898024e-06
sub003,closed,absolute,Brodmann,slow,rt,alpha,9.21702013954005e-06
sub004,open,visual power,Brodmann,correct,accuracy,alpha,0.399950873886536
sub004,open,visual power,Brodmann,incorrect,accuracy,alpha,0.44000237081272
sub004,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.787397249845086
sub004,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.44000237081272
sub004,open,visual power,Brodmann,fast,rt,alpha,0.495694879960937
sub004,open,visual power,Brodmann,slow,rt,alpha,0.362632865794631
sub004,open,somato lateralisation index,max,correct,accuracy,alpha,0.143189930969235
sub004,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.182520551368416
sub004,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.200407765978071
sub004,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.182520551368416
sub004,open,somato lateralisation index,max,fast,rt,alpha,0.331338585289031
sub004,open,somato lateralisation index,max,slow,rt,alpha,-0.0155921426227835
sub004,open,absolute,Brodmann,correct,accuracy,alpha,4.00333715757684e-06
sub004,open,absolute,Brodmann,incorrect,accuracy,alpha,3.51636328053842e-06
sub004,open,absolute,Brodmann,correct_e,accuracy_e,alpha,5.15822738325634e-06
sub004,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,3.51636328053842e-06
sub004,open,absolute,Brodmann,fast,rt,alpha,4.18198564388215e-06
sub004,open,absolute,Brodmann,slow,rt,alpha,3.98002211083322e-06
sub004,closed,visual power,Brodmann,correct,accuracy,alpha,0.450608942305728
sub004,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.195136609399314
sub004,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.753604467040501
sub004,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.195136609399314
sub004,closed,visual power,Brodmann,fast,rt,alpha,0.479972279276607
sub004,closed,visual power,Brodmann,slow,rt,alpha,0.446816603662545
sub004,closed,somato lateralisation index,max,correct,accuracy,alpha,0.114918406548811
sub004,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.280458909815364
sub004,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.187965432043856
sub004,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.280458909815364
sub004,closed,somato lateralisation index,max,fast,rt,alpha,0.0733625826193518
sub004,closed,somato lateralisation index,max,slow,rt,alpha,0.135986748556443
sub004,closed,absolute,Brodmann,correct,accuracy,alpha,9.59134642344512e-06
sub004,closed,absolute,Brodmann,incorrect,accuracy,alpha,9.37356673549638e-06
sub004,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,9.53121631124531e-06
sub004,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,9.37356673549638e-06
sub004,closed,absolute,Brodmann,fast,rt,alpha,9.09055446956073e-06
sub004,closed,absolute,Brodmann,slow,rt,alpha,1.00938606198909e-05
sub005,open,visual power,Brodmann,correct,accuracy,alpha,0.35205984167126
sub005,open,visual power,Brodmann,incorrect,accuracy,alpha,0.180100560997933
sub005,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.244544538527843
sub005,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.180100560997933
sub005,open,visual power,Brodmann,fast,rt,alpha,0.393298277813948
sub005,open,visual power,Brodmann,slow,rt,alpha,0.344493929981767
sub005,open,somato lateralisation index,max,correct,accuracy,alpha,-0.00971496159396781
sub005,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.108557836328683
sub005,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.098707956154226
sub005,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.108557836328683
sub005,open,somato lateralisation index,max,fast,rt,alpha,0.0629890577643024
sub005,open,somato lateralisation index,max,slow,rt,alpha,-0.105979973072871
sub005,open,absolute,Brodmann,correct,accuracy,alpha,3.26617156529883e-06
sub005,open,absolute,Brodmann,incorrect,accuracy,alpha,2.90721765383655e-06
sub005,open,absolute,Brodmann,correct_e,accuracy_e,alpha,3.13335633102906e-06
sub005,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,2.90721765383655e-06
sub005,open,absolute,Brodmann,fast,rt,alpha,3.47721220124121e-06
sub005,open,absolute,Brodmann,slow,rt,alpha,3.15396472253034e-06
sub005,closed,visual power,Brodmann,correct,accuracy,alpha,-0.177186634514614
sub005,closed,visual power,Brodmann,incorrect,accuracy,alpha,-0.122459262834999
sub005,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.190292344486285
sub005,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,-0.122459262834999
sub005,closed,visual power,Brodmann,fast,rt,alpha,-0.135172602544867
sub005,closed,visual power,Brodmann,slow,rt,alpha,-0.222171847025539
sub005,closed,somato lateralisation index,max,correct,accuracy,alpha,-0.0470968334126026
sub005,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0965843682279527
sub005,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.0298029246222335
sub005,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0965843682279527
sub005,closed,somato lateralisation index,max,fast,rt,alpha,0.00885444148809523
sub005,closed,somato lateralisation index,max,slow,rt,alpha,-0.113990701303727
sub005,closed,absolute,Brodmann,correct,accuracy,alpha,9.10085119367899e-06
sub005,closed,absolute,Brodmann,incorrect,accuracy,alpha,8.60581658688012e-06
sub005,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,9.48245841510179e-06
sub005,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,8.60581658688012e-06
sub005,closed,absolute,Brodmann,fast,rt,alpha,9.62023197455912e-06
sub005,closed,absolute,Brodmann,slow,rt,alpha,8.55546042601006e-06
sub006,open,visual power,Brodmann,correct,accuracy,alpha,0.430138379835792
sub006,open,visual power,Brodmann,incorrect,accuracy,alpha,0.622243185187425
sub006,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.465483192959926
sub006,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.622243185187425
sub006,open,visual power,Brodmann,fast,rt,alpha,0.368769602029313
sub006,open,visual power,Brodmann,slow,rt,alpha,0.552581050286372
sub006,open,somato lateralisation index,max,correct,accuracy,alpha,0.089574934091494
sub006,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.14510511114162
