sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.528771703666437
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.608706557244232
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.969986483883677
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.608706557244232
sub001,open,visual power,Brodmann area 17,fast,rt,alpha,0.264850756381383
sub001,open,visual power,Brodmann area 17,slow,rt,alpha,0.84975893434179
sub001,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.563635172868399
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.335941386349672
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.704990236709721
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.335941386349672
sub001,open,visual power,Brodmann area 18,fast,rt,alpha,0.403361210567016
sub001,open,visual power,Brodmann area 18,slow,rt,alpha,0.770133278291415
sub001,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.414288878443952
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.0260670215113881
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.656914821359515
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.0260670215113881
sub001,open,visual power,Brodmann area 19,fast,rt,alpha,0.313063266232659
sub001,open,visual power,Brodmann area 19,slow,rt,alpha,0.632960130414989
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.180116609155357
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0854982837532616
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.067307496123547
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0854982837532616
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.167455852077862
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.228855420083453
sub001,open,absolute,Brodmann area 17,correct,accuracy,alpha,1.98972659504017e-05
