sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,v1,correct,accuracy,500pre,source,alpha,0.150164428122194
sub001,open,visual power,v1,incorrect,accuracy,500pre,source,alpha,0.346345177270554
sub001,open,visual power,v1,correct_e,accuracy_e,500pre,source,alpha,0.370980889087806
sub001,open,visual power,v1,incorrect_e,accuracy_e,500pre,source,alpha,0.346345177270554
sub001,open,visual power,v1,fast,rt,500pre,source,alpha,0.298947784370379
sub001,open,visual power,v1,slow,rt,500pre,source,alpha,0.103950310933811
sub001,open,visual power,v2,correct,accuracy,500pre,source,alpha,0.298683402259587
sub001,open,visual power,v2,incorrect,accuracy,500pre,source,alpha,-0.261699292955518
sub001,open,visual power,v2,correct_e,accuracy_e,500pre,source,alpha,-0.222050300125579
sub001,open,visual power,v2,incorrect_e,accuracy_e,500pre,source,alpha,-0.261699292955518
sub001,open,visual power,v2,fast,rt,500pre,source,alpha,0.288964262300157
sub001,open,visual power,v2,slow,rt,500pre,source,alpha,0.286805191249725
sub001,open,visual power,v3,correct,accuracy,500pre,source,alpha,0.152485843092836
sub001,open,visual power,v3,incorrect,accuracy,500pre,source,alpha,-0.00180081717442431
sub001,open,visual power,v3,correct_e,accuracy_e,500pre,source,alpha,-0.35309396420875
sub001,open,visual power,v3,incorrect_e,accuracy_e,500pre,source,alpha,-0.00180081717442431
sub001,open,visual power,v3,fast,rt,500pre,source,alpha,0.191983725562948
sub001,open,visual power,v3,slow,rt,500pre,source,alpha,0.179228839778106
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.193258589717135
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.100721729335241
sub001,open,somatovisual balance,max-v1,correct,accuracy,500pre,source,alpha,-0.946351656024311
sub001,open,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,alpha,-0.959492043862895
sub001,open,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,alpha,-0.916337425165633
sub001,open,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,alpha,-0.959492043862895
