sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,v1,correct,accuracy,500pre,source,alpha,0.135789726718985
sub001,open,visual power,v1,incorrect,accuracy,500pre,source,alpha,0.310788843784623
sub001,open,visual power,v1,correct_e,accuracy_e,500pre,source,alpha,0.0307214243704062
sub001,open,visual power,v1,incorrect_e,accuracy_e,500pre,source,alpha,0.310788843784623
sub001,open,visual power,v1,fast,rt,500pre,source,alpha,0.272876486715286
sub001,open,visual power,v1,slow,rt,500pre,source,alpha,0.0980669520925707
sub001,open,visual power,v2,correct,accuracy,500pre,source,alpha,0.280021660554638
sub001,open,visual power,v2,incorrect,accuracy,500pre,source,alpha,-0.218716486747639
sub001,open,visual power,v2,correct_e,accuracy_e,500pre,source,alpha,-0.347977720855947
sub001,open,visual power,v2,incorrect_e,accuracy_e,500pre,source,alpha,-0.218716486747639
sub001,open,visual power,v2,fast,rt,500pre,source,alpha,0.290885692921768
sub001,open,visual power,v2,slow,rt,500pre,source,alpha,0.254902442796098
sub001,open,visual power,v3,correct,accuracy,500pre,source,alpha,0.158048354712281
sub001,open,visual power,v3,incorrect,accuracy,500pre,source,alpha,0.0317682606101272
sub001,open,visual power,v3,correct_e,accuracy_e,500pre,source,alpha,0.466637561002835
sub001,open,visual power,v3,incorrect_e,accuracy_e,500pre,source,alpha,0.0317682606101272
sub001,open,visual power,v3,fast,rt,500pre,source,alpha,0.226506580700783
sub001,open,visual power,v3,slow,rt,500pre,source,alpha,0.151773510516251
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.08579645991685
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.153154807631702
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.197269513800801
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.153154807631702
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.11325624449063
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.101726802100344
sub001,open,somatovisual balance,max-v1,correct,accuracy,500pre,source,alpha,-0.949538990919121
sub001,open,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,alpha,-0.961448412386633
