sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 41,stim500pre,accuracy,correct,0.0777330672666827
sub001,open,Brodmann area 41,stim500pre,accuracy,incorrect,0.389941251366135
sub001,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.121071185010095
sub001,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.389941251366135
sub001,open,Brodmann area 41,stim500pre,rt,fast,0.179174544925427
sub001,open,Brodmann area 41,stim500pre,rt,slow,-0.0119947376348654
sub001,open,Brodmann area 42,stim500pre,accuracy,correct,-0.0303167751498503
sub001,open,Brodmann area 42,stim500pre,accuracy,incorrect,0.428837262408563
sub001,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.18571627277144
sub001,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.428837262408563
sub001,open,Brodmann area 42,stim500pre,rt,fast,0.121865094971154
sub001,open,Brodmann area 42,stim500pre,rt,slow,-0.156103433556026
sub001,open,Brodmann area 22,stim500pre,accuracy,correct,0.132138898877871
sub001,open,Brodmann area 22,stim500pre,accuracy,incorrect,0.242208657268351
sub001,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.470632606040597
sub001,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.242208657268351
sub001,open,Brodmann area 22,stim500pre,rt,fast,0.203482710559834
sub001,open,Brodmann area 22,stim500pre,rt,slow,0.0547671326445472
sub001,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.224821223890909
sub001,closed,Brodmann area 41,stim500pre,accuracy,incorrect,0.735933014653667
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.0286642128562462
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.735933014653667
sub001,closed,Brodmann area 41,stim500pre,rt,fast,-0.102047503378766
sub001,closed,Brodmann area 41,stim500pre,rt,slow,-0.36189986393559
sub001,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.289711185027014
sub001,closed,Brodmann area 42,stim500pre,accuracy,incorrect,0.450237784575339
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.057027468264938
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.450237784575339
sub001,closed,Brodmann area 42,stim500pre,rt,fast,-0.132964824120089
sub001,closed,Brodmann area 42,stim500pre,rt,slow,-0.430360656099765
sub001,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.31147940944722
sub001,closed,Brodmann area 22,stim500pre,accuracy,incorrect,0.478453812982778
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.105242476720488
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.478453812982778
sub001,closed,Brodmann area 22,stim500pre,rt,fast,-0.221471285090033
sub001,closed,Brodmann area 22,stim500pre,rt,slow,-0.394107073032243
sub002,open,Brodmann area 41,stim500pre,accuracy,correct,-0.41603326346148
sub002,open,Brodmann area 41,stim500pre,accuracy,incorrect,-0.0978643672145488
sub002,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.434837123616706
sub002,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.0978643672145488
sub002,open,Brodmann area 41,stim500pre,rt,fast,-0.506088111666381
sub002,open,Brodmann area 41,stim500pre,rt,slow,-0.301393225748915
sub002,open,Brodmann area 42,stim500pre,accuracy,correct,-0.51641141649042
sub002,open,Brodmann area 42,stim500pre,accuracy,incorrect,-0.376736633124592
sub002,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.594471731783513
sub002,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.376736633124592
sub002,open,Brodmann area 42,stim500pre,rt,fast,-0.601753010985042
sub002,open,Brodmann area 42,stim500pre,rt,slow,-0.387369532633271
sub002,open,Brodmann area 22,stim500pre,accuracy,correct,-0.429543065069897
sub002,open,Brodmann area 22,stim500pre,accuracy,incorrect,-0.0312546895817299
sub002,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.559892918013669
sub002,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.0312546895817299
sub002,open,Brodmann area 22,stim500pre,rt,fast,-0.519896751338367
sub002,open,Brodmann area 22,stim500pre,rt,slow,-0.309461470586534
sub002,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.0784648882481419
sub002,closed,Brodmann area 41,stim500pre,accuracy,incorrect,0.0412486824805338
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.109760545491434
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.0412486824805338
sub002,closed,Brodmann area 41,stim500pre,rt,fast,-0.00696755259049254
sub002,closed,Brodmann area 41,stim500pre,rt,slow,-0.120789613661059
sub002,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.411652118601513
sub002,closed,Brodmann area 42,stim500pre,accuracy,incorrect,-0.274965287759849
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.460022408593297
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.274965287759849
sub002,closed,Brodmann area 42,stim500pre,rt,fast,-0.457142460521828
sub002,closed,Brodmann area 42,stim500pre,rt,slow,-0.352125776157181
sub002,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.152478183760922
sub002,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.180230436677925
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.284627459684074
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.180230436677925
sub002,closed,Brodmann area 22,stim500pre,rt,fast,-0.277787443956771
sub002,closed,Brodmann area 22,stim500pre,rt,slow,-0.00770046692334765
sub003,open,Brodmann area 41,stim500pre,accuracy,correct,0.0926388292589782
sub003,open,Brodmann area 41,stim500pre,accuracy,incorrect,0.250064127854904
sub003,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.250478806965884
sub003,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.250064127854904
sub003,open,Brodmann area 41,stim500pre,rt,fast,0.055946190858715
sub003,open,Brodmann area 41,stim500pre,rt,slow,0.145635934820082
sub003,open,Brodmann area 42,stim500pre,accuracy,correct,0.119722756338675
sub003,open,Brodmann area 42,stim500pre,accuracy,incorrect,0.237338219927156
sub003,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,0.154418652743761
sub003,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.237338219927156
sub003,open,Brodmann area 42,stim500pre,rt,fast,0.0500935258861969
sub003,open,Brodmann area 42,stim500pre,rt,slow,0.21931799842196
sub003,open,Brodmann area 22,stim500pre,accuracy,correct,0.0783797895078411
sub003,open,Brodmann area 22,stim500pre,accuracy,incorrect,0.570167378485576
sub003,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.125990584755018
sub003,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.570167378485576
sub003,open,Brodmann area 22,stim500pre,rt,fast,-0.0148938527448135
sub003,open,Brodmann area 22,stim500pre,rt,slow,0.213576785814277
sub003,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.0354999025817777
sub003,closed,Brodmann area 41,stim500pre,accuracy,incorrect,-0.308858496718161
sub003,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.0229099501465559
sub003,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.308858496718161
sub003,closed,Brodmann area 41,stim500pre,rt,fast,0.0143525640107863
sub003,closed,Brodmann area 41,stim500pre,rt,slow,-0.0938709238477194
sub003,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.065128108766091
sub003,closed,Brodmann area 42,stim500pre,accuracy,incorrect,-0.24721071496268
sub003,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,0.00292216869411461
sub003,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.24721071496268
sub003,closed,Brodmann area 42,stim500pre,rt,fast,-0.0972379579908551
sub003,closed,Brodmann area 42,stim500pre,rt,slow,-0.0413800007157196
sub003,closed,Brodmann area 22,stim500pre,accuracy,correct,0.0387179217696553
sub003,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.124861018298951
sub003,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.0288259153675665
