sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 41,stim500pre,accuracy,correct,0.0325306332408662
sub001,open,Brodmann area 41,stim500pre,accuracy,incorrect,-0.305026551814254
sub001,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.815967250525502
sub001,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.305026551814254
sub001,open,Brodmann area 41,stim500pre,rt,fast,-0.0211702256371399
sub001,open,Brodmann area 41,stim500pre,rt,slow,0.0872250831077131
sub001,open,Brodmann area 42,stim500pre,accuracy,correct,-0.0279298753609861
sub001,open,Brodmann area 42,stim500pre,accuracy,incorrect,-0.325992988112136
sub001,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,0.68922660380404
sub001,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.325992988112136
sub001,open,Brodmann area 42,stim500pre,rt,fast,0.0956657179311796
sub001,open,Brodmann area 42,stim500pre,rt,slow,-0.128874596317246
sub001,open,Brodmann area 22,stim500pre,accuracy,correct,-0.129335822216166
sub001,open,Brodmann area 22,stim500pre,accuracy,incorrect,0.24762395377099
sub001,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.303329970407935
sub001,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.24762395377099
sub001,open,Brodmann area 22,stim500pre,rt,fast,0.0625811784308679
sub001,open,Brodmann area 22,stim500pre,rt,slow,-0.264644096469249
sub001,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.205569184239338
sub001,closed,Brodmann area 41,stim500pre,accuracy,incorrect,-0.12372078555729
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.507820087732907
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.12372078555729
sub001,closed,Brodmann area 41,stim500pre,rt,fast,-0.0126915324060018
sub001,closed,Brodmann area 41,stim500pre,rt,slow,-0.377870051387908
sub001,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.210388607596049
sub001,closed,Brodmann area 42,stim500pre,accuracy,incorrect,-0.219789226485749
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.361498355632787
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.219789226485749
sub001,closed,Brodmann area 42,stim500pre,rt,fast,0.00341057319323787
sub001,closed,Brodmann area 42,stim500pre,rt,slow,-0.40008213198493
sub001,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.173246381869402
sub001,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.156270642394661
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.529638046737103
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.156270642394661
sub001,closed,Brodmann area 22,stim500pre,rt,fast,0.00632522079680322
sub001,closed,Brodmann area 22,stim500pre,rt,slow,-0.314033094507252
sub002,open,Brodmann area 41,stim500pre,accuracy,correct,-0.344367473553988
sub002,open,Brodmann area 41,stim500pre,accuracy,incorrect,-0.321553457008305
sub002,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.546938663688273
sub002,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.321553457008305
sub002,open,Brodmann area 41,stim500pre,rt,fast,-0.430170601463553
sub002,open,Brodmann area 41,stim500pre,rt,slow,-0.214796723942326
sub002,open,Brodmann area 42,stim500pre,accuracy,correct,-0.498136730875736
sub002,open,Brodmann area 42,stim500pre,accuracy,incorrect,-0.261736510334445
sub002,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.698498015438349
sub002,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.261736510334445
sub002,open,Brodmann area 42,stim500pre,rt,fast,-0.527991559085139
sub002,open,Brodmann area 42,stim500pre,rt,slow,-0.449888751909522
sub002,open,Brodmann area 22,stim500pre,accuracy,correct,-0.396294578860757
sub002,open,Brodmann area 22,stim500pre,accuracy,incorrect,-0.167806571972555
sub002,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.355579229032905
sub002,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.167806571972555
sub002,open,Brodmann area 22,stim500pre,rt,fast,-0.516908145278038
sub002,open,Brodmann area 22,stim500pre,rt,slow,-0.22706834022494
sub002,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.351092428617531
sub002,closed,Brodmann area 41,stim500pre,accuracy,incorrect,-0.457592389791828
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.406134141850994
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.457592389791828
sub002,closed,Brodmann area 41,stim500pre,rt,fast,-0.309992875576358
sub002,closed,Brodmann area 41,stim500pre,rt,slow,-0.378762155150699
sub002,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.454137181724745
sub002,closed,Brodmann area 42,stim500pre,accuracy,incorrect,-0.375078710328856
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.538359273325644
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.375078710328856
sub002,closed,Brodmann area 42,stim500pre,rt,fast,-0.384063504952975
sub002,closed,Brodmann area 42,stim500pre,rt,slow,-0.50596167672409
sub002,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.279681715733354
sub002,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.308447218047382
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.354146118158511
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.308447218047382
sub002,closed,Brodmann area 22,stim500pre,rt,fast,-0.136848443008007
sub002,closed,Brodmann area 22,stim500pre,rt,slow,-0.377596578235496
sub003,open,Brodmann area 41,stim500pre,accuracy,correct,-0.0141105661445353
sub003,open,Brodmann area 41,stim500pre,accuracy,incorrect,-0.0721641856147246
sub003,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.0116287964911582
sub003,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.0721641856147246
sub003,open,Brodmann area 41,stim500pre,rt,fast,0.104115025445965
sub003,open,Brodmann area 41,stim500pre,rt,slow,-0.120063020279932
sub003,open,Brodmann area 42,stim500pre,accuracy,correct,-0.0507067943344072
sub003,open,Brodmann area 42,stim500pre,accuracy,incorrect,-0.245811218239121
