sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 41,stim500pre,accuracy,correct,0.0793267150730466
sub001,open,Brodmann area 41,stim500pre,accuracy,incorrect,0.387002636104852
sub001,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.27943234641557
sub001,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.387002636104852
sub001,open,Brodmann area 41,stim500pre,rt,fast,0.179582127893327
sub001,open,Brodmann area 41,stim500pre,rt,slow,-0.00934695979169056
sub001,open,Brodmann area 42,stim500pre,accuracy,correct,-0.0287475705584158
sub001,open,Brodmann area 42,stim500pre,accuracy,incorrect,0.429780555790766
sub001,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,0.150900463971012
sub001,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.429780555790766
sub001,open,Brodmann area 42,stim500pre,rt,fast,0.12302517572137
sub001,open,Brodmann area 42,stim500pre,rt,slow,-0.154102655690805
sub001,open,Brodmann area 22,stim500pre,accuracy,correct,0.132743905206348
sub001,open,Brodmann area 22,stim500pre,accuracy,incorrect,0.243558037041844
sub001,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.124568323891767
sub001,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.243558037041844
sub001,open,Brodmann area 22,stim500pre,rt,fast,0.203220382902021
sub001,open,Brodmann area 22,stim500pre,rt,slow,0.056297279200969
sub001,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.223127425009547
sub001,closed,Brodmann area 41,stim500pre,accuracy,incorrect,0.749996870377573
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.162153643307115
sub001,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.749996870377573
sub001,closed,Brodmann area 41,stim500pre,rt,fast,-0.100486853476423
sub001,closed,Brodmann area 41,stim500pre,rt,slow,-0.360353220396767
sub001,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.2886730643018
sub001,closed,Brodmann area 42,stim500pre,accuracy,incorrect,0.459410101851096
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.0587683171119815
sub001,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.459410101851096
sub001,closed,Brodmann area 42,stim500pre,rt,fast,-0.132697397624007
sub001,closed,Brodmann area 42,stim500pre,rt,slow,-0.428855035380692
sub001,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.310776089780202
sub001,closed,Brodmann area 22,stim500pre,accuracy,incorrect,0.483467552995655
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.0969907847304351
sub001,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.483467552995655
sub001,closed,Brodmann area 22,stim500pre,rt,fast,-0.22099167881518
sub001,closed,Brodmann area 22,stim500pre,rt,slow,-0.393361453196716
sub001,open,Brodmann area 41,stim1000pre,accuracy,correct,0.284530909279173
sub001,open,Brodmann area 41,stim1000pre,accuracy,incorrect,0.405602039354168
sub001,open,Brodmann area 41,stim1000pre,accuracy_e,correct_e,0.124651945014355
sub001,open,Brodmann area 41,stim1000pre,accuracy_e,incorrect_e,0.405602039354168
sub001,open,Brodmann area 41,stim1000pre,rt,fast,0.422925013940768
sub001,open,Brodmann area 41,stim1000pre,rt,slow,0.169649592727557
sub001,open,Brodmann area 42,stim1000pre,accuracy,correct,0.110495516210796
sub001,open,Brodmann area 42,stim1000pre,accuracy,incorrect,0.673955079505946
sub001,open,Brodmann area 42,stim1000pre,accuracy_e,correct_e,-0.0785695699925838
sub001,open,Brodmann area 42,stim1000pre,accuracy_e,incorrect_e,0.673955079505946
sub001,open,Brodmann area 42,stim1000pre,rt,fast,0.315523373717163
sub001,open,Brodmann area 42,stim1000pre,rt,slow,-0.052628590305348
sub001,open,Brodmann area 22,stim1000pre,accuracy,correct,0.315110505888938
sub001,open,Brodmann area 22,stim1000pre,accuracy,incorrect,0.792091943644507
sub001,open,Brodmann area 22,stim1000pre,accuracy_e,correct_e,-0.210877177249815
sub001,open,Brodmann area 22,stim1000pre,accuracy_e,incorrect_e,0.792091943644507
sub001,open,Brodmann area 22,stim1000pre,rt,fast,0.368626193425352
sub001,open,Brodmann area 22,stim1000pre,rt,slow,0.262976955692988
sub001,closed,Brodmann area 41,stim1000pre,accuracy,correct,-0.0588091941900534
sub001,closed,Brodmann area 41,stim1000pre,accuracy,incorrect,0.95863940303563
sub001,closed,Brodmann area 41,stim1000pre,accuracy_e,correct_e,0.0171601354582745
sub001,closed,Brodmann area 41,stim1000pre,accuracy_e,incorrect_e,0.95863940303563
sub001,closed,Brodmann area 41,stim1000pre,rt,fast,-0.0562334401414197
sub001,closed,Brodmann area 41,stim1000pre,rt,slow,-0.0734028540390315
sub001,closed,Brodmann area 42,stim1000pre,accuracy,correct,-0.149328887911434
sub001,closed,Brodmann area 42,stim1000pre,accuracy,incorrect,0.909593081295068
sub001,closed,Brodmann area 42,stim1000pre,accuracy_e,correct_e,-0.0537391982747914
sub001,closed,Brodmann area 42,stim1000pre,accuracy_e,incorrect_e,0.909593081295068
sub001,closed,Brodmann area 42,stim1000pre,rt,fast,-0.0642386956455134
sub001,closed,Brodmann area 42,stim1000pre,rt,slow,-0.220576465308388
sub001,closed,Brodmann area 22,stim1000pre,accuracy,correct,-0.175274340266379
sub001,closed,Brodmann area 22,stim1000pre,accuracy,incorrect,1.15806349763658
sub001,closed,Brodmann area 22,stim1000pre,accuracy_e,correct_e,-0.332649231409176
sub001,closed,Brodmann area 22,stim1000pre,accuracy_e,incorrect_e,1.15806349763658
sub001,closed,Brodmann area 22,stim1000pre,rt,fast,-0.0247495082803313
sub001,closed,Brodmann area 22,stim1000pre,rt,slow,-0.299104035255625
sub002,open,Brodmann area 41,stim500pre,accuracy,correct,-0.416523955733506
sub002,open,Brodmann area 41,stim500pre,accuracy,incorrect,-0.262059645526284
sub002,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.360286898100575
sub002,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.262059645526284
sub002,open,Brodmann area 41,stim500pre,rt,fast,-0.501592569865306
sub002,open,Brodmann area 41,stim500pre,rt,slow,-0.314492812297417
sub002,open,Brodmann area 42,stim500pre,accuracy,correct,-0.479545221143717
sub002,open,Brodmann area 42,stim500pre,accuracy,incorrect,-0.428045677462539
sub002,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.411135256583119
sub002,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.428045677462539
sub002,open,Brodmann area 42,stim500pre,rt,fast,-0.557137446433072
sub002,open,Brodmann area 42,stim500pre,rt,slow,-0.365167824266777
sub002,open,Brodmann area 22,stim500pre,accuracy,correct,-0.429972751763013
sub002,open,Brodmann area 22,stim500pre,accuracy,incorrect,-0.034412903250139
sub002,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.487375041441207
sub002,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.034412903250139
sub002,open,Brodmann area 22,stim500pre,rt,fast,-0.520300795877437
sub002,open,Brodmann area 22,stim500pre,rt,slow,-0.30991486841439
sub002,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.23743572823427
sub002,closed,Brodmann area 41,stim500pre,accuracy,incorrect,-0.158717706914221
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.340003865992418
sub002,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.158717706914221
sub002,closed,Brodmann area 41,stim500pre,rt,fast,-0.208225657611546
sub002,closed,Brodmann area 41,stim500pre,rt,slow,-0.247523178549707
sub002,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.479083548050837
sub002,closed,Brodmann area 42,stim500pre,accuracy,incorrect,-0.353867468062988
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.463174729460602
sub002,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,-0.353867468062988
sub002,closed,Brodmann area 42,stim500pre,rt,fast,-0.536400866878299
sub002,closed,Brodmann area 42,stim500pre,rt,slow,-0.410358746298976
sub002,closed,Brodmann area 22,stim500pre,accuracy,correct,-0.328691191857947
sub002,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.317222212867544
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,-0.447393379116437
sub002,closed,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,-0.317222212867544
sub002,closed,Brodmann area 22,stim500pre,rt,fast,-0.480985704489738
sub002,closed,Brodmann area 22,stim500pre,rt,slow,-0.150071049476155
sub002,open,Brodmann area 41,stim1000pre,accuracy,correct,-0.338584955114985
sub002,open,Brodmann area 41,stim1000pre,accuracy,incorrect,-0.342376876089254
sub002,open,Brodmann area 41,stim1000pre,accuracy_e,correct_e,-0.232835503766133
sub002,open,Brodmann area 41,stim1000pre,accuracy_e,incorrect_e,-0.342376876089254
sub002,open,Brodmann area 41,stim1000pre,rt,fast,-0.369617165242927
sub002,open,Brodmann area 41,stim1000pre,rt,slow,-0.296087081275112
sub002,open,Brodmann area 42,stim1000pre,accuracy,correct,-0.438379438235078
sub002,open,Brodmann area 42,stim1000pre,accuracy,incorrect,-0.502927920339728
sub002,open,Brodmann area 42,stim1000pre,accuracy_e,correct_e,-0.243506701523828
sub002,open,Brodmann area 42,stim1000pre,accuracy_e,incorrect_e,-0.502927920339728
sub002,open,Brodmann area 42,stim1000pre,rt,fast,-0.521044948425969
sub002,open,Brodmann area 42,stim1000pre,rt,slow,-0.316191614977151
sub002,open,Brodmann area 22,stim1000pre,accuracy,correct,-0.363403608853957
sub002,open,Brodmann area 22,stim1000pre,accuracy,incorrect,-0.281953824907931
sub002,open,Brodmann area 22,stim1000pre,accuracy_e,correct_e,-0.35885986869659
sub002,open,Brodmann area 22,stim1000pre,accuracy_e,incorrect_e,-0.281953824907931
sub002,open,Brodmann area 22,stim1000pre,rt,fast,-0.403460253661081
sub002,open,Brodmann area 22,stim1000pre,rt,slow,-0.295838369101072
sub002,closed,Brodmann area 41,stim1000pre,accuracy,correct,-0.158666800777656
sub002,closed,Brodmann area 41,stim1000pre,accuracy,incorrect,-0.187306848236612
sub002,closed,Brodmann area 41,stim1000pre,accuracy_e,correct_e,-0.172119483242762
sub002,closed,Brodmann area 41,stim1000pre,accuracy_e,incorrect_e,-0.187306848236612
sub002,closed,Brodmann area 41,stim1000pre,rt,fast,-0.0438417237918304
sub002,closed,Brodmann area 41,stim1000pre,rt,slow,-0.234495343152124
sub002,closed,Brodmann area 42,stim1000pre,accuracy,correct,-0.356469543096945
sub002,closed,Brodmann area 42,stim1000pre,accuracy,incorrect,-0.292536214954694
sub002,closed,Brodmann area 42,stim1000pre,accuracy_e,correct_e,-0.415750849487143
sub002,closed,Brodmann area 42,stim1000pre,accuracy_e,incorrect_e,-0.292536214954694
sub002,closed,Brodmann area 42,stim1000pre,rt,fast,-0.38624011125138
sub002,closed,Brodmann area 42,stim1000pre,rt,slow,-0.307525419636548
sub002,closed,Brodmann area 22,stim1000pre,accuracy,correct,-0.382880722281869
sub002,closed,Brodmann area 22,stim1000pre,accuracy,incorrect,-0.220066625498818
sub002,closed,Brodmann area 22,stim1000pre,accuracy_e,correct_e,-0.384024278726641
sub002,closed,Brodmann area 22,stim1000pre,accuracy_e,incorrect_e,-0.220066625498818
sub002,closed,Brodmann area 22,stim1000pre,rt,fast,-0.476146435391671
sub002,closed,Brodmann area 22,stim1000pre,rt,slow,-0.266165854487966
sub003,open,Brodmann area 41,stim500pre,accuracy,correct,0.00772321840293561
sub003,open,Brodmann area 41,stim500pre,accuracy,incorrect,0.230746249619317
sub003,open,Brodmann area 41,stim500pre,accuracy_e,correct_e,0.0676284499555072
sub003,open,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,0.230746249619317
sub003,open,Brodmann area 41,stim500pre,rt,fast,0.0490136558981086
sub003,open,Brodmann area 41,stim500pre,rt,slow,-0.0166469543916735
sub003,open,Brodmann area 42,stim500pre,accuracy,correct,0.000805540747140662
sub003,open,Brodmann area 42,stim500pre,accuracy,incorrect,0.208570377848358
sub003,open,Brodmann area 42,stim500pre,accuracy_e,correct_e,0.116025642078094
sub003,open,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.208570377848358
sub003,open,Brodmann area 42,stim500pre,rt,fast,0.0001337323583819
sub003,open,Brodmann area 42,stim500pre,rt,slow,0.0331623751795831
sub003,open,Brodmann area 22,stim500pre,accuracy,correct,0.0332538290359993
sub003,open,Brodmann area 22,stim500pre,accuracy,incorrect,0.48370993625207
sub003,open,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.0790018210375401
sub003,open,Brodmann area 22,stim500pre,accuracy_e,incorrect_e,0.48370993625207
sub003,open,Brodmann area 22,stim500pre,rt,fast,0.0749735069984128
sub003,open,Brodmann area 22,stim500pre,rt,slow,0.0147888145535561
sub003,closed,Brodmann area 41,stim500pre,accuracy,correct,-0.108494977748381
sub003,closed,Brodmann area 41,stim500pre,accuracy,incorrect,-0.274492007366844
sub003,closed,Brodmann area 41,stim500pre,accuracy_e,correct_e,-0.154943568351987
sub003,closed,Brodmann area 41,stim500pre,accuracy_e,incorrect_e,-0.274492007366844
sub003,closed,Brodmann area 41,stim500pre,rt,fast,-0.0534400695442377
sub003,closed,Brodmann area 41,stim500pre,rt,slow,-0.155717449435213
sub003,closed,Brodmann area 42,stim500pre,accuracy,correct,-0.145254547610034
sub003,closed,Brodmann area 42,stim500pre,accuracy,incorrect,0.0337953111691596
sub003,closed,Brodmann area 42,stim500pre,accuracy_e,correct_e,-0.0357094278600793
sub003,closed,Brodmann area 42,stim500pre,accuracy_e,incorrect_e,0.0337953111691596
sub003,closed,Brodmann area 42,stim500pre,rt,fast,-0.124584160665453
sub003,closed,Brodmann area 42,stim500pre,rt,slow,-0.144588758735464
sub003,closed,Brodmann area 22,stim500pre,accuracy,correct,0.0376885727140901
sub003,closed,Brodmann area 22,stim500pre,accuracy,incorrect,-0.127407820645807
sub003,closed,Brodmann area 22,stim500pre,accuracy_e,correct_e,0.0444374531335121
