sub,eye,roi,window,compare,cond,value
sub001,open,aud left,stim500pre,accuracy,correct,0.0960306927001545
sub001,open,aud left,stim500pre,accuracy,incorrect,0.194594098693993
sub001,open,aud left,stim500pre,accuracy_e,correct_e,0.0916341767896651
sub001,open,aud left,stim500pre,accuracy_e,incorrect_e,0.194594098693993
sub001,open,aud left,stim500pre,rt,fast,0.139209240103072
sub001,open,aud left,stim500pre,rt,slow,0.0614369284626883
sub001,open,aud right,stim500pre,accuracy,correct,0.0675416949073967
sub001,open,aud right,stim500pre,accuracy,incorrect,-0.0359025548841094
sub001,open,aud right,stim500pre,accuracy_e,correct_e,-0.208613106044968
sub001,open,aud right,stim500pre,accuracy_e,incorrect_e,-0.0359025548841094
sub001,open,aud right,stim500pre,rt,fast,0.285733296439771
sub001,open,aud right,stim500pre,rt,slow,-0.11030104528237
sub001,closed,aud left,stim500pre,accuracy,correct,-0.143026569166124
sub001,closed,aud left,stim500pre,accuracy,incorrect,0.203912699253228
sub001,closed,aud left,stim500pre,accuracy_e,correct_e,-0.0300259736174824
sub001,closed,aud left,stim500pre,accuracy_e,incorrect_e,0.203912699253228
sub001,closed,aud left,stim500pre,rt,fast,-0.0508725471744499
sub001,closed,aud left,stim500pre,rt,slow,-0.22115957935721
sub001,closed,aud right,stim500pre,accuracy,correct,0.092346587480426
sub001,closed,aud right,stim500pre,accuracy,incorrect,0.346398627195222
sub001,closed,aud right,stim500pre,accuracy_e,correct_e,0.10377421873551
sub001,closed,aud right,stim500pre,accuracy_e,incorrect_e,0.346398627195222
sub001,closed,aud right,stim500pre,rt,fast,0.150805976528228
sub001,closed,aud right,stim500pre,rt,slow,0.0365307443253375
sub002,open,aud left,stim500pre,accuracy,correct,-0.15748358750545
sub002,open,aud left,stim500pre,accuracy,incorrect,-0.14462141595478
sub002,open,aud left,stim500pre,accuracy_e,correct_e,-0.344083050829579
sub002,open,aud left,stim500pre,accuracy_e,incorrect_e,-0.14462141595478
sub002,open,aud left,stim500pre,rt,fast,-0.290063050838957
sub002,open,aud left,stim500pre,rt,slow,0.00445828531257977
sub002,open,aud right,stim500pre,accuracy,correct,-0.345863413969618
sub002,open,aud right,stim500pre,accuracy,incorrect,-0.12173214305288
sub002,open,aud right,stim500pre,accuracy_e,correct_e,-0.272192602614328
sub002,open,aud right,stim500pre,accuracy_e,incorrect_e,-0.12173214305288
sub002,open,aud right,stim500pre,rt,fast,-0.386839494145012
sub002,open,aud right,stim500pre,rt,slow,-0.297917066867206
sub002,closed,aud left,stim500pre,accuracy,correct,-0.300898054480232
sub002,closed,aud left,stim500pre,accuracy,incorrect,0.0152221321778653
sub002,closed,aud left,stim500pre,accuracy_e,correct_e,-0.407424557254037
sub002,closed,aud left,stim500pre,accuracy_e,incorrect_e,0.0152221321778653
sub002,closed,aud left,stim500pre,rt,fast,-0.223791348579083
sub002,closed,aud left,stim500pre,rt,slow,-0.353815121488254
sub002,closed,aud right,stim500pre,accuracy,correct,-0.0191324527223164
sub002,closed,aud right,stim500pre,accuracy,incorrect,-0.204770093292541
sub002,closed,aud right,stim500pre,accuracy_e,correct_e,-0.0320428160093584
sub002,closed,aud right,stim500pre,accuracy_e,incorrect_e,-0.204770093292541
sub002,closed,aud right,stim500pre,rt,fast,0.15581938173843
sub002,closed,aud right,stim500pre,rt,slow,-0.125028596777093
