sub,eye,roi,window,compare,cond,value
sub001,open,aud left,stim500pre,accuracy,correct,-0.138670507142829
sub001,open,aud left,stim500pre,accuracy,incorrect,-0.44818018782929
sub001,open,aud left,stim500pre,accuracy_e,correct_e,-0.370867670537112
sub001,open,aud left,stim500pre,accuracy_e,incorrect_e,-0.44818018782929
sub001,open,aud left,stim500pre,rt,fast,0.000678908868251431
sub001,open,aud left,stim500pre,rt,slow,-0.249388089329172
sub001,open,aud right,stim500pre,accuracy,correct,-0.00180925497677227
sub001,open,aud right,stim500pre,accuracy,incorrect,-0.258065224990125
sub001,open,aud right,stim500pre,accuracy_e,correct_e,-0.172844471058261
sub001,open,aud right,stim500pre,accuracy_e,incorrect_e,-0.258065224990125
sub001,open,aud right,stim500pre,rt,fast,0.0762182739564041
sub001,open,aud right,stim500pre,rt,slow,-0.064030150623934
sub001,closed,aud left,stim500pre,accuracy,correct,-0.0277255706758316
sub001,closed,aud left,stim500pre,accuracy,incorrect,-0.387188463696867
sub001,closed,aud left,stim500pre,accuracy_e,correct_e,-0.109031018042042
sub001,closed,aud left,stim500pre,accuracy_e,incorrect_e,-0.387188463696867
sub001,closed,aud left,stim500pre,rt,fast,0.0191765653059239
sub001,closed,aud left,stim500pre,rt,slow,-0.0712542028622593
sub001,closed,aud right,stim500pre,accuracy,correct,0.120494344100086
sub001,closed,aud right,stim500pre,accuracy,incorrect,0.200537386166327
sub001,closed,aud right,stim500pre,accuracy_e,correct_e,0.185032763157126
sub001,closed,aud right,stim500pre,accuracy_e,incorrect_e,0.200537386166327
sub001,closed,aud right,stim500pre,rt,fast,0.251499469958335
sub001,closed,aud right,stim500pre,rt,slow,0.0181945863615725
sub002,open,aud left,stim500pre,accuracy,correct,-0.240727419863198
sub002,open,aud left,stim500pre,accuracy,incorrect,-0.351832107063765
sub002,open,aud left,stim500pre,accuracy_e,correct_e,-0.333283392831617
sub002,open,aud left,stim500pre,accuracy_e,incorrect_e,-0.351832107063765
sub002,open,aud left,stim500pre,rt,fast,-0.391411838786838
sub002,open,aud left,stim500pre,rt,slow,-0.0486169668307754
sub002,open,aud right,stim500pre,accuracy,correct,-0.398062013896292
sub002,open,aud right,stim500pre,accuracy,incorrect,-0.269554186350318
