sub,eye,measure,window,peak,compare,cond,value
sub001,open,visual power,500pre,corinne,accuracy_e,correct_e,0.229219426917871
sub001,open,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.00566337183270684
sub001,open,visual power,500pre,corinne,rt,fast,0.152232388266668
sub001,open,visual power,500pre,corinne,rt,slow,0.239852398898912
sub001,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.326809791934588
sub001,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.0858749955250828
sub001,open,laterilsation index,500pre,corinne,rt,fast,0.0163468450267424
sub001,open,laterilsation index,500pre,corinne,rt,slow,-0.014351994338676
sub001,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.679586200201092
sub001,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.448577616597767
sub001,open,somatovisual balance,500pre,corinne,rt,fast,0.561097281477276
sub001,open,somatovisual balance,500pre,corinne,rt,slow,0.561688422930702
sub001,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.220817990061981
sub001,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.22293147210932
sub001,closed,visual power,500pre,corinne,rt,fast,-0.148553778841252
sub001,closed,visual power,500pre,corinne,rt,slow,-0.15437771472578
sub001,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0893572267186953
sub001,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.138460710356424
sub001,closed,laterilsation index,500pre,corinne,rt,fast,0.00199781629718235
sub001,closed,laterilsation index,500pre,corinne,rt,slow,-0.00360726140098611
sub001,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.626952933224434
sub001,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.686157368887386
sub001,closed,somatovisual balance,500pre,corinne,rt,fast,0.634503731275982
sub001,closed,somatovisual balance,500pre,corinne,rt,slow,0.677128374701257
sub002,open,visual power,500pre,corinne,accuracy_e,correct_e,-0.0565077668555325
sub002,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.0760040870541486
sub002,open,visual power,500pre,corinne,rt,fast,-0.173404557998086
sub002,open,visual power,500pre,corinne,rt,slow,-0.0919134895066475
sub002,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.063361461250232
sub002,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0999643137662366
sub002,open,laterilsation index,500pre,corinne,rt,fast,0.00881940146786039
sub002,open,laterilsation index,500pre,corinne,rt,slow,0.0741178598726073
sub002,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.17826561256584
