sub,eye,measure,window,peak,compare,cond,value
sub001,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.299370382626913
sub001,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.136659010376075
sub001,open,visual power,1000pre,sensor,rt,fast,0.373058700189443
sub001,open,visual power,1000pre,sensor,rt,slow,0.421323104349314
sub001,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.165841143358301
sub001,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.114673984095361
sub001,open,laterilsation index,1000pre,sensor,rt,fast,0.0277193528180939
sub001,open,laterilsation index,1000pre,sensor,rt,slow,0.00111635009238284
sub001,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.476557122854032
sub001,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.447117592336943
sub001,open,somatovisual balance,1000pre,sensor,rt,fast,0.587826107112198
sub001,open,somatovisual balance,1000pre,sensor,rt,slow,0.576975465366797
sub001,closed,visual power,1000pre,sensor,accuracy_e,correct_e,0.131893912584456
sub001,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.0243601913802856
sub001,closed,visual power,1000pre,sensor,rt,fast,0.032087842923307
sub001,closed,visual power,1000pre,sensor,rt,slow,0.0802355527056096
sub001,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.126342412888338
sub001,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.134255240501611
sub001,closed,laterilsation index,1000pre,sensor,rt,fast,0.0114957138637133
sub001,closed,laterilsation index,1000pre,sensor,rt,slow,0.0825780675656062
sub001,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.697434927228521
sub001,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.659332625934887
sub001,closed,somatovisual balance,1000pre,sensor,rt,fast,0.658954275232607
sub001,closed,somatovisual balance,1000pre,sensor,rt,slow,0.687941508875263
sub002,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.0396731928731061
sub002,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.0263833860556797
sub002,open,visual power,1000pre,sensor,rt,fast,-0.0938934102902064
sub002,open,visual power,1000pre,sensor,rt,slow,-0.0120049012768361
sub002,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.100295669591875
sub002,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0227814543613052
sub002,open,laterilsation index,1000pre,sensor,rt,fast,0.0205077033500598
sub002,open,laterilsation index,1000pre,sensor,rt,slow,0.0582826304690789
sub002,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.144602386941957
sub002,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.0947323785478846
sub002,open,somatovisual balance,1000pre,sensor,rt,fast,0.086730463863866
sub002,open,somatovisual balance,1000pre,sensor,rt,slow,0.114950712411422
sub002,closed,visual power,1000pre,sensor,accuracy_e,correct_e,0.264879368153338
sub002,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.274133206768409
sub002,closed,visual power,1000pre,sensor,rt,fast,0.449144493032152
sub002,closed,visual power,1000pre,sensor,rt,slow,0.177000200272662
sub002,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.00961746788806507
sub002,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0465781886806508
sub002,closed,laterilsation index,1000pre,sensor,rt,fast,-0.055752620108028
sub002,closed,laterilsation index,1000pre,sensor,rt,slow,0.0794922142661792
sub002,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.327431086584383
sub002,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.290643390339023
sub002,closed,somatovisual balance,1000pre,sensor,rt,fast,0.29216203685305
sub002,closed,somatovisual balance,1000pre,sensor,rt,slow,0.33008749077468
sub003,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.113998691996127
sub003,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.544971703780277
sub003,open,visual power,1000pre,sensor,rt,fast,0.284837527858615
sub003,open,visual power,1000pre,sensor,rt,slow,0.268471349138653
sub003,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0283986300155361
sub003,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.0531088512842388
