sub,eye,measure,window,compare,cond,value
sub001,open,laterilsation index,500pre,accuracy_e,correct_e,0.054
sub001,open,laterilsation index,500pre,accuracy_e,incorrect_e,-0.144
sub001,open,laterilsation index,500pre,rt,fast,0.017
sub001,open,laterilsation index,500pre,rt,slow,0.046
sub001,open,visual power,500pre,accuracy_e,correct_e,0.046
sub001,open,visual power,500pre,accuracy_e,incorrect_e,0.046
sub001,open,visual power,500pre,rt,fast,0.046
sub001,open,visual power,500pre,rt,slow,0.046
sub001,open,somato-visual balance,500pre,accuracy_e,correct_e,0.046
sub001,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.046
sub001,open,somato-visual balance,500pre,rt,fast,0.046
sub001,open,somato-visual balance,500pre,rt,slow,0.046
sub001,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.107
sub001,closed,laterilsation index,500pre,accuracy_e,incorrect_e,-0.113
sub001,closed,laterilsation index,500pre,rt,fast,-0.001
sub001,closed,laterilsation index,500pre,rt,slow,0.015
sub001,closed,visual power,500pre,accuracy_e,correct_e,0.015
sub001,closed,visual power,500pre,accuracy_e,incorrect_e,0.015
sub001,closed,visual power,500pre,rt,fast,0.015
sub001,closed,visual power,500pre,rt,slow,0.015
sub001,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.015
sub001,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.015
sub001,closed,somato-visual balance,500pre,rt,fast,0.015
sub001,closed,somato-visual balance,500pre,rt,slow,0.015
sub002,open,laterilsation index,500pre,accuracy_e,correct_e,0.08
sub002,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.058
sub002,open,laterilsation index,500pre,rt,fast,0.031
sub002,open,laterilsation index,500pre,rt,slow,0.028
sub002,open,visual power,500pre,accuracy_e,correct_e,0.028
sub002,open,visual power,500pre,accuracy_e,incorrect_e,0.028
sub002,open,visual power,500pre,rt,fast,0.028
sub002,open,visual power,500pre,rt,slow,0.028
sub002,open,somato-visual balance,500pre,accuracy_e,correct_e,0.028
sub002,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.028
sub002,open,somato-visual balance,500pre,rt,fast,0.028
sub002,open,somato-visual balance,500pre,rt,slow,0.028
sub002,closed,laterilsation index,500pre,accuracy_e,correct_e,0.023
sub002,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.029
sub002,closed,laterilsation index,500pre,rt,fast,0.005
sub002,closed,laterilsation index,500pre,rt,slow,0.043
sub002,closed,visual power,500pre,accuracy_e,correct_e,0.043
sub002,closed,visual power,500pre,accuracy_e,incorrect_e,0.043
sub002,closed,visual power,500pre,rt,fast,0.043
sub002,closed,visual power,500pre,rt,slow,0.043
sub002,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.043
sub002,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.043
sub002,closed,somato-visual balance,500pre,rt,fast,0.043
sub002,closed,somato-visual balance,500pre,rt,slow,0.043
sub003,open,laterilsation index,500pre,accuracy_e,correct_e,0.023
