sub,eye,measure,window,compare,cond,value
sub001,open,laterilsation index,500pre,accuracy_e,correct_e,0.012
sub001,open,laterilsation index,500pre,accuracy_e,incorrect_e,-0.139
sub001,open,laterilsation index,500pre,rt,fast,0.006
sub001,open,laterilsation index,500pre,rt,slow,0.027
sub001,open,visual power,500pre,accuracy_e,correct_e,0.027
sub001,open,visual power,500pre,accuracy_e,incorrect_e,0.027
sub001,open,visual power,500pre,rt,fast,0.027
sub001,open,visual power,500pre,rt,slow,0.027
sub001,open,somato-visual balance,500pre,accuracy_e,correct_e,0.027
sub001,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.027
sub001,open,somato-visual balance,500pre,rt,fast,0.027
sub001,open,somato-visual balance,500pre,rt,slow,0.027
sub001,closed,laterilsation index,500pre,accuracy_e,correct_e,0.039
sub001,closed,laterilsation index,500pre,accuracy_e,incorrect_e,-0.051
sub001,closed,laterilsation index,500pre,rt,fast,-0.002
sub001,closed,laterilsation index,500pre,rt,slow,-0.062
sub001,closed,visual power,500pre,accuracy_e,correct_e,-0.062
sub001,closed,visual power,500pre,accuracy_e,incorrect_e,-0.062
sub001,closed,visual power,500pre,rt,fast,-0.062
sub001,closed,visual power,500pre,rt,slow,-0.062
sub001,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.062
sub001,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.062
sub001,closed,somato-visual balance,500pre,rt,fast,-0.062
sub001,closed,somato-visual balance,500pre,rt,slow,-0.062
sub002,open,laterilsation index,500pre,accuracy_e,correct_e,0.083
sub002,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.011
sub002,open,laterilsation index,500pre,rt,fast,0.01
sub002,open,laterilsation index,500pre,rt,slow,0.074
sub002,open,visual power,500pre,accuracy_e,correct_e,0.074
sub002,open,visual power,500pre,accuracy_e,incorrect_e,0.074
sub002,open,visual power,500pre,rt,fast,0.074
sub002,open,visual power,500pre,rt,slow,0.074
sub002,open,somato-visual balance,500pre,accuracy_e,correct_e,0.074
sub002,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.074
sub002,open,somato-visual balance,500pre,rt,fast,0.074
sub002,open,somato-visual balance,500pre,rt,slow,0.074
sub002,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.011
sub002,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.005
sub002,closed,laterilsation index,500pre,rt,fast,-0.013
