ecblock1,ecblock2,ecblock3,ecblock4,eoblock1,eoblock2,eoblock3,eoblock4
2,2,2,3,2,2,2,2
2,3,2,2,2,2,2,3
2,2,3,3,2,2,2,3
3,4,3,2,3,3,2,2
3,3,4,3,2,4,2,4
4,3,2,1,2,3,2,2
3,4,4,4,3,4,4,4
2,3,4,4,2,3,3,3
2,2,2,3,2,2,2,2
3,4,3,3,2,2,1,1
2,2,3,3,3,3,3,3
1,1,2,2,1,2,2,2
2,2,4,4,1,3,3,3
3,4,4,3,3,4,4,3
3,3,3,2,2,2,2,1
3,3,4,4,2,4,3,3
2,3,3,3,2,3,2,2
3,3,3,3,2,3,3,3
3,2,3,3,3,3,4,3
3,3,3,4,2,2,3,2
3,4,4,4,3,3,4,4
1,2,1,2,2,2,1,1
3,3,3,2,3,2,3,2
1,2,2,2,2,1,1,2
2,2,3,3,3,3,3,3
2,3,3,4,2,2,3,3
3,4,4,3,3,3,3,3
