sub,eye,measure,window,compare,cond,value
sub001,open,somato lat,stim500pre,accuracy,correct,0.091
sub001,open,somato lat,stim500pre,accuracy,incorrect,-0.071
sub001,open,somato lat,stim500pre,accuracy_e,correct_e,-0.203
sub001,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.071
sub001,open,somato lat,stim500pre,rt,fast,0.126
sub001,open,somato lat,stim500pre,rt,slow,0.05
sub001,closed,somato lat,stim500pre,accuracy,correct,0.015
sub001,closed,somato lat,stim500pre,accuracy,incorrect,0.051
sub001,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.135
sub001,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.051
sub001,closed,somato lat,stim500pre,rt,fast,0.05
sub001,closed,somato lat,stim500pre,rt,slow,-0.02
sub001,open,somato lat,stim1000pre,accuracy,correct,0.11
sub001,open,somato lat,stim1000pre,accuracy,incorrect,-0.145
sub001,open,somato lat,stim1000pre,accuracy_e,correct_e,0.096
sub001,open,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.145
sub001,open,somato lat,stim1000pre,rt,fast,0.142
sub001,open,somato lat,stim1000pre,rt,slow,0.079
sub001,closed,somato lat,stim1000pre,accuracy,correct,0.085
sub001,closed,somato lat,stim1000pre,accuracy,incorrect,0.105
sub001,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.09
sub001,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.105
sub001,closed,somato lat,stim1000pre,rt,fast,0.061
sub001,closed,somato lat,stim1000pre,rt,slow,0.118
sub002,open,somato lat,stim500pre,accuracy,correct,0.024
sub002,open,somato lat,stim500pre,accuracy,incorrect,-0.107
sub002,open,somato lat,stim500pre,accuracy_e,correct_e,0.011
sub002,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.107
sub002,open,somato lat,stim500pre,rt,fast,0.057
sub002,open,somato lat,stim500pre,rt,slow,-0.014
sub002,closed,somato lat,stim500pre,accuracy,correct,-0.042
sub002,closed,somato lat,stim500pre,accuracy,incorrect,0.052
sub002,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.058
sub002,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.052
sub002,closed,somato lat,stim500pre,rt,fast,0.014
sub002,closed,somato lat,stim500pre,rt,slow,-0.098
sub002,open,somato lat,stim1000pre,accuracy,correct,0.074
sub002,open,somato lat,stim1000pre,accuracy,incorrect,0.053
sub002,open,somato lat,stim1000pre,accuracy_e,correct_e,0.126
sub002,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.053
sub002,open,somato lat,stim1000pre,rt,fast,0.084
sub002,open,somato lat,stim1000pre,rt,slow,0.06
sub002,closed,somato lat,stim1000pre,accuracy,correct,0.025
sub002,closed,somato lat,stim1000pre,accuracy,incorrect,0.067
sub002,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.052
sub002,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.067
sub002,closed,somato lat,stim1000pre,rt,fast,0.058
sub002,closed,somato lat,stim1000pre,rt,slow,-0.008
sub003,open,somato lat,stim500pre,accuracy,correct,0.063
sub003,open,somato lat,stim500pre,accuracy,incorrect,-0.032
sub003,open,somato lat,stim500pre,accuracy_e,correct_e,0.014
sub003,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.032
sub003,open,somato lat,stim500pre,rt,fast,-0.007
sub003,open,somato lat,stim500pre,rt,slow,0.125
sub003,closed,somato lat,stim500pre,accuracy,correct,0.058
sub003,closed,somato lat,stim500pre,accuracy,incorrect,0.051
sub003,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.045
sub003,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.051
sub003,closed,somato lat,stim500pre,rt,fast,0.032
sub003,closed,somato lat,stim500pre,rt,slow,0.082
sub003,open,somato lat,stim1000pre,accuracy,correct,0.079
sub003,open,somato lat,stim1000pre,accuracy,incorrect,0.014
sub003,open,somato lat,stim1000pre,accuracy_e,correct_e,0.13
sub003,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.014
sub003,open,somato lat,stim1000pre,rt,fast,-0.007
sub003,open,somato lat,stim1000pre,rt,slow,0.159
sub003,closed,somato lat,stim1000pre,accuracy,correct,0.073
sub003,closed,somato lat,stim1000pre,accuracy,incorrect,0.008
sub003,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.12
sub003,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.008
sub003,closed,somato lat,stim1000pre,rt,fast,0.024
sub003,closed,somato lat,stim1000pre,rt,slow,0.117
sub004,open,somato lat,stim500pre,accuracy,correct,-0.031
sub004,open,somato lat,stim500pre,accuracy,incorrect,0.087
sub004,open,somato lat,stim500pre,accuracy_e,correct_e,-0.145
sub004,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.087
sub004,open,somato lat,stim500pre,rt,fast,-0.005
sub004,open,somato lat,stim500pre,rt,slow,-0.054
sub004,closed,somato lat,stim500pre,accuracy,correct,-0.005
sub004,closed,somato lat,stim500pre,accuracy,incorrect,0.145
sub004,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.171
sub004,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.145
sub004,closed,somato lat,stim500pre,rt,fast,-0.058
sub004,closed,somato lat,stim500pre,rt,slow,0.053
sub004,open,somato lat,stim1000pre,accuracy,correct,0.031
sub004,open,somato lat,stim1000pre,accuracy,incorrect,0.167
sub004,open,somato lat,stim1000pre,accuracy_e,correct_e,-0.049
sub004,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.167
sub004,open,somato lat,stim1000pre,rt,fast,0.085
sub004,open,somato lat,stim1000pre,rt,slow,-0.016
sub004,closed,somato lat,stim1000pre,accuracy,correct,0.049
sub004,closed,somato lat,stim1000pre,accuracy,incorrect,0.086
sub004,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.036
sub004,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.086
sub004,closed,somato lat,stim1000pre,rt,fast,-0.01
sub004,closed,somato lat,stim1000pre,rt,slow,0.112
sub005,open,somato lat,stim500pre,accuracy,correct,0.031
sub005,open,somato lat,stim500pre,accuracy,incorrect,0.08
sub005,open,somato lat,stim500pre,accuracy_e,correct_e,0.003
sub005,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.08
sub005,open,somato lat,stim500pre,rt,fast,0.064
sub005,open,somato lat,stim500pre,rt,slow,-0.003
sub005,closed,somato lat,stim500pre,accuracy,correct,0.069
sub005,closed,somato lat,stim500pre,accuracy,incorrect,0.067
sub005,closed,somato lat,stim500pre,accuracy_e,correct_e,0.1
sub005,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.067
sub005,closed,somato lat,stim500pre,rt,fast,0.089
sub005,closed,somato lat,stim500pre,rt,slow,0.045
sub005,open,somato lat,stim1000pre,accuracy,correct,-0.012
sub005,open,somato lat,stim1000pre,accuracy,incorrect,0.039
sub005,open,somato lat,stim1000pre,accuracy_e,correct_e,0.001
sub005,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.039
sub005,open,somato lat,stim1000pre,rt,fast,0.008
sub005,open,somato lat,stim1000pre,rt,slow,-0.031
sub005,closed,somato lat,stim1000pre,accuracy,correct,-0.033
sub005,closed,somato lat,stim1000pre,accuracy,incorrect,0.077
sub005,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.014
sub005,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.077
sub005,closed,somato lat,stim1000pre,rt,fast,-0.017
sub005,closed,somato lat,stim1000pre,rt,slow,-0.051
sub006,open,somato lat,stim500pre,accuracy,correct,0.161
sub006,open,somato lat,stim500pre,accuracy,incorrect,0.145
sub006,open,somato lat,stim500pre,accuracy_e,correct_e,0.15
sub006,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.145
sub006,open,somato lat,stim500pre,rt,fast,0.127
sub006,open,somato lat,stim500pre,rt,slow,0.195
sub006,closed,somato lat,stim500pre,accuracy,correct,0.188
sub006,closed,somato lat,stim500pre,accuracy,incorrect,0.209
sub006,closed,somato lat,stim500pre,accuracy_e,correct_e,0.287
sub006,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.209
sub006,closed,somato lat,stim500pre,rt,fast,0.202
sub006,closed,somato lat,stim500pre,rt,slow,0.174
sub006,open,somato lat,stim1000pre,accuracy,correct,0.122
sub006,open,somato lat,stim1000pre,accuracy,incorrect,0.183
sub006,open,somato lat,stim1000pre,accuracy_e,correct_e,0.176
sub006,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.183
sub006,open,somato lat,stim1000pre,rt,fast,0.131
sub006,open,somato lat,stim1000pre,rt,slow,0.111
sub006,closed,somato lat,stim1000pre,accuracy,correct,0.152
sub006,closed,somato lat,stim1000pre,accuracy,incorrect,0.198
sub006,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.202
sub006,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.198
sub006,closed,somato lat,stim1000pre,rt,fast,0.159
sub006,closed,somato lat,stim1000pre,rt,slow,0.145
sub007,open,somato lat,stim500pre,accuracy,correct,0.006
sub007,open,somato lat,stim500pre,accuracy,incorrect,-0.043
sub007,open,somato lat,stim500pre,accuracy_e,correct_e,0.009
sub007,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.043
sub007,open,somato lat,stim500pre,rt,fast,0.016
sub007,open,somato lat,stim500pre,rt,slow,0.004
sub007,closed,somato lat,stim500pre,accuracy,correct,0.022
sub007,closed,somato lat,stim500pre,accuracy,incorrect,-0.01
