sub,eye,measure,window,compare,cond,value
sub001,open,somato lat,stim500pre,accuracy,correct,0.014
sub001,open,somato lat,stim500pre,accuracy,incorrect,-0.101
sub001,open,somato lat,stim500pre,accuracy_e,correct_e,-0.286
sub001,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.101
sub001,open,somato lat,stim500pre,rt,fast,0.06
sub001,open,somato lat,stim500pre,rt,slow,-0.039
sub001,closed,somato lat,stim500pre,accuracy,correct,0.015
sub001,closed,somato lat,stim500pre,accuracy,incorrect,-0.052
sub001,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.028
sub001,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.052
sub001,closed,somato lat,stim500pre,rt,fast,0.018
sub001,closed,somato lat,stim500pre,rt,slow,0.015
sub001,open,somato lat,stim1000pre,accuracy,correct,0.043
sub001,open,somato lat,stim1000pre,accuracy,incorrect,-0.216
sub001,open,somato lat,stim1000pre,accuracy_e,correct_e,0.183
sub001,open,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.216
sub001,open,somato lat,stim1000pre,rt,fast,0.08
sub001,open,somato lat,stim1000pre,rt,slow,0.006
sub001,closed,somato lat,stim1000pre,accuracy,correct,0.028
sub001,closed,somato lat,stim1000pre,accuracy,incorrect,0.171
sub001,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.098
sub001,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.171
sub001,closed,somato lat,stim1000pre,rt,fast,-0.01
sub001,closed,somato lat,stim1000pre,rt,slow,0.057
sub002,open,somato lat,stim500pre,accuracy,correct,-0.016
sub002,open,somato lat,stim500pre,accuracy,incorrect,0.038
sub002,open,somato lat,stim500pre,accuracy_e,correct_e,-0.099
sub002,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.038
sub002,open,somato lat,stim500pre,rt,fast,0.023
sub002,open,somato lat,stim500pre,rt,slow,-0.043
sub002,closed,somato lat,stim500pre,accuracy,correct,0.022
sub002,closed,somato lat,stim500pre,accuracy,incorrect,-0.055
sub002,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.016
sub002,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.055
sub002,closed,somato lat,stim500pre,rt,fast,0.044
sub002,closed,somato lat,stim500pre,rt,slow,0.006
sub002,open,somato lat,stim1000pre,accuracy,correct,0.011
sub002,open,somato lat,stim1000pre,accuracy,incorrect,0.009
sub002,open,somato lat,stim1000pre,accuracy_e,correct_e,0.067
sub002,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.009
sub002,open,somato lat,stim1000pre,rt,fast,0.019
sub002,open,somato lat,stim1000pre,rt,slow,0.003
sub002,closed,somato lat,stim1000pre,accuracy,correct,0.017
sub002,closed,somato lat,stim1000pre,accuracy,incorrect,0.037
sub002,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.009
sub002,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.037
sub002,closed,somato lat,stim1000pre,rt,fast,0.06
sub002,closed,somato lat,stim1000pre,rt,slow,-0.022
sub003,open,somato lat,stim500pre,accuracy,correct,0.091
sub003,open,somato lat,stim500pre,accuracy,incorrect,0.093
sub003,open,somato lat,stim500pre,accuracy_e,correct_e,0.173
sub003,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.093
sub003,open,somato lat,stim500pre,rt,fast,0.029
sub003,open,somato lat,stim500pre,rt,slow,0.153
sub003,closed,somato lat,stim500pre,accuracy,correct,0.123
sub003,closed,somato lat,stim500pre,accuracy,incorrect,0.093
sub003,closed,somato lat,stim500pre,accuracy_e,correct_e,0.131
sub003,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.093
sub003,closed,somato lat,stim500pre,rt,fast,0.139
sub003,closed,somato lat,stim500pre,rt,slow,0.098
sub003,open,somato lat,stim1000pre,accuracy,correct,0.097
sub003,open,somato lat,stim1000pre,accuracy,incorrect,0.07
sub003,open,somato lat,stim1000pre,accuracy_e,correct_e,0.084
sub003,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.07
sub003,open,somato lat,stim1000pre,rt,fast,0.066
sub003,open,somato lat,stim1000pre,rt,slow,0.122
sub003,closed,somato lat,stim1000pre,accuracy,correct,0.107
sub003,closed,somato lat,stim1000pre,accuracy,incorrect,0.093
sub003,closed,somato lat,stim1000pre,accuracy_e,correct_e,-0.023
sub003,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.093
sub003,closed,somato lat,stim1000pre,rt,fast,0.104
sub003,closed,somato lat,stim1000pre,rt,slow,0.106
sub004,open,somato lat,stim500pre,accuracy,correct,-0.06
sub004,open,somato lat,stim500pre,accuracy,incorrect,0.161
sub004,open,somato lat,stim500pre,accuracy_e,correct_e,0.117
sub004,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.161
sub004,open,somato lat,stim500pre,rt,fast,-0.043
sub004,open,somato lat,stim500pre,rt,slow,-0.073
sub004,closed,somato lat,stim500pre,accuracy,correct,-0.054
sub004,closed,somato lat,stim500pre,accuracy,incorrect,0.103
sub004,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.176
sub004,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.103
sub004,closed,somato lat,stim500pre,rt,fast,-0.093
sub004,closed,somato lat,stim500pre,rt,slow,-0.009
sub004,open,somato lat,stim1000pre,accuracy,correct,-0.032
sub004,open,somato lat,stim1000pre,accuracy,incorrect,0.111
sub004,open,somato lat,stim1000pre,accuracy_e,correct_e,0.039
sub004,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.111
sub004,open,somato lat,stim1000pre,rt,fast,-0.004
sub004,open,somato lat,stim1000pre,rt,slow,-0.065
sub004,closed,somato lat,stim1000pre,accuracy,correct,-0.007
sub004,closed,somato lat,stim1000pre,accuracy,incorrect,0.164
sub004,closed,somato lat,stim1000pre,accuracy_e,correct_e,-0.172
sub004,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.164
sub004,closed,somato lat,stim1000pre,rt,fast,-0.08
sub004,closed,somato lat,stim1000pre,rt,slow,0.074
sub005,open,somato lat,stim500pre,accuracy,correct,0.025
sub005,open,somato lat,stim500pre,accuracy,incorrect,0.1
sub005,open,somato lat,stim500pre,accuracy_e,correct_e,0.072
sub005,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.1
sub005,open,somato lat,stim500pre,rt,fast,0.075
sub005,open,somato lat,stim500pre,rt,slow,-0.024
sub005,closed,somato lat,stim500pre,accuracy,correct,0.004
sub005,closed,somato lat,stim500pre,accuracy,incorrect,-0.042
sub005,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.085
sub005,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.042
sub005,closed,somato lat,stim500pre,rt,fast,0.017
sub005,closed,somato lat,stim500pre,rt,slow,-0.009
sub005,open,somato lat,stim1000pre,accuracy,correct,-0.037
sub005,open,somato lat,stim1000pre,accuracy,incorrect,0.167
sub005,open,somato lat,stim1000pre,accuracy_e,correct_e,0.043
sub005,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.167
sub005,open,somato lat,stim1000pre,rt,fast,0.034
sub005,open,somato lat,stim1000pre,rt,slow,-0.108
sub005,closed,somato lat,stim1000pre,accuracy,correct,-0.019
sub005,closed,somato lat,stim1000pre,accuracy,incorrect,0.041
sub005,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.041
sub005,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.041
sub005,closed,somato lat,stim1000pre,rt,fast,-0.02
sub005,closed,somato lat,stim1000pre,rt,slow,-0.023
sub006,open,somato lat,stim500pre,accuracy,correct,0.172
sub006,open,somato lat,stim500pre,accuracy,incorrect,0.047
sub006,open,somato lat,stim500pre,accuracy_e,correct_e,0.108
sub006,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.047
sub006,open,somato lat,stim500pre,rt,fast,0.213
sub006,open,somato lat,stim500pre,rt,slow,0.122
sub006,closed,somato lat,stim500pre,accuracy,correct,0.074
sub006,closed,somato lat,stim500pre,accuracy,incorrect,0.105
sub006,closed,somato lat,stim500pre,accuracy_e,correct_e,0.007
sub006,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.105
sub006,closed,somato lat,stim500pre,rt,fast,0.034
sub006,closed,somato lat,stim500pre,rt,slow,0.113
sub006,open,somato lat,stim1000pre,accuracy,correct,0.153
sub006,open,somato lat,stim1000pre,accuracy,incorrect,0.178
sub006,open,somato lat,stim1000pre,accuracy_e,correct_e,0.032
sub006,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.178
sub006,open,somato lat,stim1000pre,rt,fast,0.18
sub006,open,somato lat,stim1000pre,rt,slow,0.127
sub006,closed,somato lat,stim1000pre,accuracy,correct,0.103
sub006,closed,somato lat,stim1000pre,accuracy,incorrect,0.137
sub006,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.151
sub006,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.137
sub006,closed,somato lat,stim1000pre,rt,fast,0.101
sub006,closed,somato lat,stim1000pre,rt,slow,0.105
sub007,open,somato lat,stim500pre,accuracy,correct,0.063
sub007,open,somato lat,stim500pre,accuracy,incorrect,-0.069
sub007,open,somato lat,stim500pre,accuracy_e,correct_e,0.005
sub007,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.069
sub007,open,somato lat,stim500pre,rt,fast,0.009
sub007,open,somato lat,stim500pre,rt,slow,0.121
sub007,closed,somato lat,stim500pre,accuracy,correct,0.095
sub007,closed,somato lat,stim500pre,accuracy,incorrect,-0.061
sub007,closed,somato lat,stim500pre,accuracy_e,correct_e,0.007
sub007,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.061
sub007,closed,somato lat,stim500pre,rt,fast,0.133
