sub,eye,roi,hemi,apeak
sub001,open,somato,left,11
sub001,open,somato,right,11
sub001,open,visual,left,11
sub001,open,visual,right,11
sub001,open,aud,left,8
sub001,open,aud,right,9
sub001,close,somato,left,9
sub001,close,somato,right,11
sub001,close,visual,left,10
sub001,close,visual,right,10
sub001,close,aud,left,8
sub001,close,aud,right,9
sub002,open,somato,left,8
sub002,open,somato,right,8
sub002,open,visual,left,9
sub002,open,visual,right,10
sub002,open,aud,left,7
sub002,open,aud,right,7
sub002,close,somato,left,8
sub002,close,somato,right,8
sub002,close,visual,left,9
sub002,close,visual,right,9
sub002,close,aud,left,7
sub002,close,aud,right,7
sub003,open,somato,left,10
sub003,open,somato,right,10
sub003,open,visual,left,12
sub003,open,visual,right,13
sub003,open,aud,left,7
sub003,open,aud,right,7
sub003,close,somato,left,10
sub003,close,somato,right,10
sub003,close,visual,left,10
sub003,close,visual,right,11
sub003,close,aud,left,7
sub003,close,aud,right,9
sub004,open,somato,left,8
sub004,open,somato,right,9
sub004,open,visual,left,10
sub004,open,visual,right,10
sub004,open,aud,left,7
sub004,open,aud,right,7
sub004,close,somato,left,13
sub004,close,somato,right,8
sub004,close,visual,left,10
sub004,close,visual,right,10
sub004,close,aud,left,7
sub004,close,aud,right,7
sub005,open,somato,left,9
sub005,open,somato,right,9
sub005,open,visual,left,9
sub005,open,visual,right,10
sub005,open,aud,left,7
sub005,open,aud,right,9
sub005,close,somato,left,9
sub005,close,somato,right,10
sub005,close,visual,left,9
sub005,close,visual,right,10
sub005,close,aud,left,8
sub005,close,aud,right,9
sub006,open,somato,left,14
sub006,open,somato,right,12
sub006,open,visual,left,13
sub006,open,visual,right,13
sub006,open,aud,left,7
sub006,open,aud,right,9
sub006,close,somato,left,12
sub006,close,somato,right,11
sub006,close,visual,left,10
sub006,close,visual,right,10
sub006,close,aud,left,8
sub006,close,aud,right,10
sub007,open,somato,left,11
sub007,open,somato,right,7
sub007,open,visual,left,11
sub007,open,visual,right,11
sub007,open,aud,left,7
sub007,open,aud,right,7
sub007,close,somato,left,11
sub007,close,somato,right,11
sub007,close,visual,left,11
sub007,close,visual,right,11
sub007,close,aud,left,7
sub007,close,aud,right,7
sub008,open,somato,left,13
sub008,open,somato,right,13
sub008,open,visual,left,11
sub008,open,visual,right,10
sub008,open,aud,left,11
sub008,open,aud,right,13
sub008,close,somato,left,7
sub008,close,somato,right,12
sub008,close,visual,left,11
sub008,close,visual,right,11
sub008,close,aud,left,11
sub008,close,aud,right,13
sub009,open,somato,left,11
sub009,open,somato,right,9
sub009,open,visual,left,9
sub009,open,visual,right,9
sub009,open,aud,left,8
sub009,open,aud,right,8
sub009,close,somato,left,10
sub009,close,somato,right,9
sub009,close,visual,left,9
sub009,close,visual,right,8
sub009,close,aud,left,8
