sub,eye,roi,hemi,apeak
sub001,open,somato,left,17
sub001,open,somato,right,21
sub001,open,visual,left,NaN
sub001,open,visual,right,21
sub001,open,aud,left,16
sub001,open,aud,right,16
sub001,close,somato,left,NaN
sub001,close,somato,right,20
sub001,close,visual,left,20
sub001,close,visual,right,20
sub001,close,aud,left,16
sub001,close,aud,right,16
sub002,open,somato,left,17
sub002,open,somato,right,17
sub002,open,visual,left,NaN
sub002,open,visual,right,24
sub002,open,aud,left,28
sub002,open,aud,right,26
sub002,close,somato,left,17
sub002,close,somato,right,17
sub002,close,visual,left,18
sub002,close,visual,right,18
sub002,close,aud,left,26
sub002,close,aud,right,25
sub003,open,somato,left,19
sub003,open,somato,right,20
sub003,open,visual,left,NaN
sub003,open,visual,right,22
sub003,open,aud,left,16
sub003,open,aud,right,21
sub003,close,somato,left,18
sub003,close,somato,right,19
sub003,close,visual,left,21
sub003,close,visual,right,22
sub003,close,aud,left,NaN
sub003,close,aud,right,24
sub004,open,somato,left,16
sub004,open,somato,right,23
sub004,open,visual,left,25
sub004,open,visual,right,NaN
sub004,open,aud,left,25
sub004,open,aud,right,18
sub004,close,somato,left,16
sub004,close,somato,right,22
sub004,close,visual,left,19
sub004,close,visual,right,19
sub004,close,aud,left,21
sub004,close,aud,right,27
sub005,open,somato,left,24
sub005,open,somato,right,NaN
sub005,open,visual,left,21
sub005,open,visual,right,NaN
sub005,open,aud,left,18
sub005,open,aud,right,17
sub005,close,somato,left,23
sub005,close,somato,right,17
sub005,close,visual,left,19
sub005,close,visual,right,19
sub005,close,aud,left,18
sub005,close,aud,right,NaN
sub006,open,somato,left,20
sub006,open,somato,right,21
sub006,open,visual,left,23
sub006,open,visual,right,24
sub006,open,aud,left,19
sub006,open,aud,right,19
sub006,close,somato,left,20
sub006,close,somato,right,21
sub006,close,visual,left,21
sub006,close,visual,right,20
sub006,close,aud,left,20
sub006,close,aud,right,18
sub007,open,somato,left,20
sub007,open,somato,right,NaN
sub007,open,visual,left,20
sub007,open,visual,right,21
sub007,open,aud,left,NaN
sub007,open,aud,right,NaN
sub007,close,somato,left,NaN
sub007,close,somato,right,NaN
sub007,close,visual,left,20
sub007,close,visual,right,21
sub007,close,aud,left,20
sub007,close,aud,right,21
sub008,open,somato,left,30
sub008,open,somato,right,30
sub008,open,visual,left,30
sub008,open,visual,right,30
sub008,open,aud,left,30
sub008,open,aud,right,30
sub008,close,somato,left,30
sub008,close,somato,right,30
sub008,close,visual,left,21
sub008,close,visual,right,30
sub008,close,aud,left,30
sub008,close,aud,right,30
sub009,open,somato,left,21
sub009,open,somato,right,17
sub009,open,visual,left,18
sub009,open,visual,right,17
sub009,open,aud,left,NaN
sub009,open,aud,right,16
sub009,close,somato,left,21
sub009,close,somato,right,16
sub009,close,visual,left,18
sub009,close,visual,right,29
sub009,close,aud,left,NaN
sub009,close,aud,right,23
sub010,open,somato,left,20
sub010,open,somato,right,20
sub010,open,visual,left,20
sub010,open,visual,right,19
sub010,open,aud,left,25
sub010,open,aud,right,NaN
sub010,close,somato,left,20
sub010,close,somato,right,20
sub010,close,visual,left,20
sub010,close,visual,right,19
sub010,close,aud,left,18
sub010,close,aud,right,NaN
sub011,open,somato,left,18
sub011,open,somato,right,NaN
sub011,open,visual,left,17
sub011,open,visual,right,20
sub011,open,aud,left,21
sub011,open,aud,right,NaN
sub011,close,somato,left,18
sub011,close,somato,right,19
sub011,close,visual,left,23
sub011,close,visual,right,23
sub011,close,aud,left,17
sub011,close,aud,right,16
sub012,open,somato,left,18
sub012,open,somato,right,18
sub012,open,visual,left,NaN
sub012,open,visual,right,32
sub012,open,aud,left,31
sub012,open,aud,right,NaN
sub012,close,somato,left,19
sub012,close,somato,right,17
sub012,close,visual,left,21
sub012,close,visual,right,21
sub012,close,aud,left,32
sub012,close,aud,right,31
sub017,open,somato,left,21
sub017,open,somato,right,22
sub017,open,visual,left,19
sub017,open,visual,right,21
sub017,open,aud,left,21
sub017,open,aud,right,22
sub017,close,somato,left,21
sub017,close,somato,right,21
sub017,close,visual,left,21
sub017,close,visual,right,21
sub017,close,aud,left,21
sub017,close,aud,right,20
sub018,open,somato,left,NaN
sub018,open,somato,right,19
sub018,open,visual,left,23
sub018,open,visual,right,23
sub018,open,aud,left,NaN
sub018,open,aud,right,21
sub018,close,somato,left,22
sub018,close,somato,right,19
sub018,close,visual,left,26
sub018,close,visual,right,23
sub018,close,aud,left,22
sub018,close,aud,right,23
sub020,open,somato,left,22
sub020,open,somato,right,21
sub020,open,visual,left,19
sub020,open,visual,right,NaN
sub020,open,aud,left,19
sub020,open,aud,right,20
sub020,close,somato,left,22
sub020,close,somato,right,20
sub020,close,visual,left,21
sub020,close,visual,right,20
sub020,close,aud,left,19
sub020,close,aud,right,21
sub021,open,somato,left,20
sub021,open,somato,right,21
sub021,open,visual,left,NaN
sub021,open,visual,right,NaN
sub021,open,aud,left,26
sub021,open,aud,right,27
sub021,close,somato,left,NaN
sub021,close,somato,right,NaN
sub021,close,visual,left,19
sub021,close,visual,right,19
sub021,close,aud,left,26
sub021,close,aud,right,27
sub022,open,somato,left,22
sub022,open,somato,right,22
sub022,open,visual,left,NaN
sub022,open,visual,right,NaN
sub022,open,aud,left,NaN
sub022,open,aud,right,NaN
sub022,close,somato,left,22
sub022,close,somato,right,22
sub022,close,visual,left,19
sub022,close,visual,right,18
sub022,close,aud,left,20
sub022,close,aud,right,23
sub023,open,somato,left,23
sub023,open,somato,right,23
sub023,open,visual,left,NaN
sub023,open,visual,right,30
sub023,open,aud,left,32
sub023,open,aud,right,NaN
sub023,close,somato,left,23
sub023,close,somato,right,23
sub023,close,visual,left,20
sub023,close,visual,right,20
sub023,close,aud,left,NaN
sub023,close,aud,right,18
sub024,open,somato,left,23
sub024,open,somato,right,18
sub024,open,visual,left,19
sub024,open,visual,right,20
sub024,open,aud,left,17
sub024,open,aud,right,NaN
sub024,close,somato,left,23
sub024,close,somato,right,20
sub024,close,visual,left,20
sub024,close,visual,right,21
sub024,close,aud,left,17
sub024,close,aud,right,NaN
sub025,open,somato,left,23
sub025,open,somato,right,25
sub025,open,visual,left,16
sub025,open,visual,right,16
sub025,open,aud,left,20
sub025,open,aud,right,24
sub025,close,somato,left,21
sub025,close,somato,right,21
sub025,close,visual,left,21
sub025,close,visual,right,21
sub025,close,aud,left,21
sub025,close,aud,right,22
sub026,open,somato,left,19
sub026,open,somato,right,21
sub026,open,visual,left,NaN
sub026,open,visual,right,32
sub026,open,aud,left,NaN
sub026,open,aud,right,31
sub026,close,somato,left,19
sub026,close,somato,right,31
sub026,close,visual,left,19
sub026,close,visual,right,19
sub026,close,aud,left,21
sub026,close,aud,right,31
sub027,open,somato,left,17
sub027,open,somato,right,19
sub027,open,visual,left,21
sub027,open,visual,right,21
sub027,open,aud,left,NaN
sub027,open,aud,right,17
sub027,close,somato,left,18
sub027,close,somato,right,19
sub027,close,visual,left,21
sub027,close,visual,right,21
sub027,close,aud,left,NaN
sub027,close,aud,right,19
sub028,open,somato,left,16
sub028,open,somato,right,21
sub028,open,visual,left,20
sub028,open,visual,right,26
sub028,open,aud,left,20
sub028,open,aud,right,18
sub028,close,somato,left,17
sub028,close,somato,right,16
sub028,close,visual,left,NaN
sub028,close,visual,right,18
sub028,close,aud,left,20
sub028,close,aud,right,22
sub029,open,somato,left,23
sub029,open,somato,right,18
sub029,open,visual,left,23
sub029,open,visual,right,18
sub029,open,aud,left,22
sub029,open,aud,right,NaN
sub029,close,somato,left,21
sub029,close,somato,right,19
sub029,close,visual,left,21
sub029,close,visual,right,21
sub029,close,aud,left,16
sub029,close,aud,right,17
sub030,open,somato,left,NaN
sub030,open,somato,right,22
sub030,open,visual,left,NaN
sub030,open,visual,right,18
sub030,open,aud,left,18
sub030,open,aud,right,NaN
sub030,close,somato,left,21
sub030,close,somato,right,22
sub030,close,visual,left,21
sub030,close,visual,right,21
sub030,close,aud,left,19
sub030,close,aud,right,21
sub031,open,somato,left,17
sub031,open,somato,right,16
sub031,open,visual,left,18
sub031,open,visual,right,19
sub031,open,aud,left,16
sub031,open,aud,right,19
sub031,close,somato,left,17
sub031,close,somato,right,NaN
sub031,close,visual,left,19
sub031,close,visual,right,19
sub031,close,aud,left,NaN
sub031,close,aud,right,20
sub032,open,somato,left,22
sub032,open,somato,right,18
sub032,open,visual,left,19
sub032,open,visual,right,NaN
sub032,open,aud,left,16
sub032,open,aud,right,23
sub032,close,somato,left,21
sub032,close,somato,right,18
sub032,close,visual,left,20
sub032,close,visual,right,20
sub032,close,aud,left,16
sub032,close,aud,right,16
sub033,open,somato,left,22
sub033,open,somato,right,23
sub033,open,visual,left,NaN
sub033,open,visual,right,16
sub033,open,aud,left,NaN
sub033,open,aud,right,26
sub033,close,somato,left,22
sub033,close,somato,right,22
sub033,close,visual,left,20
sub033,close,visual,right,20
sub033,close,aud,left,27
sub033,close,aud,right,27
sub034,open,somato,left,22
sub034,open,somato,right,18
sub034,open,visual,left,NaN
sub034,open,visual,right,NaN
sub034,open,aud,left,NaN
sub034,open,aud,right,17
sub034,close,somato,left,NaN
sub034,close,somato,right,17
sub034,close,visual,left,NaN
sub034,close,visual,right,18
sub034,close,aud,left,17
sub034,close,aud,right,28
sub035,open,somato,left,25
sub035,open,somato,right,16
sub035,open,visual,left,18
sub035,open,visual,right,18
sub035,open,aud,left,16
sub035,open,aud,right,18
sub035,close,somato,left,16
sub035,close,somato,right,21
sub035,close,visual,left,18
sub035,close,visual,right,18
sub035,close,aud,left,16
sub035,close,aud,right,NaN
sub036,open,somato,left,21
sub036,open,somato,right,23
sub036,open,visual,left,19
sub036,open,visual,right,19
sub036,open,aud,left,20
sub036,open,aud,right,25
sub036,close,somato,left,22
sub036,close,somato,right,24
sub036,close,visual,left,20
sub036,close,visual,right,21
sub036,close,aud,left,20
sub036,close,aud,right,16
sub037,open,somato,left,27
sub037,open,somato,right,18
sub037,open,visual,left,19
sub037,open,visual,right,17
sub037,open,aud,left,NaN
sub037,open,aud,right,17
sub037,close,somato,left,17
sub037,close,somato,right,17
sub037,close,visual,left,19
sub037,close,visual,right,20
sub037,close,aud,left,26
sub037,close,aud,right,NaN
sub039,open,somato,left,26
sub039,open,somato,right,26
sub039,open,visual,left,20
sub039,open,visual,right,20
sub039,open,aud,left,19
sub039,open,aud,right,17
sub039,close,somato,left,26
sub039,close,somato,right,26
sub039,close,visual,left,20
sub039,close,visual,right,20
sub039,close,aud,left,17
sub039,close,aud,right,18
