sub,eye,measure,window,compare,cond,value
sub001,open,vis,cue0t1000,accuracy,correct,0.895
sub001,open,vis,cue0t1000,accuracy,incorrect,0.657
sub001,open,vis,cue0t1000,accuracy_e,correct_e,1.401
sub001,open,vis,cue0t1000,accuracy_e,incorrect_e,0.657
sub001,open,vis,cue0t1000,rt,fast,0.813
sub001,open,vis,cue0t1000,rt,slow,0.988
sub001,open,lat,cue0t1000,accuracy,correct,0.033
sub001,open,lat,cue0t1000,accuracy,incorrect,-0.175
sub001,open,lat,cue0t1000,accuracy_e,correct_e,-0.01
sub001,open,lat,cue0t1000,accuracy_e,incorrect_e,-0.175
sub001,open,lat,cue0t1000,rt,fast,0.018
sub001,open,lat,cue0t1000,rt,slow,0.051
sub001,open,bal_ip_v,cue0t1000,accuracy,correct,0.321
sub001,open,bal_ip_v,cue0t1000,accuracy,incorrect,0.498
sub001,open,bal_ip_v,cue0t1000,accuracy_e,correct_e,0.242
sub001,open,bal_ip_v,cue0t1000,accuracy_e,incorrect_e,0.498
sub001,open,bal_ip_v,cue0t1000,rt,fast,0.314
sub001,open,bal_ip_v,cue0t1000,rt,slow,0.327
sub001,open,bal_ip_i,cue0t1000,accuracy,correct,0.045
sub001,open,bal_ip_i,cue0t1000,accuracy,incorrect,0.292
sub001,open,bal_ip_i,cue0t1000,accuracy_e,correct_e,0.016
sub001,open,bal_ip_i,cue0t1000,accuracy_e,incorrect_e,0.292
sub001,open,bal_ip_i,cue0t1000,rt,fast,0.046
sub001,open,bal_ip_i,cue0t1000,rt,slow,0.043
sub001,closed,vis,cue0t1000,accuracy,correct,0.948
sub001,closed,vis,cue0t1000,accuracy,incorrect,0.561
sub001,closed,vis,cue0t1000,accuracy_e,correct_e,1.096
sub001,closed,vis,cue0t1000,accuracy_e,incorrect_e,0.561
sub001,closed,vis,cue0t1000,rt,fast,1.216
sub001,closed,vis,cue0t1000,rt,slow,0.709
sub001,closed,lat,cue0t1000,accuracy,correct,0.023
sub001,closed,lat,cue0t1000,accuracy,incorrect,-0.019
sub001,closed,lat,cue0t1000,accuracy_e,correct_e,0.035
sub001,closed,lat,cue0t1000,accuracy_e,incorrect_e,-0.019
sub001,closed,lat,cue0t1000,rt,fast,-0.022
sub001,closed,lat,cue0t1000,rt,slow,0.064
sub001,closed,bal_ip_v,cue0t1000,accuracy,correct,0.04
sub001,closed,bal_ip_v,cue0t1000,accuracy,incorrect,0.038
sub001,closed,bal_ip_v,cue0t1000,accuracy_e,correct_e,0.052
sub001,closed,bal_ip_v,cue0t1000,accuracy_e,incorrect_e,0.038
sub001,closed,bal_ip_v,cue0t1000,rt,fast,0.065
sub001,closed,bal_ip_v,cue0t1000,rt,slow,0.019
sub001,closed,bal_ip_i,cue0t1000,accuracy,correct,-0.06
sub001,closed,bal_ip_i,cue0t1000,accuracy,incorrect,-0.056
sub001,closed,bal_ip_i,cue0t1000,accuracy_e,correct_e,-0.034
sub001,closed,bal_ip_i,cue0t1000,accuracy_e,incorrect_e,-0.056
sub001,closed,bal_ip_i,cue0t1000,rt,fast,-0.03
sub001,closed,bal_ip_i,cue0t1000,rt,slow,-0.086
sub001,open,vis,cue500to1500,accuracy,correct,1.168
sub001,open,vis,cue500to1500,accuracy,incorrect,0.092
sub001,open,vis,cue500to1500,accuracy_e,correct_e,1.68
sub001,open,vis,cue500to1500,accuracy_e,incorrect_e,0.092
sub001,open,vis,cue500to1500,rt,fast,0.932
sub001,open,vis,cue500to1500,rt,slow,1.416
sub001,open,lat,cue500to1500,accuracy,correct,0.094
sub001,open,lat,cue500to1500,accuracy,incorrect,-0.323
sub001,open,lat,cue500to1500,accuracy_e,correct_e,0.343
sub001,open,lat,cue500to1500,accuracy_e,incorrect_e,-0.323
sub001,open,lat,cue500to1500,rt,fast,0.117
sub001,open,lat,cue500to1500,rt,slow,0.076
sub001,open,bal_ip_v,cue500to1500,accuracy,correct,0.274
sub001,open,bal_ip_v,cue500to1500,accuracy,incorrect,0.572
sub001,open,bal_ip_v,cue500to1500,accuracy_e,correct_e,0.112
sub001,open,bal_ip_v,cue500to1500,accuracy_e,incorrect_e,0.572
