sub,eye,roi,sub_roi,apeak,bpeak
sub001,open,somato,somato left,10,NaN
sub001,open,somato,somato right,10,20
sub001,close,somato,somato left,9,18
sub001,close,somato,somato right,10,21
sub001,open,visual,V1d,10,21
sub001,open,visual,V1v,10,21
sub001,open,visual,V2d,11,21
sub001,open,visual,V2v,10,NaN
sub001,open,visual,V3a,10,NaN
sub001,open,visual,V3b,10,NaN
sub001,open,visual,V3d,10,NaN
sub001,open,visual,V3v,10,21
sub001,close,visual,V1d,11,21
sub001,close,visual,V1v,10,20
sub001,close,visual,V2d,11,21
sub001,close,visual,V2v,10,20
sub001,close,visual,V3a,10,18
sub001,close,visual,V3b,10,20
sub001,close,visual,V3d,10,19
sub001,close,visual,V3v,10,20
sub001,open,frontal,fro Brodmann area 4,10,NaN
sub001,open,frontal,fro Brodmann area 6,9,NaN
sub001,open,frontal,fro Brodmann area 8,7,31
sub001,open,frontal,fro Brodmann area 9,7,NaN
sub001,open,frontal,fro Brodmann area 10,7,31
sub001,open,frontal,fro Brodmann area 11,7,16
sub001,open,frontal,fro Brodmann area 44,8,17
sub001,open,frontal,fro Brodmann area 45,7,16
sub001,open,frontal,fro Brodmann area 46,7,NaN
sub001,open,frontal,fro Brodmann area 47,7,16
sub001,close,frontal,fro Brodmann area 4,9,18
sub001,close,frontal,fro Brodmann area 6,8,17
sub001,close,frontal,fro Brodmann area 8,7,NaN
sub001,close,frontal,fro Brodmann area 9,7,22
sub001,close,frontal,fro Brodmann area 10,7,20
sub001,close,frontal,fro Brodmann area 11,8,18
sub001,close,frontal,fro Brodmann area 44,9,NaN
sub001,close,frontal,fro Brodmann area 45,10,22
sub001,close,frontal,fro Brodmann area 46,7,22
sub001,close,frontal,fro Brodmann area 47,8,17
sub001,open,auditory,aud Brodmann area 41,9,22
sub001,open,auditory,aud Brodmann area 42,9,22
sub001,open,auditory,aud Brodmann area 22,9,NaN
sub001,close,auditory,aud Brodmann area 41,9,NaN
sub001,close,auditory,aud Brodmann area 42,9,22
sub001,close,auditory,aud Brodmann area 22,9,17
sub002,open,somato,somato left,7,17
sub002,open,somato,somato right,8,16
sub002,close,somato,somato left,7,NaN
sub002,close,somato,somato right,7,17
sub002,open,visual,V1d,8,NaN
sub002,open,visual,V1v,8,NaN
sub002,open,visual,V2d,9,NaN
sub002,open,visual,V2v,8,NaN
sub002,open,visual,V3a,10,NaN
sub002,open,visual,V3b,8,NaN
sub002,open,visual,V3d,8,NaN
sub002,open,visual,V3v,8,NaN
sub002,close,visual,V1d,9,17
sub002,close,visual,V1v,9,18
sub002,close,visual,V2d,9,17
sub002,close,visual,V2v,8,NaN
sub002,close,visual,V3a,9,18
sub002,close,visual,V3b,8,18
sub002,close,visual,V3d,9,18
sub002,close,visual,V3v,8,18
sub002,open,frontal,fro Brodmann area 4,7,17
sub002,open,frontal,fro Brodmann area 6,7,18
sub002,open,frontal,fro Brodmann area 8,7,16
sub002,open,frontal,fro Brodmann area 9,7,18
sub002,open,frontal,fro Brodmann area 10,7,NaN
sub002,open,frontal,fro Brodmann area 11,7,17
sub002,open,frontal,fro Brodmann area 44,7,17
sub002,open,frontal,fro Brodmann area 45,7,17
sub002,open,frontal,fro Brodmann area 46,7,17
sub002,open,frontal,fro Brodmann area 47,7,16
sub002,close,frontal,fro Brodmann area 4,7,19
sub002,close,frontal,fro Brodmann area 6,7,20
sub002,close,frontal,fro Brodmann area 8,7,NaN
sub002,close,frontal,fro Brodmann area 9,7,23
sub002,close,frontal,fro Brodmann area 10,7,NaN
sub002,close,frontal,fro Brodmann area 11,7,NaN
sub002,close,frontal,fro Brodmann area 44,7,16
sub002,close,frontal,fro Brodmann area 45,7,NaN
sub002,close,frontal,fro Brodmann area 46,7,NaN
sub002,close,frontal,fro Brodmann area 47,7,16
sub002,open,auditory,aud Brodmann area 41,7,25
sub002,open,auditory,aud Brodmann area 42,7,NaN
sub002,open,auditory,aud Brodmann area 22,8,NaN
sub002,close,auditory,aud Brodmann area 41,7,26
