sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann,correct,accuracy,500pre,source,alpha,0.123764302543472
sub001,open,visual power,Brodmann,incorrect,accuracy,500pre,source,alpha,0.295472593018945
sub001,open,visual power,Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.154666182631057
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.295472593018945
sub001,open,visual power,Brodmann,fast,rt,500pre,source,alpha,0.0606119557586396
sub001,open,visual power,Brodmann,slow,rt,500pre,source,alpha,0.148471869079202
sub001,open,auditory power,max,correct,accuracy,500pre,source,alpha,0.0304308499421916
sub001,open,auditory power,max,incorrect,accuracy,500pre,source,alpha,-0.157403350444561
sub001,open,auditory power,max,correct_e,accuracy_e,500pre,source,alpha,-0.39558473222942
sub001,open,auditory power,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.157403350444561
sub001,open,auditory power,max,fast,rt,500pre,source,alpha,0.170745904230369
sub001,open,auditory power,max,slow,rt,500pre,source,alpha,-0.101210450120794
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.126064269031849
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.100721729335241
sub001,open,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,alpha,0.497608839085284
sub001,open,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,alpha,0.561154597829141
sub001,open,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.525187033802773
sub001,open,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.561154597829141
sub001,open,somatovisual balance,max-Brodmann,fast,rt,500pre,source,alpha,0.510360105370646
sub001,open,somatovisual balance,max-Brodmann,slow,rt,500pre,source,alpha,0.464531565507275
sub001,open,auditory lateralisation index,max,correct,accuracy,500pre,source,alpha,-0.0350496824492669
sub001,open,auditory lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.0378711810231361
sub001,open,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.447329755033092
sub001,open,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.0378711810231361
sub001,open,auditory lateralisation index,max,fast,rt,500pre,source,alpha,-0.0165600818167849
sub001,open,auditory lateralisation index,max,slow,rt,500pre,source,alpha,-0.054148340596031
sub001,closed,visual power,Brodmann,correct,accuracy,500pre,source,alpha,-0.112441191743835
sub001,closed,visual power,Brodmann,incorrect,accuracy,500pre,source,alpha,0.373442473365771
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,500pre,source,alpha,-0.164367477242514
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.373442473365771
sub001,closed,visual power,Brodmann,fast,rt,500pre,source,alpha,-0.210187408547969
sub001,closed,visual power,Brodmann,slow,rt,500pre,source,alpha,0.0431585695314621
sub001,closed,auditory power,max,correct,accuracy,500pre,source,alpha,0.0240478198923253
sub001,closed,auditory power,max,incorrect,accuracy,500pre,source,alpha,0.376898124909073
sub001,closed,auditory power,max,correct_e,accuracy_e,500pre,source,alpha,0.343876391280167
sub001,closed,auditory power,max,incorrect_e,accuracy_e,500pre,source,alpha,0.376898124909073
sub001,closed,auditory power,max,fast,rt,500pre,source,alpha,0.108083272862656
sub001,closed,auditory power,max,slow,rt,500pre,source,alpha,-0.0140520096938611
sub001,closed,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,-0.00524036641742458
sub001,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.0102658626931263
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.185311796980854
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.0102658626931263
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.0975550992490453
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,-0.124803740538771
sub001,closed,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,alpha,0.398973479099427
sub001,closed,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,alpha,0.186413053111174
sub001,closed,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.244069576506884
sub001,closed,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.186413053111174
sub001,closed,somatovisual balance,max-Brodmann,fast,rt,500pre,source,alpha,0.384847702282889
sub001,closed,somatovisual balance,max-Brodmann,slow,rt,500pre,source,alpha,0.39397212649111
sub001,closed,auditory lateralisation index,max,correct,accuracy,500pre,source,alpha,-0.0174200831182143
sub001,closed,auditory lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.160400995724302
sub001,closed,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.00035702694828022
sub001,closed,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.160400995724302
sub001,closed,auditory lateralisation index,max,fast,rt,500pre,source,alpha,0.0486946667159919
sub001,closed,auditory lateralisation index,max,slow,rt,500pre,source,alpha,0.00220003253552048
sub001,open,visual power,Brodmann,correct,accuracy,500pre,source,beta,0.045975975606421
sub001,open,visual power,Brodmann,incorrect,accuracy,500pre,source,beta,0.0303584656713931
sub001,open,visual power,Brodmann,correct_e,accuracy_e,500pre,source,beta,0.259174655792847
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,beta,0.0303584656713931
sub001,open,visual power,Brodmann,fast,rt,500pre,source,beta,0.055298754351085
sub001,open,visual power,Brodmann,slow,rt,500pre,source,beta,0.0677898394406793
sub001,open,auditory power,max,correct,accuracy,500pre,source,beta,-0.0704947321877419
sub001,open,auditory power,max,incorrect,accuracy,500pre,source,beta,-0.305155703320686
sub001,open,auditory power,max,correct_e,accuracy_e,500pre,source,beta,-0.18876275972861
sub001,open,auditory power,max,incorrect_e,accuracy_e,500pre,source,beta,-0.305155703320686
sub001,open,auditory power,max,fast,rt,500pre,source,beta,0.0208729704122182
sub001,open,auditory power,max,slow,rt,500pre,source,beta,-0.166154570490877
