sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,0.276127759483053
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.325002695613702
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.634370035024883
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.325002695613702
sub001,open,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,0.29519253901055
sub001,open,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,0.279688884376911
sub001,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,0.227367180918491
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,-0.0457237612146199
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.761191319441846
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,-0.0457237612146199
sub001,open,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,0.265420135779931
sub001,open,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,0.190332067772867
sub001,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,0.123764302543472
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,0.295472593018945
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,0.184492714073798
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,0.295472593018945
sub001,open,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,0.0606119557586396
sub001,open,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.148471869079202
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.176185619023094
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.100721729335241
sub001,open,somatovisual balance,max-Brodmann area 17,correct,accuracy,500pre,source,alpha,0.0694697027812722
