sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,vtpm V1,correct,accuracy,500pre,source,alpha,0.30602253377358
sub001,open,visual power,vtpm V1,incorrect,accuracy,500pre,source,alpha,-0.265083630597465
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,alpha,-0.168199921416559
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,-0.265083630597465
sub001,open,visual power,vtpm V1,fast,rt,500pre,source,alpha,0.184257673406854
sub001,open,visual power,vtpm V1,slow,rt,500pre,source,alpha,0.413181256378617
sub001,open,visual power,vtpm V2,correct,accuracy,500pre,source,alpha,0.15480975929141
sub001,open,visual power,vtpm V2,incorrect,accuracy,500pre,source,alpha,0.0689104529863544
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,alpha,-0.163149052477072
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,0.0689104529863544
sub001,open,visual power,vtpm V2,fast,rt,500pre,source,alpha,0.086426479724758
sub001,open,visual power,vtpm V2,slow,rt,500pre,source,alpha,0.202382959044721
sub001,open,visual power,vtpm V3,correct,accuracy,500pre,source,alpha,0.256294582672441
sub001,open,visual power,vtpm V3,incorrect,accuracy,500pre,source,alpha,0.255441642906049
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,alpha,0.200780683503028
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,0.255441642906049
sub001,open,visual power,vtpm V3,fast,rt,500pre,source,alpha,0.129275643477118
sub001,open,visual power,vtpm V3,slow,rt,500pre,source,alpha,0.350947829554945
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,0.28704674996357
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.250008136816386
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.21666536965693
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.250008136816386
sub001,open,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,0.323704285208863
sub001,open,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,0.271837692800154
sub001,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,0.241791947489647
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,-0.0179721066827429
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.11240217767903
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,-0.0179721066827429
sub001,open,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,0.291346977700149
sub001,open,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,0.191946475781122
sub001,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,0.137355122419922
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,0.343783120316768
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,0.00728333640980216
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,0.343783120316768
sub001,open,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,0.0825438135872524
sub001,open,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.149584694297301
sub001,closed,visual power,vtpm V1,correct,accuracy,500pre,source,alpha,-0.166362077669943
sub001,closed,visual power,vtpm V1,incorrect,accuracy,500pre,source,alpha,-0.235057627426984
sub001,closed,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,alpha,-0.275834906773355
sub001,closed,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,-0.235057627426984
sub001,closed,visual power,vtpm V1,fast,rt,500pre,source,alpha,-0.07385999031401
sub001,closed,visual power,vtpm V1,slow,rt,500pre,source,alpha,-0.258754162729287
sub001,closed,visual power,vtpm V2,correct,accuracy,500pre,source,alpha,-0.127770664472244
sub001,closed,visual power,vtpm V2,incorrect,accuracy,500pre,source,alpha,-0.152444084209001
sub001,closed,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,alpha,-0.102903375977103
sub001,closed,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,-0.152444084209001
sub001,closed,visual power,vtpm V2,fast,rt,500pre,source,alpha,-0.150304186981266
sub001,closed,visual power,vtpm V2,slow,rt,500pre,source,alpha,-0.110821233701468
sub001,closed,visual power,vtpm V3,correct,accuracy,500pre,source,alpha,-0.0634306173668292
sub001,closed,visual power,vtpm V3,incorrect,accuracy,500pre,source,alpha,-0.29547732421739
sub001,closed,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,alpha,-0.0379592296585532
sub001,closed,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,-0.29547732421739
sub001,closed,visual power,vtpm V3,fast,rt,500pre,source,alpha,-0.0767361566198999
sub001,closed,visual power,vtpm V3,slow,rt,500pre,source,alpha,-0.0460537715843314
sub001,closed,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,-0.195009491439168
sub001,closed,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,-0.265313515831673
sub001,closed,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,-0.191074174898499
sub001,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,-0.265313515831673
sub001,closed,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,-0.194632387249918
sub001,closed,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,-0.191074147081763
sub001,closed,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,-0.122583132352704
sub001,closed,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,0.0298942098990639
